trial, dist, RT, interstim, Brightness, NumberofLED
1,30,407,590,15,1
2,-30,275,455,15,1
3,-10,420,746,15,1
4,-40,377,497,15,1
5,-40,268,710,15,1
6,10,265,754,15,1
7,30,284,640,15,1
8,-10,278,396,15,1
9,40,428,641,15,1
10,-30,395,331,15,1
11,20,225,621,15,1
12,0,221,556,15,1
13,30,232,771,15,1
14,-10,255,533,15,1
15,20,211,677,15,1
16,10,264,452,15,1
17,-30,270,664,15,1
18,-20,234,782,15,1
19,0,271,564,15,1
20,-20,286,533,15,1
21,-20,278,665,15,1
22,-10,260,677,15,1
23,-10,275,615,15,1
24,30,351,312,15,1
25,40,349,640,15,1
26,-40,364,334,15,1
27,-10,240,571,15,1
28,-20,275,454,15,1
29,-10,307,314,15,1
30,40,302,700,15,1
31,40,319,637,15,1
32,10,306,413,15,1
33,0,273,449,15,1
34,20,308,315,15,1
35,40,317,472,15,1
36,-10,272,664,15,1
37,20,273,583,15,1
38,-20,253,773,15,1
39,-20,295,679,15,1
40,10,295,777,15,1
41,40,350,326,15,1
42,-20,294,542,15,1
43,-30,253,730,15,1
44,-10,280,537,15,1
45,20,231,550,15,1
46,-40,297,416,15,1
47,-10,216,745,15,1
48,-30,250,367,15,1
49,-30,428,406,15,1
50,20,229,475,15,1
51,-30,226,594,15,1
52,-40,242,559,15,1
53,-30,230,457,15,1
54,-30,223,601,15,1
55,-20,242,656,15,1
56,-30,209,799,15,1
57,-20,239,405,15,1
58,30,282,328,15,1
59,10,216,629,15,1
60,20,237,769,15,1
61,20,283,642,15,1
62,0,261,391,15,1
63,0,251,527,15,1
64,10,257,312,15,1
65,-40,218,796,15,1
66,40,374,381,15,1
67,20,256,648,15,1
68,-10,243,440,15,1
69,-40,260,740,15,1
70,30,289,383,15,1
71,-20,346,373,15,1
72,0,277,726,15,1
73,20,280,788,15,1
74,20,316,374,15,1
75,20,286,551,15,1
76,-30,263,467,15,1
77,30,264,449,15,1
78,30,246,554,15,1
79,20,263,633,15,1
80,30,285,627,15,1
81,-10,210,542,15,1
82,-40,245,407,15,1
83,40,221,577,15,1
84,-10,263,387,15,1
85,-20,228,699,15,1
86,0,268,518,15,1
87,10,201,758,15,1
88,10,236,367,15,1
89,-30,247,657,15,1
90,-30,291,300,15,1
91,-20,191,581,15,1
92,-40,273,598,15,1
93,0,240,705,15,1
94,0,249,396,15,1
95,-40,248,450,15,1
96,30,233,775,15,1
97,10,287,506,15,1
98,-30,279,552,15,1
99,30,421,367,15,1
100,-40,291,334,15,1
101,20,245,641,15,1
102,0,251,661,15,1
103,0,248,618,15,1
104,10,278,775,15,1
105,0,183,370,15,1
106,20,258,310,15,1
107,-30,217,444,15,1
108,40,279,323,15,1
109,20,268,439,15,1
110,-40,231,318,15,1
111,-10,185,343,15,1
112,-20,247,310,15,1
113,30,216,423,15,1
114,0,215,397,15,1
115,20,228,723,15,1
116,-10,191,392,15,1
117,-40,270,553,15,1
118,40,212,310,15,1
119,30,210,619,15,1
120,30,59,583,15,1
121,10,248,727,15,1
122,-30,208,616,15,1
123,10,172,515,15,1
124,30,204,498,15,1
125,-30,232,412,15,1
126,-30,0,726,15,1
127,-30,221,449,15,1
128,30,216,788,15,1
129,-20,265,540,15,1
130,20,171,771,15,1
131,10,320,714,15,1
132,30,250,726,15,1
133,10,271,343,15,1
134,-30,267,733,15,1
135,30,238,407,15,1
136,20,200,673,15,1
137,30,200,766,15,1
138,10,186,614,15,1
139,20,188,779,15,1
140,-40,201,645,15,1
141,40,280,599,15,1
142,-30,231,302,15,1
143,40,320,662,15,1
144,-30,212,373,15,1
145,-20,154,681,15,1
146,0,103,580,15,1
147,40,169,681,15,1
148,0,271,301,15,1
149,-10,178,708,15,1
150,10,271,514,15,1
151,30,165,705,15,1
152,0,173,654,15,1
153,20,235,321,15,1
154,-10,207,487,15,1
155,0,267,742,15,1
156,30,360,326,15,1
157,40,273,442,15,1
158,-20,238,511,15,1
159,0,189,543,15,1
160,-20,228,629,15,1
161,-30,224,604,15,1
162,-30,214,491,15,1
163,30,267,434,15,1
164,-10,248,433,15,1
165,30,0,395,15,1
166,-10,355,791,15,1
167,-10,498,552,15,1
168,0,169,742,15,1
169,-30,218,478,15,1
170,-20,226,425,15,1
171,0,186,534,15,1
172,40,315,523,15,1
173,-20,148,614,15,1
174,30,248,315,15,1
175,0,247,326,15,1
176,20,250,377,15,1
177,-30,220,667,15,1
178,40,264,320,15,1
179,10,7,779,15,1
180,20,254,794,15,1
181,10,203,649,15,1
182,-10,167,799,15,1
183,20,209,475,15,1
184,0,230,448,15,1
185,-30,486,766,15,1
186,-20,403,330,15,1
187,-30,430,644,15,1
188,20,508,454,15,1
189,20,207,557,15,1
190,40,267,741,15,1
191,30,211,502,15,1
192,-10,236,447,15,1
193,-40,198,757,15,1
194,-40,227,533,15,1
195,-40,264,497,15,1
196,-40,242,736,15,1
197,-40,246,620,15,1
198,-10,198,589,15,1
199,40,253,314,15,1
200,-40,369,752,15,1
201,-20,274,303,15,1
202,30,229,510,15,1
