trial, dist, RT, interstim, Brightness, NumberofLED
1,-20,428,704,15,1
2,40,563,624,15,1
3,-40,507,334,15,1
4,40,462,621,15,1
5,30,581,400,15,1
6,-40,402,466,15,1
7,-40,461,320,15,1
8,-20,537,440,15,1
9,-30,429,467,15,1
10,30,394,740,15,1
11,-40,400,521,15,1
12,-40,484,590,15,1
13,30,493,582,15,1
14,10,408,528,15,1
15,10,444,669,15,1
16,30,512,442,15,1
17,-40,549,552,15,1
18,20,524,441,15,1
19,10,464,753,15,1
20,20,533,631,15,1
21,20,527,462,15,1
22,40,465,578,15,1
23,-10,431,569,15,1
24,10,475,678,15,1
25,-20,485,410,15,1
26,40,571,315,15,1
27,10,464,627,15,1
28,-20,496,495,15,1
29,-20,551,701,15,1
30,20,648,714,15,1
31,10,542,366,15,1
32,20,499,530,15,1
33,10,360,734,15,1
34,-20,517,456,15,1
35,40,503,567,15,1
36,0,373,733,15,1
37,-20,358,524,15,1
38,-20,351,441,15,1
39,-30,520,302,15,1
40,-30,389,428,15,1
41,-30,412,346,15,1
42,30,409,411,15,1
43,10,403,662,15,1
44,20,344,461,15,1
45,30,457,714,15,1
46,40,599,411,15,1
47,10,392,793,15,1
48,-30,492,382,15,1
49,10,460,344,15,1
50,-10,286,686,15,1
51,-30,504,391,15,1
52,20,428,550,15,1
53,-30,438,535,15,1
54,-30,475,559,15,1
55,-40,414,635,15,1
56,-10,447,693,15,1
57,20,489,343,15,1
58,-10,462,322,15,1
59,-40,488,317,15,1
60,-30,395,587,15,1
61,30,577,412,15,1
62,30,506,675,15,1
63,-30,540,372,15,1
64,10,456,358,15,1
65,10,488,619,15,1
66,-20,443,302,15,1
67,-30,507,359,15,1
68,40,481,383,15,1
69,40,499,477,15,1
70,40,510,302,15,1
71,40,519,332,15,1
72,-40,456,352,15,1
73,-30,467,757,15,1
74,-10,447,477,15,1
75,20,494,394,15,1
76,30,520,698,15,1
77,-30,398,414,15,1
78,30,415,380,15,1
79,40,544,496,15,1
80,40,520,510,15,1
81,0,395,608,15,1
82,40,480,772,15,1
83,30,528,635,15,1
84,20,474,402,15,1
85,-30,416,521,15,1
86,-20,425,569,15,1
87,20,418,320,15,1
88,-40,403,623,15,1
89,30,660,368,15,1
90,0,404,320,15,1
91,20,586,421,15,1
92,-40,597,463,15,1
93,20,484,354,15,1
94,-40,395,549,15,1
95,-30,504,558,15,1
96,20,560,390,15,1
97,-10,563,615,15,1
98,10,546,310,15,1
99,30,584,614,15,1
100,-20,499,331,15,1
101,-10,554,600,15,1
102,30,523,746,15,1
103,-10,560,711,15,1
104,30,557,571,15,1
105,0,414,337,15,1
106,30,468,695,15,1
107,40,486,553,15,1
108,-20,398,650,15,1
109,30,710,379,15,1
110,40,478,565,15,1
111,-40,444,374,15,1
112,-30,476,418,15,1
113,10,446,431,15,1
114,20,463,791,15,1
115,-20,557,486,15,1
116,10,480,721,15,1
117,40,522,623,15,1
118,10,505,744,15,1
119,-10,410,533,15,1
120,20,356,606,15,1
121,40,574,559,15,1
122,10,608,755,15,1
123,0,436,509,15,1
124,20,621,310,15,1
125,-10,541,761,15,1
126,40,647,497,15,1
127,-10,631,450,15,1
128,-30,428,700,15,1
129,0,389,440,15,1
130,30,497,677,15,1
131,30,489,633,15,1
132,30,664,578,15,1
133,-10,419,403,15,1
134,-20,424,381,15,1
135,0,333,611,15,1
136,20,432,784,15,1
137,10,463,699,15,1
138,-30,454,556,15,1
139,-40,522,624,15,1
140,20,555,387,15,1
141,10,529,587,15,1
142,-10,540,697,15,1
143,-40,524,358,15,1
144,20,459,732,15,1
145,20,532,591,15,1
146,-10,588,628,15,1
147,-20,368,674,15,1
148,-20,467,720,15,1
149,-40,449,724,15,1
150,0,406,404,15,1
151,-30,444,438,15,1
152,-10,427,546,15,1
153,20,533,447,15,1
154,-40,575,544,15,1
155,-10,746,415,15,1
156,-30,462,433,15,1
157,20,422,623,15,1
158,20,510,398,15,1
159,-20,460,526,15,1
160,40,425,728,15,1
161,30,594,582,15,1
162,40,720,349,15,1
163,0,369,472,15,1
164,10,377,359,15,1
165,-40,394,541,15,1
166,20,510,525,15,1
167,0,375,301,15,1
168,0,358,327,15,1
169,20,392,640,15,1
170,40,541,515,15,1
171,-20,433,350,15,1
172,-20,401,429,15,1
173,-40,594,508,15,1
174,0,456,469,15,1
175,-20,524,416,15,1
176,10,469,613,15,1
177,40,405,714,15,1
178,-20,377,468,15,1
179,-20,417,547,15,1
180,20,434,726,15,1
181,10,385,564,15,1
182,20,401,637,15,1
183,-10,434,400,15,1
184,0,379,569,15,1
185,30,488,571,15,1
186,0,390,662,15,1
187,30,452,765,15,1
188,-40,476,470,15,1
189,0,536,593,15,1
190,10,425,744,15,1
191,10,381,491,15,1
192,40,571,636,15,1
193,-20,551,325,15,1
194,40,511,541,15,1
195,10,565,720,15,1
196,0,386,319,15,1
197,-10,406,748,15,1
198,30,530,792,15,1
199,-20,526,497,15,1
200,10,449,599,15,1
