 trial, dist, RT, interstim, Brightness, NumberofLED
1,-20,385,476,15,1
2,-10,344,786,15,1
3,30,422,658,15,1
4,-30,352,373,15,1
5,-20,349,520,15,1
6,-30,380,395,15,1
7,10,197,607,15,1
8,0,281,705,15,1
9,20,305,668,15,1
10,0,270,422,15,1
11,0,271,574,15,1
12,30,263,522,15,1
13,20,297,460,15,1
14,-20,252,538,15,1
15,40,264,538,15,1
16,-20,297,462,15,1
17,-10,276,423,15,1
18,20,290,623,15,1
19,0,250,728,15,1
20,30,240,788,15,1
21,30,272,515,15,1
22,30,273,629,15,1
23,-10,359,308,15,1
24,-40,288,446,15,1
25,10,256,517,15,1
26,-30,365,353,15,1
27,-40,277,368,15,1
28,-20,301,766,15,1
29,-10,251,574,15,1
30,-30,267,539,15,1
31,-30,249,761,15,1
32,-10,228,796,15,1
33,-10,263,664,15,1
34,-30,253,674,15,1
35,30,263,730,15,1
36,-10,243,595,15,1
37,-30,236,642,15,1
38,-20,281,458,15,1
39,-20,230,556,15,1
40,40,268,479,15,1
41,30,242,306,15,1
42,20,241,673,15,1
43,10,238,798,15,1
44,40,297,760,15,1
45,20,258,386,15,1
46,-30,256,421,15,1
47,-30,201,550,15,1
48,-30,243,499,15,1
49,30,218,468,15,1
50,-40,246,764,15,1
51,-30,216,797,15,1
52,0,291,421,15,1
53,-20,206,379,15,1
54,-20,219,643,15,1
55,0,215,530,15,1
56,40,289,405,15,1
57,20,287,467,15,1
58,-20,238,334,15,1
59,-30,230,441,15,1
60,-10,254,451,15,1
61,10,214,519,15,1
62,-20,218,460,15,1
63,30,251,682,15,1
64,10,200,766,15,1
65,10,223,620,15,1
66,10,210,460,15,1
67,-20,201,437,15,1
68,30,205,644,15,1
69,-40,276,650,15,1
70,20,243,464,15,1
71,0,262,561,15,1
72,40,280,453,15,1
73,-10,254,466,15,1
74,-40,274,624,15,1
75,20,339,708,15,1
76,-10,247,736,15,1
77,0,273,337,15,1
78,30,280,728,15,1
79,10,240,770,15,1
80,20,258,744,15,1
81,-20,237,476,15,1
82,-30,218,689,15,1
83,-30,249,519,15,1
84,-40,288,372,15,1
85,-20,251,377,15,1
86,10,249,467,15,1
87,10,214,696,15,1
88,-30,257,611,15,1
89,-10,242,593,15,1
90,40,246,427,15,1
91,30,237,741,15,1
92,-30,274,733,15,1
93,-10,236,703,15,1
94,-40,296,596,15,1
95,40,319,489,15,1
96,-40,276,307,15,1
97,40,298,397,15,1
98,20,242,441,15,1
99,30,299,473,15,1
100,40,275,337,15,1
101,40,255,329,15,1
102,-30,263,576,15,1
103,0,282,378,15,1
104,0,274,626,15,1
105,0,234,403,15,1
106,20,258,572,15,1
107,-10,227,335,15,1
108,20,227,496,15,1
109,10,202,499,15,1
110,-30,204,571,15,1
111,30,314,665,15,1
112,-10,227,349,15,1
113,-40,203,562,15,1
114,-30,209,650,15,1
115,-20,212,460,15,1
116,-30,198,710,15,1
117,-30,205,630,15,1
118,-30,0,729,15,1
119,-20,234,705,15,1
120,40,295,560,15,1
121,-10,185,748,15,1
122,20,225,624,15,1
123,10,273,668,15,1
124,-40,232,686,15,1
125,40,267,710,15,1
126,-20,226,602,15,1
127,-40,283,448,15,1
128,10,219,729,15,1
129,40,269,640,15,1
130,10,265,365,15,1
131,-20,264,442,15,1
132,20,298,374,15,1
133,30,363,783,15,1
134,-40,290,585,15,1
135,-20,237,556,15,1
136,20,227,415,15,1
137,40,269,333,15,1
138,-40,264,672,15,1
139,-20,270,787,15,1
140,0,278,403,15,1
141,-20,207,611,15,1
142,40,305,407,15,1
143,20,330,613,15,1
144,20,334,514,15,1
145,30,329,418,15,1
146,10,297,532,15,1
147,10,312,688,15,1
148,30,299,529,15,1
149,20,226,692,15,1
150,30,206,624,15,1
151,10,261,472,15,1
152,0,253,762,15,1
153,10,232,695,15,1
154,30,337,430,15,1
155,10,304,422,15,1
156,-10,226,719,15,1
157,-30,237,614,15,1
158,30,221,771,15,1
159,10,226,560,15,1
160,10,205,677,15,1
161,0,255,773,15,1
162,-10,218,633,15,1
163,-40,239,749,15,1
164,-30,223,507,15,1
165,10,252,602,15,1
166,-30,233,557,15,1
167,-30,244,303,15,1
168,-10,222,657,15,1
169,0,204,669,15,1
170,10,232,482,15,1
171,20,207,718,15,1
172,10,200,470,15,1
173,10,199,573,15,1
174,-30,205,661,15,1
175,20,233,589,15,1
176,30,269,641,15,1
177,0,259,620,15,1
178,20,201,672,15,1
179,30,259,511,15,1
180,20,210,509,15,1
181,10,168,734,15,1
182,-40,266,608,15,1
183,-30,212,697,15,1
184,10,209,474,15,1
185,0,272,314,15,1
186,-40,175,645,15,1
187,10,236,523,15,1
188,0,228,585,15,1
189,30,257,521,15,1
190,-20,192,738,15,1
191,-40,228,366,15,1
192,40,255,611,15,1
193,20,318,336,15,1
194,-20,219,525,15,1
195,-10,188,774,15,1
196,20,230,506,15,1
197,10,206,492,15,1
198,40,229,386,15,1
199,20,231,778,15,1
200,-10,212,758,15,1
201,40,0,409,15,1
202,40,283,646,15,1
