trial, dist, RT, interstim, Brightness, NumberofLED
1,10,323,353,15,1
2,10,438,789,15,3
3,20,369,642,15,1
4,20,0,702,15,3
5,-40,0,462,15,3
6,40,437,546,15,3
7,20,385,759,15,3
8,20,0,535,15,1
9,-10,512,505,15,2
10,20,0,451,15,1
11,40,411,671,15,3
12,20,438,459,15,3
13,-40,411,700,15,1
14,-30,0,481,15,3
15,-40,469,685,15,2
16,40,471,657,15,3
17,20,0,616,15,1
18,-40,454,571,15,1
19,-10,420,488,15,2
20,-10,393,621,15,1
21,30,550,487,15,3
22,-10,405,452,15,1
23,-20,439,614,15,1
24,-10,0,562,15,2
25,-40,0,561,15,3
26,-30,410,572,15,2
27,10,437,367,15,1
28,-20,368,506,15,1
29,20,487,438,15,3
30,40,0,307,15,2
31,10,380,535,15,2
32,40,0,763,15,2
33,10,578,305,15,2
34,-30,470,670,15,2
35,20,0,370,15,1
36,10,494,651,15,1
37,-20,366,494,15,1
38,20,0,323,15,1
39,-10,411,512,15,2
40,30,519,574,15,3
41,20,436,519,15,3
42,-20,0,526,15,3
43,40,528,424,15,1
44,0,314,754,15,3
45,-40,516,494,15,2
46,0,320,364,15,2
47,0,316,402,15,2
48,10,0,670,15,3
49,30,399,627,15,1
50,0,537,351,15,1
51,-30,393,754,15,1
52,30,419,636,15,1
53,10,418,411,15,3
54,40,0,706,15,2
55,-40,0,385,15,3
56,20,468,469,15,3
57,30,467,523,15,3
58,20,0,698,15,2
59,-20,380,578,15,1
60,40,749,553,15,2
61,-20,493,666,15,2
62,30,573,419,15,3
63,10,410,609,15,1
64,-30,0,416,15,3
65,-20,478,676,15,2
66,-40,0,599,15,2
67,30,416,671,15,1
68,-10,375,713,15,1
69,20,456,439,15,1
70,20,497,445,15,3
71,-10,402,615,15,2
72,10,601,587,15,1
73,-40,0,531,15,2
74,30,0,352,15,3
75,10,456,418,15,2
76,0,343,683,15,2
77,30,407,659,15,3
78,-20,0,418,15,3
79,30,0,340,15,2
80,0,333,674,15,2
81,40,362,486,15,3
82,20,0,432,15,1
83,30,444,338,15,2
84,-10,383,484,15,2
85,0,463,442,15,2
86,30,553,571,15,1
87,30,605,743,15,2
88,0,406,313,15,1
89,0,433,636,15,3
90,-30,350,346,15,1
91,-10,343,611,15,2
92,-10,565,608,15,3
93,20,397,508,15,1
94,-10,0,305,15,3
95,-30,541,789,15,3
96,20,409,675,15,3
97,0,368,673,15,1
98,-30,476,566,15,3
99,20,0,596,15,2
100,-10,413,350,15,2
101,40,516,736,15,1
102,-10,372,573,15,3
103,-30,344,654,15,1
104,30,405,710,15,1
105,40,440,648,15,1
106,10,359,322,15,1
107,-20,534,758,15,2
108,-20,374,721,15,1
109,-30,0,772,15,2
110,0,391,356,15,3
111,-40,544,350,15,2
112,30,521,458,15,2
113,20,455,415,15,3
114,30,517,626,15,1
115,40,495,583,15,3
116,40,377,358,15,3
117,10,0,427,15,1
118,0,480,454,15,3
119,10,434,482,15,2
120,-20,0,407,15,2
121,10,383,618,15,1
122,10,0,668,15,3
123,10,320,444,15,3
124,-30,467,549,15,2
125,-30,0,615,15,1
126,-10,504,475,15,3
127,-10,359,630,15,1
128,10,486,686,15,2
129,-30,743,443,15,3
130,0,348,451,15,3
131,30,428,482,15,3
132,-30,349,663,15,1
133,-40,0,716,15,2
134,30,433,605,15,3
135,-30,395,766,15,1
136,40,0,643,15,2
137,0,0,744,15,1
138,-40,0,706,15,3
139,10,386,699,15,1
140,-10,589,587,15,3
141,0,400,648,15,2
142,20,349,506,15,3
143,-40,0,750,15,2
144,0,334,665,15,2
145,-20,329,526,15,2
146,10,336,546,15,2
147,0,384,620,15,3
148,30,418,466,15,1
149,-20,512,633,15,3
150,-20,400,475,15,3
151,20,333,533,15,2
152,-30,402,315,15,3
153,-10,368,638,15,2
154,10,456,567,15,3
155,20,512,491,15,3
156,0,558,381,15,1
157,20,0,521,15,2
158,-20,0,429,15,2
159,-40,420,496,15,2
160,40,0,604,15,2
161,-30,398,608,15,1
162,20,562,705,15,3
163,10,396,605,15,2
164,30,480,644,15,2
165,-30,373,493,15,1
166,-30,555,594,15,2
167,20,0,599,15,3
168,-20,511,345,15,3
169,40,0,648,15,3
170,-20,352,683,15,1
171,10,399,309,15,2
172,-40,0,791,15,3
173,10,443,578,15,3
174,-10,489,758,15,3
175,-10,336,775,15,3
176,-30,365,689,15,1
177,-10,365,452,15,1
178,10,668,442,15,3
179,-20,416,485,15,3
180,-30,451,591,15,3
181,0,362,590,15,3
182,40,440,379,15,1
183,-30,0,417,15,2
184,20,0,375,15,2
185,-20,0,462,15,2
186,20,447,383,15,1
187,40,891,512,15,1
188,-20,420,335,15,2
189,0,387,572,15,3
190,-20,0,431,15,2
191,-30,503,570,15,1
192,-10,345,621,15,1
193,-20,0,769,15,3
194,30,504,319,15,2
195,30,520,324,15,3
196,-20,421,727,15,1
197,-10,534,549,15,3
198,-40,374,723,15,3
199,-30,456,520,15,3
200,-30,437,534,15,1
201,-20,478,326,15,3
202,30,428,692,15,1
203,20,398,326,15,1
204,-40,552,557,15,3
205,0,382,308,15,1
206,0,329,636,15,2
207,10,346,321,15,1
208,40,0,763,15,2
209,40,425,363,15,3
210,40,532,472,15,3
211,20,370,331,15,2
212,-20,0,465,15,3
213,-10,450,572,15,3
214,-10,338,367,15,3
215,10,334,673,15,1
216,30,511,312,15,1
217,0,331,544,15,2
218,-10,416,357,15,3
219,30,394,752,15,3
220,-20,370,796,15,3
221,10,0,728,15,2
222,0,323,741,15,1
223,40,493,556,15,1
224,-20,0,686,15,3
225,40,0,587,15,2
226,30,396,528,15,3
227,20,0,354,15,2
228,10,355,382,15,3
229,0,352,440,15,1
230,30,542,548,15,1
231,-40,372,381,15,1
232,-30,453,323,15,3
233,0,349,330,15,2
234,20,0,628,15,2
235,30,499,491,15,2
236,40,412,589,15,3
237,40,538,315,15,1
238,10,0,758,15,3
239,40,485,451,15,1
240,0,375,443,15,3
241,40,331,560,15,1
242,20,551,413,15,3
243,40,0,716,15,2
244,0,289,609,15,1
245,-30,0,782,15,1
246,0,278,619,15,1
247,-10,0,783,15,2
248,30,0,636,15,3
249,20,445,666,15,1
250,-20,414,400,15,1
251,0,400,745,15,2
252,-10,431,419,15,3
253,0,455,445,15,1
254,-40,581,566,15,1
255,-40,0,564,15,3
256,-10,392,628,15,3
257,30,0,787,15,2
258,-10,297,761,15,1
259,-40,0,583,15,3
260,30,502,679,15,2
261,-30,526,473,15,3
262,-30,360,585,15,3
