Trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,-30,399,416,15,1,1
2,10,414,585,15,1,3
3,20,379,726,15,1,1
4,10,413,678,15,1,3
5,0,404,362,15,1,2
6,40,558,329,15,1,3
7,-10,442,464,15,1,2
8,20,647,770,15,1,2
9,-40,808,364,15,1,2
10,-40,632,473,15,-1,3
11,0,406,545,15,1,1
12,-20,414,750,15,-1,3
13,10,435,637,15,1,1
14,10,532,621,15,1,3
15,10,419,624,15,1,3
16,-40,413,744,15,1,1
17,20,0,637,15,0,3
18,10,394,469,15,1,1
19,0,412,551,15,1,2
20,-20,625,692,15,1,3
21,-30,468,339,15,1,2
22,0,463,531,15,1,3
23,-30,480,735,15,1,3
24,40,450,688,15,1,3
25,0,337,451,15,1,3
26,-40,671,672,15,1,3
27,-30,693,335,15,1,1
28,-10,625,716,15,1,2
29,0,414,504,15,1,1
30,-40,573,745,15,1,2
31,30,646,514,15,1,2
32,-20,500,763,15,1,2
33,0,367,735,15,1,1
34,-20,485,505,15,1,3
35,40,481,431,15,1,1
36,10,403,717,15,1,1
37,40,607,443,15,-1,2
38,20,378,798,15,1,1
39,-10,611,606,15,1,1
40,-30,485,558,15,1,1
41,-10,476,535,15,1,3
42,20,766,384,15,1,2
43,0,287,783,15,1,1
44,10,750,475,15,1,2
45,30,560,590,15,1,3
46,10,422,798,15,1,2
47,30,665,779,15,1,3
48,20,556,338,15,1,1
49,20,654,301,15,1,2
50,-30,547,559,15,1,2
51,30,462,476,15,1,1
52,20,542,753,15,1,2
53,10,593,729,15,1,1
54,-10,571,471,15,1,2
55,-20,424,547,15,1,2
56,-10,402,469,15,1,2
57,-30,463,359,15,1,1
58,40,591,751,15,-1,2
59,-30,466,303,15,1,1
60,-30,517,348,15,1,2
61,20,471,335,15,1,2
62,-20,541,365,15,1,2
63,-10,468,587,15,1,1
64,-10,514,662,15,1,2
65,-30,553,376,15,1,2
66,30,453,679,15,1,1
67,40,346,762,15,1,1
68,-10,379,776,15,1,2
69,10,378,786,15,1,1
70,-30,349,351,15,1,1
71,20,423,583,15,1,1
72,0,531,679,15,1,3
73,-10,477,734,15,-1,3
74,-10,419,771,15,1,1
75,-20,368,547,15,1,1
76,20,462,349,15,1,1
77,-10,482,709,15,1,3
78,-30,553,365,15,1,2
79,-30,604,662,15,1,3
80,10,442,689,15,1,2
81,-20,530,366,15,1,3
82,-10,346,764,15,1,1
83,40,599,699,15,1,3
84,20,480,595,15,-1,3
85,-20,378,704,15,1,1
86,20,444,398,15,1,3
87,-30,366,715,15,-1,1
88,-20,629,313,15,1,3
89,-10,427,740,15,1,1
90,-20,614,626,15,1,1
91,10,663,553,15,1,2
92,30,865,340,15,1,2
93,40,765,477,15,-1,2
94,0,572,477,15,1,2
95,-10,461,374,15,1,2
96,20,583,382,15,-1,3
97,-10,320,713,15,1,1
98,30,993,385,15,1,2
99,20,662,506,15,-1,2
100,20,562,574,15,1,2
101,-40,385,674,15,1,1
102,-10,550,793,15,1,3
103,-10,455,424,15,1,1
104,40,429,609,15,1,1
105,-20,421,458,15,1,2
106,0,432,524,15,1,3
107,-40,596,328,15,1,1
108,0,677,504,15,1,1
109,-10,392,516,15,1,2
110,20,558,720,15,1,1
111,0,598,632,15,1,2
112,10,568,321,15,1,1
113,10,814,476,15,1,3
114,-10,481,330,15,1,1
115,-40,715,587,15,1,2
116,40,545,342,15,1,1
117,-20,359,652,15,1,1
118,20,521,400,15,1,3
119,-10,554,498,15,1,3
120,20,488,729,15,1,1
121,-30,483,557,15,1,1
122,-10,371,681,15,-1,2
123,30,925,495,15,1,2
124,-30,569,795,15,1,2
125,-20,438,425,15,1,1
126,10,534,614,15,1,2
127,-10,369,437,15,1,1
128,20,369,721,15,1,1
129,10,586,698,15,1,2
130,10,423,507,15,1,3
131,-30,661,563,15,1,2
132,-40,493,794,15,1,2
133,-40,487,765,15,1,2
134,10,475,311,15,1,2
135,-10,374,427,15,1,2
136,-40,426,476,15,1,2
137,-30,338,718,15,-1,3
138,40,760,668,15,-1,2
139,40,398,753,15,1,1
140,30,506,634,15,1,3
141,-10,359,679,15,1,1
142,0,470,401,15,1,2
143,30,483,654,15,1,1
144,-40,591,536,15,1,2
145,40,471,606,15,-1,2
146,20,570,612,15,1,2
