trial, dist, RT, interstim, Brightness, NumberofLED
1,30,448,318,15,3
2,20,485,793,15,3
3,20,494,422,15,1
4,40,385,745,15,1
5,10,0,737,15,3
6,-10,388,325,15,1
7,-20,471,353,15,2
8,-40,463,631,15,1
9,-10,688,793,15,3
10,0,365,649,15,2
11,-20,464,421,15,3
12,20,362,624,15,2
13,40,365,393,15,3
14,20,534,523,15,1
15,-10,350,308,15,2
16,-30,411,432,15,2
17,30,365,793,15,1
18,-20,0,600,15,3
19,20,450,442,15,2
20,-20,386,729,15,3
21,-30,355,612,15,3
22,0,546,479,15,1
23,-20,379,376,15,2
24,-10,0,544,15,2
25,10,384,533,15,2
26,30,0,796,15,2
27,30,466,330,15,2
28,-20,390,683,15,2
29,-20,568,441,15,1
30,0,435,375,15,3
31,-20,0,742,15,3
32,40,471,647,15,3
33,30,460,519,15,3
34,30,471,744,15,2
35,-40,479,662,15,1
36,0,395,302,15,1
37,30,538,465,15,2
38,-20,440,756,15,2
39,-40,371,778,15,1
40,30,466,726,15,3
41,-20,442,719,15,3
42,-10,357,780,15,1
43,-30,430,594,15,3
44,-40,359,738,15,1
45,40,0,731,15,2
46,30,698,553,15,1
47,40,508,488,15,1
48,-30,496,750,15,3
49,40,0,782,15,3
50,-30,469,397,15,1
51,-30,0,335,15,2
52,-20,439,688,15,3
53,-30,455,466,15,1
54,-40,435,664,15,1
55,20,439,614,15,3
56,10,506,587,15,3
57,-30,456,781,15,2
58,40,561,463,15,3
59,0,377,505,15,2
60,0,366,758,15,2
61,40,0,535,15,2
62,-30,392,459,15,1
63,40,469,570,15,3
64,10,425,404,15,2
65,-40,0,442,15,3
66,20,383,723,15,2
67,20,463,570,15,2
68,0,476,326,15,2
69,30,431,567,15,2
70,40,489,721,15,3
71,10,458,791,15,3
72,10,410,625,15,1
73,10,387,579,15,1
74,-30,468,727,15,2
75,20,467,737,15,2
76,10,454,429,15,2
77,0,409,526,15,2
78,30,0,353,15,2
79,-40,470,359,15,1
80,-30,412,393,15,1
81,10,434,321,15,2
82,30,496,490,15,3
83,20,587,693,15,3
84,-40,379,770,15,1
85,-30,448,490,15,3
86,-30,415,620,15,3
87,20,390,735,15,1
88,0,358,526,15,2
89,10,433,432,15,2
90,30,450,693,15,3
91,-30,447,761,15,3
92,40,601,475,15,2
93,30,574,356,15,2
94,10,457,349,15,2
95,-20,507,666,15,3
96,10,382,358,15,2
97,-30,0,724,15,2
98,-40,823,568,15,3
99,20,0,508,15,2
100,0,466,328,15,3
101,-30,493,412,15,2
102,-30,431,684,15,3
103,-20,499,451,15,3
104,40,459,367,15,1
105,0,383,304,15,1
106,40,0,433,15,3
107,30,439,662,15,3
108,0,353,477,15,2
109,40,412,672,15,1
110,30,364,312,15,1
111,10,379,552,15,1
112,-40,478,379,15,1
113,-20,0,792,15,3
114,-40,0,538,15,2
115,20,498,749,15,2
116,30,441,403,15,3
117,30,490,546,15,2
118,-20,457,325,15,2
119,30,463,447,15,2
120,10,492,776,15,3
121,-20,521,391,15,1
122,-40,671,394,15,1
123,-10,456,356,15,2
124,10,390,622,15,1
125,10,450,463,15,3
126,30,0,621,15,2
127,0,368,304,15,3
128,-10,371,759,15,1
129,30,355,693,15,1
130,30,534,583,15,2
131,-30,563,405,15,2
132,40,0,783,15,2
133,-30,330,463,15,3
134,0,357,382,15,1
135,-40,355,462,15,1
136,30,460,542,15,2
137,-10,367,485,15,3
138,20,0,351,15,3
139,0,383,616,15,1
140,-20,508,629,15,2
141,-20,0,575,15,1
142,10,436,592,15,2
143,-30,470,407,15,2
144,-20,363,591,15,1
145,-30,444,501,15,2
146,-10,431,676,15,3
147,10,392,314,15,1
148,40,0,492,15,2
149,10,375,740,15,2
150,-20,675,647,15,1
151,0,412,524,15,3
152,-20,0,438,15,3
153,30,0,573,15,2
154,10,452,601,15,2
155,-10,417,735,15,2
156,10,366,540,15,1
157,-10,381,451,15,2
158,-30,500,785,15,2
159,-40,415,362,15,1
160,20,474,327,15,1
161,0,310,560,15,2
162,20,0,560,15,3
163,-20,410,510,15,2
164,30,582,432,15,3
165,-30,524,334,15,3
166,40,436,759,15,1
167,20,525,550,15,3
168,10,423,412,15,2
169,-10,437,449,15,3
170,10,474,605,15,3
171,-30,486,519,15,3
172,10,444,482,15,2
173,20,391,549,15,3
174,-30,453,623,15,1
175,-40,0,653,15,2
176,0,386,349,15,2
177,10,491,761,15,3
178,0,426,469,15,3
179,-40,474,315,15,1
180,20,436,658,15,1
181,10,379,479,15,2
182,-30,459,328,15,2
183,-40,464,678,15,2
184,-10,474,543,15,3
185,0,376,376,15,2
186,20,0,347,15,2
187,0,358,386,15,1
188,-20,523,339,15,2
189,-10,411,629,15,2
190,-30,351,600,15,3
191,-20,437,627,15,3
192,0,433,325,15,3
193,10,410,746,15,3
194,20,450,549,15,1
195,-20,538,443,15,1
196,30,400,549,15,3
197,30,437,729,15,1
198,-10,415,642,15,3
199,0,406,533,15,2
200,-30,433,446,15,2
201,40,430,591,15,1
202,30,481,385,15,1
203,0,356,666,15,1
204,40,0,612,15,3
205,-20,843,602,15,3
206,30,513,345,15,2
207,20,395,400,15,1
208,-40,572,393,15,3
209,-30,430,422,15,1
210,20,320,478,15,1
211,-30,561,418,15,1
212,-30,530,339,15,2
213,20,397,565,15,1
214,10,369,634,15,1
215,-10,351,519,15,1
216,-20,500,410,15,3
217,-20,396,671,15,2
218,-20,366,679,15,1
219,20,405,632,15,2
220,0,396,526,15,3
221,40,450,507,15,3
222,10,458,477,15,3
223,10,394,412,15,3
224,-20,0,508,15,1
225,-20,745,486,15,3
226,-10,453,788,15,3
227,-10,453,600,15,1
228,-30,392,332,15,1
