trial, dist, RT, interstim, Brightness, NumberofLED
1,10,478,397,15,3
2,10,467,466,15,3
3,-20,0,790,15,3
4,-40,517,559,15,3
5,40,985,555,15,3
6,-20,668,610,15,1
7,40,0,480,15,3
8,-20,569,418,15,1
9,0,519,554,15,3
10,-40,569,609,15,1
11,40,636,571,15,1
12,-20,619,323,15,3
13,30,0,750,15,3
14,0,448,707,15,1
15,20,670,423,15,1
16,20,676,697,15,2
17,10,676,358,15,3
18,-40,505,788,15,1
19,-40,546,585,15,3
20,0,482,582,15,3
21,-40,522,740,15,1
22,-30,627,554,15,3
23,-10,514,592,15,2
24,-20,435,745,15,1
25,10,424,775,15,1
26,0,459,648,15,2
27,0,511,349,15,2
28,-20,505,401,15,1
29,30,631,331,15,3
30,30,589,457,15,3
31,20,665,325,15,1
32,-30,614,795,15,2
33,-40,571,518,15,1
34,40,0,459,15,3
35,0,424,696,15,1
36,0,428,375,15,1
37,-40,638,377,15,2
38,20,568,357,15,2
39,20,574,667,15,1
40,-10,535,529,15,3
41,-40,808,586,15,3
42,-40,818,403,15,3
43,40,972,696,15,3
44,-40,737,499,15,3
45,30,0,632,15,3
46,40,533,737,15,1
47,0,544,769,15,3
48,20,500,698,15,1
49,-10,602,375,15,1
50,10,507,507,15,2
51,-30,654,566,15,2
52,-10,522,731,15,2
53,20,627,746,15,3
54,-30,710,580,15,2
55,-30,0,322,15,3
56,30,524,746,15,1
57,40,741,624,15,3
58,10,553,575,15,3
59,-20,553,473,15,2
60,0,498,428,15,3
61,20,523,527,15,1
62,20,0,783,15,2
63,30,543,376,15,1
64,-30,0,585,15,3
65,-20,608,531,15,2
66,10,569,415,15,3
67,40,614,327,15,1
68,-30,676,735,15,2
69,40,0,432,15,3
70,-10,467,769,15,1
71,10,639,426,15,1
72,-20,0,789,15,3
73,0,598,449,15,3
74,-40,687,499,15,3
75,20,499,399,15,1
76,0,415,759,15,1
77,0,477,505,15,2
78,-20,527,467,15,2
79,-10,513,741,15,2
80,40,869,495,15,2
81,-10,597,575,15,3
82,-40,561,413,15,1
83,-10,529,606,15,2
84,-40,880,571,15,1
85,20,578,360,15,1
86,-10,539,367,15,2
87,20,687,789,15,1
88,30,790,495,15,2
89,0,538,586,15,3
90,30,529,560,15,1
91,0,410,751,15,1
92,0,506,354,15,3
93,-40,540,353,15,1
94,-20,768,546,15,2
95,10,434,504,15,1
96,-20,0,509,15,3
97,0,377,737,15,1
98,-10,515,681,15,3
99,30,661,667,15,3
100,20,663,656,15,2
101,-40,633,694,15,1
102,-30,689,380,15,2
103,-10,527,488,15,2
104,-30,645,673,15,3
105,-40,661,427,15,2
106,-20,0,429,15,3
107,-40,715,322,15,2
108,-40,636,413,15,3
109,30,634,659,15,2
110,40,683,368,15,3
111,20,691,432,15,2
112,-30,713,614,15,2
113,20,646,677,15,1
114,10,523,344,15,1
115,40,782,531,15,1
116,-40,609,630,15,3
117,-40,700,588,15,1
118,20,671,777,15,1
119,10,659,326,15,1
120,20,616,668,15,1
121,-20,572,643,15,1
122,30,552,759,15,1
123,-40,770,762,15,2
124,30,877,654,15,3
125,-20,668,660,15,1
126,-40,596,685,15,3
127,20,598,626,15,2
128,0,538,744,15,3
129,30,0,490,15,2
130,-20,589,474,15,2
131,20,0,747,15,3
132,30,0,402,15,3
133,40,624,623,15,1
134,-20,0,307,15,3
135,10,500,509,15,3
136,20,0,405,15,3
137,-30,678,659,15,3
138,30,752,585,15,2
139,30,530,525,15,1
140,40,661,766,15,3
141,20,761,343,15,2
142,20,0,573,15,3
143,0,427,760,15,1
144,0,511,729,15,2
145,0,453,386,15,1
146,40,880,354,15,3
147,-30,616,501,15,3
148,40,678,437,15,1
149,20,625,716,15,2
150,-40,847,709,15,3
151,0,449,748,15,2
152,-10,596,600,15,3
153,-20,0,634,15,3
154,-20,663,339,15,2
155,40,573,505,15,1
156,40,714,453,15,3
157,30,562,356,15,2
158,0,558,528,15,3
159,30,629,711,15,2
160,-30,496,502,15,1
161,0,522,343,15,3
162,10,0,420,15,2
163,20,661,453,15,3
164,40,848,646,15,3
165,-10,495,468,15,2
166,-40,785,658,15,2
167,40,838,750,15,2
168,-40,845,358,15,2
169,-10,466,559,15,2
170,10,521,470,15,2
171,-10,510,692,15,1
172,10,568,726,15,2
173,10,635,561,15,2
174,10,543,642,15,3
175,-10,498,621,15,3
176,10,496,745,15,3
177,0,472,617,15,1
178,10,515,644,15,3
179,-10,481,413,15,1
180,-20,506,510,15,1
181,10,462,430,15,1
182,10,484,468,15,3
183,10,0,364,15,2
184,40,0,685,15,2
185,0,461,595,15,1
186,30,622,496,15,3
187,0,425,381,15,1
188,-10,534,712,15,3
189,-30,659,575,15,2
190,20,698,419,15,3
191,-30,726,320,15,3
192,-30,546,718,15,1
193,-30,730,791,15,1
194,0,541,787,15,3
195,-10,411,785,15,1
196,30,569,454,15,3
197,20,428,684,15,1
198,-30,531,764,15,1
199,-30,417,729,15,1
200,30,548,352,15,1
201,40,515,750,15,1
202,30,0,442,15,3
203,10,465,670,15,1
204,30,0,392,15,2
205,-10,0,496,15,2
206,-20,0,341,15,3
207,-30,515,418,15,1
208,0,495,371,15,3
209,30,534,475,15,1
210,-40,743,311,15,2
211,20,664,329,15,3
212,-10,476,634,15,2
213,-10,549,449,15,2
214,40,585,353,15,3
215,-40,703,709,15,3
216,-40,965,610,15,2
217,10,507,306,15,2
218,10,541,384,15,2
219,-10,543,507,15,3
220,20,625,664,15,3
221,0,461,692,15,2
222,-20,509,495,15,1
223,-10,525,555,15,3
224,-20,553,613,15,2
225,-10,598,496,15,1
226,-20,516,644,15,2
