trial, dist, RT, interstim, Brightness, NumberofLED
1,30,455,599,15,3
2,-30,388,783,15,2
3,30,528,321,15,2
4,10,587,544,15,3
5,10,514,431,15,1
6,0,380,597,15,2
7,0,366,455,15,3
8,-30,444,522,15,1
9,-40,634,478,15,1
10,-30,0,540,15,3
11,40,884,477,15,1
12,40,509,732,15,1
13,0,378,720,15,2
14,-10,334,595,15,1
15,30,507,391,15,3
16,10,0,414,15,3
17,-40,427,730,15,1
18,0,471,675,15,3
19,0,342,468,15,1
20,-20,450,602,15,2
21,40,414,543,15,3
22,-20,395,453,15,2
23,0,391,502,15,3
24,30,0,330,15,1
25,-30,0,473,15,2
26,-30,697,634,15,3
27,10,0,369,15,1
28,-20,438,379,15,3
29,-40,425,357,15,1
30,-10,455,771,15,3
31,30,401,634,15,2
32,20,395,476,15,1
33,-40,0,376,15,3
34,-30,470,325,15,1
35,40,0,590,15,2
36,-30,383,539,15,1
37,-30,602,790,15,2
38,30,0,740,15,2
39,-20,410,600,15,1
40,-40,349,384,15,1
41,40,483,593,15,3
42,-30,367,673,15,1
43,-10,320,525,15,1
44,0,349,619,15,2
45,-20,0,778,15,3
46,20,517,478,15,1
47,20,480,551,15,1
48,20,579,475,15,3
49,40,630,309,15,2
50,0,349,677,15,1
51,-40,372,340,15,1
52,-20,343,706,15,1
53,40,0,494,15,3
54,0,429,433,15,2
55,-40,454,322,15,1
56,-30,481,694,15,2
57,20,736,411,15,1
58,30,523,470,15,2
59,-40,772,304,15,2
60,30,464,496,15,3
61,40,0,372,15,3
62,10,401,648,15,2
63,-40,488,402,15,2
64,-40,0,469,15,3
65,40,695,417,15,1
66,-20,421,321,15,2
67,10,371,703,15,2
68,-30,396,575,15,2
69,-10,692,361,15,3
70,20,445,336,15,2
71,20,713,360,15,3
72,-30,619,319,15,1
73,20,0,401,15,3
74,-20,382,749,15,1
75,30,0,498,15,2
76,-20,478,642,15,2
77,-40,0,515,15,3
78,-10,368,538,15,2
79,0,434,700,15,3
80,30,444,314,15,2
81,10,416,466,15,1
82,10,488,446,15,2
83,-10,398,700,15,1
84,20,441,760,15,3
85,-40,0,665,15,3
86,0,412,363,15,1
87,-10,452,796,15,1
88,30,607,409,15,3
89,-20,342,550,15,1
90,10,400,361,15,1
91,-20,562,724,15,2
92,30,493,711,15,1
93,40,673,751,15,2
94,20,399,534,15,1
95,30,525,689,15,3
96,-20,0,439,15,3
97,-10,450,768,15,1
98,-20,496,669,15,2
99,40,0,497,15,2
100,-10,346,324,15,1
101,40,0,775,15,3
102,40,413,579,15,1
103,40,569,749,15,1
104,-40,449,395,15,1
105,-30,0,658,15,3
106,20,520,675,15,1
107,-10,430,559,15,2
108,-30,0,771,15,3
109,-40,433,373,15,1
110,30,485,433,15,2
111,10,476,627,15,2
112,40,450,740,15,1
113,-10,365,709,15,2
114,0,399,527,15,2
115,0,512,337,15,3
116,-10,456,709,15,2
117,20,358,333,15,1
118,40,0,504,15,3
119,40,519,428,15,1
120,10,392,566,15,1
121,-40,0,525,15,3
122,30,0,580,15,2
123,20,0,392,15,3
124,30,0,676,15,3
125,20,501,305,15,2
126,-30,465,582,15,2
127,10,364,766,15,1
128,10,508,772,15,3
129,10,380,484,15,1
130,20,507,779,15,1
131,20,510,402,15,2
132,-30,0,438,15,3
133,10,432,350,15,2
134,-20,354,712,15,1
135,-20,374,346,15,1
136,0,327,687,15,1
137,0,381,569,15,2
138,40,0,638,15,3
139,30,0,522,15,2
140,10,667,366,15,1
141,-40,0,427,15,3
142,-40,709,308,15,1
143,0,283,476,15,1
144,30,0,363,15,3
145,-20,442,663,15,1
146,0,509,518,15,3
147,30,342,756,15,1
148,20,358,592,15,1
149,-20,357,604,15,1
150,-10,351,773,15,1
151,-10,591,411,15,3
152,40,361,356,15,1
153,30,0,605,15,3
154,-40,782,793,15,2
155,-10,335,353,15,1
156,-20,0,557,15,3
157,20,422,707,15,3
158,-10,267,466,15,1
159,-20,421,624,15,2
160,-20,497,603,15,1
161,30,513,791,15,1
162,-30,0,561,15,3
163,10,436,540,15,3
164,-10,447,723,15,2
165,-30,391,711,15,2
166,-40,0,667,15,3
167,10,444,507,15,2
168,10,347,469,15,1
169,-40,495,690,15,2
170,-40,0,634,15,3
171,40,535,627,15,1
172,-30,405,649,15,1
173,10,351,421,15,1
174,40,0,711,15,3
175,-40,501,550,15,2
176,-10,515,593,15,3
177,0,420,788,15,2
178,30,0,402,15,2
179,-10,0,537,15,3
180,-20,0,780,15,3
181,20,310,525,15,1
182,-30,448,337,15,2
183,-40,393,330,15,1
184,0,322,426,15,3
185,20,358,313,15,1
186,-10,0,407,15,3
187,-20,0,387,15,3
188,30,0,482,15,3
189,-20,440,617,15,2
190,-10,476,398,15,3
191,-40,465,309,15,1
192,-10,0,748,15,3
193,-20,462,756,15,2
194,20,0,731,15,3
