trial, dist, RT, interstim, Brightness, NumberofLED
1,-30,390,626,15,3
2,-30,0,767,15,2
3,-30,457,399,15,2
4,-20,509,332,15,2
5,-40,0,447,15,3
6,-40,570,567,15,2
7,0,317,400,15,1
8,20,495,753,15,2
9,-20,635,489,15,2
10,-10,548,373,15,3
11,10,370,486,15,2
12,0,324,613,15,2
13,-10,384,714,15,1
14,-40,370,634,15,1
15,-30,335,680,15,1
16,10,362,300,15,2
17,10,364,781,15,1
18,-30,444,501,15,2
19,10,346,474,15,2
20,-30,359,603,15,1
21,30,639,530,15,2
22,30,0,781,15,3
23,40,0,369,15,1
24,10,485,384,15,1
25,30,647,325,15,2
26,10,671,534,15,2
27,-20,589,704,15,3
28,-10,465,448,15,3
29,-40,0,692,15,3
30,20,694,631,15,2
31,-10,436,625,15,1
32,-20,441,518,15,1
33,20,596,304,15,2
34,0,451,561,15,1
35,-40,677,738,15,2
36,-20,473,458,15,3
37,-20,458,411,15,3
38,10,397,494,15,1
39,-20,501,363,15,2
40,0,397,646,15,3
41,30,563,394,15,3
42,40,0,713,15,2
43,-40,528,410,15,2
44,-40,518,512,15,3
45,40,591,462,15,3
46,40,590,664,15,1
47,20,586,763,15,3
48,0,343,505,15,3
49,-40,0,371,15,1
50,40,0,430,15,2
51,40,678,725,15,3
52,10,453,441,15,1
53,-40,564,458,15,1
54,10,437,723,15,2
55,-20,484,320,15,2
56,40,647,320,15,1
57,-30,0,576,15,3
58,40,472,602,15,3
59,-20,457,329,15,3
60,30,587,530,15,3
61,0,547,768,15,1
62,20,0,419,15,2
63,20,461,380,15,3
64,0,337,587,15,2
65,0,332,780,15,1
66,-40,0,641,15,3
67,-30,459,721,15,2
68,30,466,539,15,1
69,20,0,371,15,3
70,0,384,489,15,3
71,-30,464,527,15,3
72,-20,483,745,15,2
73,-10,392,446,15,1
74,20,430,521,15,3
75,-40,0,339,15,3
76,30,0,314,15,1
77,10,358,507,15,1
78,-40,418,696,15,1
79,30,519,754,15,2
80,40,469,728,15,1
81,-30,420,444,15,1
82,-30,364,769,15,1
83,20,644,569,15,2
84,20,678,379,15,3
85,0,366,563,15,3
86,-10,367,604,15,1
87,20,394,763,15,1
88,10,515,388,15,3
89,10,310,729,15,3
90,-40,536,397,15,1
91,-10,444,300,15,3
92,-30,363,344,15,3
93,-10,339,536,15,1
94,-30,0,301,15,2
95,-30,459,612,15,3
96,0,358,784,15,3
97,0,343,407,15,3
98,10,391,667,15,3
99,-10,426,387,15,2
100,0,329,441,15,2
101,40,579,677,15,2
102,-30,464,480,15,3
103,-20,420,642,15,1
104,-10,363,461,15,1
105,-40,418,669,15,1
106,20,424,417,15,1
107,-30,346,610,15,1
108,20,471,762,15,3
109,-40,0,528,15,2
110,-40,0,631,15,3
111,-20,0,626,15,2
112,-40,525,530,15,1
113,-40,524,420,15,1
114,30,475,564,15,2
115,10,356,532,15,1
116,-10,396,366,15,3
117,20,512,732,15,3
118,-40,544,380,15,2
119,-20,492,708,15,3
120,40,527,309,15,3
121,-40,509,772,15,2
122,30,415,678,15,2
123,-20,483,729,15,3
124,30,452,710,15,3
125,0,309,337,15,2
126,-20,370,797,15,1
127,30,0,511,15,1
128,30,0,724,15,2
129,10,569,463,15,2
130,20,520,303,15,3
131,-20,378,525,15,1
132,-10,408,574,15,2
133,10,409,371,15,3
134,10,486,502,15,1
135,20,391,457,15,1
136,10,542,523,15,3
137,0,408,478,15,3
138,-20,364,357,15,3
139,-10,390,604,15,2
140,-40,515,676,15,3
141,0,478,705,15,2
142,-40,531,679,15,1
143,-40,459,771,15,1
144,30,463,627,15,1
145,10,337,462,15,1
146,10,378,332,15,1
147,-20,0,481,15,3
148,-10,352,318,15,1
149,20,433,586,15,3
150,10,466,344,15,1
151,40,562,529,15,3
152,0,352,668,15,1
153,-20,430,751,15,3
154,40,435,417,15,1
155,-40,404,686,15,1
156,20,0,750,15,2
157,40,572,796,15,1
158,20,0,390,15,2
159,30,432,720,15,2
160,-20,422,525,15,1
161,20,482,705,15,2
162,40,0,771,15,3
163,-40,633,358,15,2
164,10,0,593,15,1
165,-30,372,600,15,1
166,-40,0,501,15,3
167,0,380,519,15,2
168,40,569,503,15,1
169,20,574,620,15,1
170,-20,454,408,15,2
171,-40,0,700,15,2
172,20,490,527,15,2
173,-10,496,636,15,2
174,-30,450,752,15,2
175,10,486,722,15,1
176,-10,341,594,15,1
177,-10,427,504,15,1
178,0,0,795,15,3
179,30,459,517,15,3
180,30,459,591,15,1
181,-20,352,506,15,1
182,-20,519,304,15,3
183,30,0,542,15,2
184,0,379,360,15,3
185,0,377,454,15,3
186,20,0,491,15,2
187,-20,426,763,15,3
188,30,590,772,15,2
189,30,686,503,15,3
190,10,383,310,15,3
191,30,568,377,15,2
192,0,415,504,15,3
193,-40,0,753,15,3
194,0,401,325,15,2
195,20,432,611,15,3
196,-20,465,638,15,2
197,-40,0,615,15,3
198,10,0,635,15,1
199,-20,491,555,15,3
200,-10,495,407,15,2
201,30,0,500,15,3
202,-20,0,782,15,1
203,0,388,486,15,2
204,-40,598,663,15,2
205,10,387,418,15,3
206,-40,511,780,15,2
207,-30,452,520,15,1
208,-10,460,502,15,3
209,20,419,500,15,3
210,-20,532,557,15,2
211,-10,422,757,15,2
212,10,460,316,15,2
213,20,466,557,15,2
214,0,330,654,15,2
215,-40,384,477,15,1
216,-40,457,584,15,1
217,0,354,770,15,2
218,-40,503,662,15,1
219,-10,560,417,15,3
220,-40,0,749,15,2
221,20,516,402,15,2
222,-30,469,461,15,1
223,0,455,346,15,3
224,20,445,644,15,2
225,40,452,496,15,1
226,-30,439,747,15,3
227,-40,652,796,15,3
228,40,0,684,15,1
229,30,758,571,15,2
230,40,0,731,15,1
231,20,455,657,15,2
232,0,385,436,15,3
233,40,451,499,15,1
234,40,642,401,15,2
235,30,0,778,15,3
236,30,476,304,15,3
237,20,0,495,15,1
238,-20,616,590,15,2
239,-20,686,506,15,3
240,30,490,632,15,1
