rial, dist, RT, interstim, Brightness, Response, NumberofLED
1,-30,442,688,15,1,2
2,-40,523,600,15,1,1
3,0,426,550,15,1,2
4,20,558,430,15,1,3
5,40,775,335,15,1,2
6,-30,472,611,15,1,2
7,40,863,751,15,1,3
8,40,965,535,15,1,1
9,10,546,712,15,1,2
10,20,529,655,15,1,2
11,40,758,745,15,1,3
12,-40,581,682,15,1,1
13,0,470,662,15,1,2
14,-20,560,484,15,1,2
15,40,585,493,15,1,3
16,0,425,411,15,1,1
17,-30,412,508,15,1,1
18,10,448,651,15,1,1
19,-10,427,673,15,1,1
20,-20,477,496,15,1,2
21,-20,542,539,15,1,1
22,-10,367,582,15,1,1
23,-20,528,474,15,1,1
24,-10,642,456,15,1,1
25,30,589,558,15,1,2
26,-20,466,710,15,1,3
27,10,594,576,15,1,2
28,-10,916,340,15,1,1
29,10,351,377,15,1,1
30,0,415,570,15,1,2
31,-10,477,409,15,1,2
32,40,504,529,15,1,1
33,-30,557,518,15,1,3
34,-30,595,723,15,1,2
35,30,747,594,15,1,2
36,0,401,579,15,1,1
37,30,574,561,15,1,1
38,30,463,315,15,1,1
39,0,389,507,15,-1,3
40,40,853,609,15,1,2
41,-40,820,642,15,1,3
42,10,695,499,15,1,2
43,0,382,772,15,1,1
44,40,729,421,15,1,3
45,20,583,409,15,1,3
46,30,652,308,15,1,2
47,-10,650,389,15,1,3
48,20,638,602,15,1,2
49,-40,414,425,15,1,1
50,20,681,784,15,1,3
51,20,580,382,15,1,1
52,0,434,624,15,1,3
53,10,584,720,15,1,3
54,0,463,408,15,1,2
55,20,479,589,15,1,3
56,40,609,534,15,1,1
57,-20,554,483,15,1,2
58,30,634,616,15,1,2
59,-30,490,427,15,1,3
60,-10,398,359,15,1,1
61,0,560,442,15,1,3
62,10,447,797,15,1,3
63,40,452,544,15,1,1
64,-10,563,570,15,1,2
65,-20,564,730,15,1,2
66,-30,701,337,15,1,2
67,40,476,340,15,1,1
68,-20,391,537,15,1,1
69,20,497,606,15,1,2
70,-40,384,513,15,1,2
71,-10,354,665,15,1,1
72,-10,444,780,15,1,3
73,10,446,443,15,-1,2
74,40,498,771,15,1,1
75,-20,471,361,15,1,1
76,-20,417,387,15,1,1
77,20,494,632,15,1,2
78,-20,462,713,15,1,2
79,40,588,436,15,-1,3
80,-20,589,423,15,1,2
81,-40,416,734,15,-1,2
82,0,324,681,15,1,1
83,-20,366,583,15,1,2
84,-40,482,712,15,1,1
85,-10,395,560,15,1,2
86,40,626,796,15,1,1
87,-40,444,738,15,-1,2
88,-10,591,654,15,1,3
89,40,790,465,15,1,3
90,10,621,586,15,1,2
91,20,466,373,15,1,2
92,40,496,463,15,1,3
93,10,446,326,15,1,1
94,0,359,524,15,1,3
95,-30,390,305,15,1,1
96,40,372,446,15,-1,2
97,40,523,642,15,1,1
98,40,619,516,15,1,2
99,20,617,365,15,1,1
100,-10,484,727,15,1,2
101,10,621,403,15,1,2
102,20,628,623,15,1,3
103,0,385,591,15,1,3
104,10,379,517,15,1,3
105,-10,334,524,15,1,1
106,-10,480,401,15,1,2
107,-10,357,610,15,1,1
108,40,691,497,15,1,3
109,-20,391,783,15,1,2
110,-40,386,373,15,1,1
111,-20,403,423,15,1,1
112,30,465,399,15,1,3
113,-40,329,607,15,1,1
114,30,504,689,15,1,3
115,-40,381,561,15,1,1
116,0,342,478,15,1,3
117,0,360,659,15,1,1
118,-20,505,385,15,1,3
119,-10,395,670,15,1,2
120,40,783,536,15,1,2
121,0,348,746,15,1,1
122,0,400,550,15,1,3
123,-40,370,654,15,1,3
124,0,345,524,15,1,3
125,30,625,521,15,1,3
126,40,737,719,15,1,2
127,-40,505,435,15,1,2
128,-30,487,603,15,-1,3
129,40,621,545,15,1,3
130,0,549,342,15,1,3
131,10,778,372,15,1,2
132,30,477,590,15,1,3
133,10,554,645,15,1,2
134,-20,388,662,15,1,1
135,-30,525,725,15,1,2
136,40,681,607,15,1,3
137,0,331,499,15,-1,1
138,30,624,431,15,1,1
139,-40,913,416,15,1,1
140,10,334,797,15,1,1
141,-40,633,703,15,1,3
142,-40,517,611,15,1,1
143,0,474,409,15,1,1
144,-40,611,465,15,1,3
145,-40,536,786,15,1,3
146,40,687,516,15,-1,2
147,0,385,512,15,1,2
148,30,546,371,15,1,3
149,30,582,461,15,1,3
150,30,648,596,15,1,3
151,20,565,509,15,1,2
152,30,475,710,15,1,1
153,-10,460,462,15,1,1
154,20,787,654,15,1,2
155,40,703,569,15,1,2
156,-30,403,637,15,1,1
157,0,727,308,15,1,3
158,-30,516,458,15,-1,3
159,-10,473,450,15,1,3
160,-10,497,371,15,1,1
161,-20,518,667,15,1,2
162,20,623,626,15,1,3
163,20,566,418,15,1,1
164,30,615,675,15,1,2
165,-40,536,354,15,1,2
166,-20,588,317,15,1,3
167,-20,440,580,15,1,2
168,30,788,470,15,1,2
169,-40,455,602,15,1,1
170,-40,658,613,15,1,2
171,10,374,563,15,1,2
172,30,383,714,15,1,1
173,40,710,527,15,1,3
174,10,526,428,15,1,3
175,10,865,516,15,1,2
176,-30,415,435,15,1,1
177,-40,492,411,15,1,1
178,-30,386,661,15,1,1
179,10,402,314,15,-1,1
180,40,755,335,15,1,3
181,10,557,598,15,1,2
182,-10,540,469,15,1,2
183,30,554,346,15,1,3
184,20,584,479,15,1,3
185,30,509,681,15,1,3
186,-40,425,611,15,1,1
187,30,510,618,15,1,3
188,40,469,705,15,1,1
189,0,421,332,15,-1,3
190,40,654,406,15,1,3
191,-10,399,741,15,1,2
192,-20,365,703,15,1,2
193,0,329,773,15,1,2
194,-10,332,689,15,1,1
195,-30,388,379,15,1,1
196,30,319,463,15,1,1
197,40,462,321,15,1,1
198,-20,259,449,15,1,1
199,30,414,561,15,-1,2
200,-30,621,626,15,1,2
201,-10,521,449,15,1,3
202,0,375,418,15,1,3
203,20,408,404,15,1,1
204,40,744,778,15,1,3
205,40,468,717,15,1,1
206,30,0,313,15,-1,2
207,-10,436,763,15,1,1
208,0,586,439,15,1,3
209,-10,402,601,15,1,3
210,-40,385,439,15,1,1
211,0,249,425,15,1,1
212,40,634,718,15,1,2
213,-10,421,674,15,1,2
214,0,359,352,15,1,2
