trial, dist, RT, interstim, Brightness, NumberofLED
1,-40,573,783,15,3
2,30,498,797,15,3
3,10,468,702,15,3
4,-30,472,435,15,3
5,-30,496,365,15,3
6,40,0,751,15,2
7,20,700,447,15,1
8,-10,371,727,15,2
9,-20,384,728,15,3
10,-20,446,700,15,1
11,10,340,671,15,3
12,10,416,789,15,1
13,30,0,439,15,2
14,-10,435,712,15,2
15,30,553,431,15,1
16,-10,426,707,15,2
17,30,384,617,15,1
18,0,355,629,15,3
19,40,0,396,15,1
20,-40,531,337,15,1
21,10,0,590,15,2
22,10,392,653,15,2
23,-10,399,785,15,1
24,0,383,379,15,2
25,-20,0,652,15,2
26,10,582,667,15,2
27,-30,424,646,15,3
28,-20,612,360,15,1
29,30,495,444,15,1
30,-40,589,796,15,2
31,-40,559,449,15,1
32,40,448,678,15,3
33,40,529,733,15,3
34,0,525,318,15,1
35,-10,426,601,15,3
36,-10,377,306,15,1
37,0,379,436,15,2
38,20,421,689,15,1
39,30,426,544,15,3
40,20,480,378,15,2
41,40,460,566,15,3
42,0,351,534,15,2
43,-10,435,764,15,2
44,20,382,722,15,3
45,20,0,468,15,2
46,-40,745,742,15,2
47,-20,0,574,15,3
48,20,511,683,15,1
49,-40,646,437,15,3
50,30,511,443,15,1
51,-30,0,769,15,2
52,30,587,740,15,2
53,20,549,668,15,2
54,-30,546,622,15,2
55,-10,452,343,15,3
56,0,407,352,15,3
57,0,352,686,15,2
58,-40,450,581,15,3
59,30,539,785,15,2
60,-40,463,610,15,1
61,10,470,404,15,2
62,-10,497,499,15,3
63,-30,525,678,15,2
64,-40,474,539,15,3
65,30,420,708,15,1
66,-20,450,494,15,1
67,0,339,469,15,2
68,10,388,792,15,3
69,-40,520,695,15,2
70,-20,476,350,15,3
71,30,740,467,15,1
72,20,599,516,15,2
73,-40,483,627,15,3
74,-10,362,749,15,3
75,20,477,556,15,3
76,20,541,528,15,3
77,-30,511,393,15,1
78,-20,406,641,15,3
79,-30,404,378,15,3
80,20,719,612,15,2
81,-20,432,509,15,1
82,-40,0,548,15,2
83,0,404,548,15,3
84,20,434,556,15,3
85,20,549,538,15,2
86,0,387,316,15,2
87,10,0,727,15,1
88,-10,454,739,15,2
89,20,0,375,15,1
90,0,429,540,15,2
91,-40,533,411,15,1
92,10,467,342,15,3
93,40,488,704,15,3
94,30,501,746,15,1
95,0,452,543,15,3
96,0,349,541,15,1
97,30,681,775,15,3
98,40,0,570,15,2
99,30,560,420,15,3
100,0,333,659,15,1
101,-20,398,735,15,3
102,30,412,795,15,3
103,0,0,748,15,1
104,-40,630,377,15,1
105,-40,565,460,15,2
106,-30,575,691,15,2
107,-20,369,713,15,1
108,30,535,586,15,2
109,20,475,719,15,1
110,-30,490,768,15,2
111,-30,0,754,15,3
112,-20,479,653,15,3
113,40,515,316,15,3
114,-20,502,450,15,3
115,0,369,768,15,3
116,20,468,301,15,3
117,-30,0,665,15,1
118,-40,451,696,15,1
119,-40,0,412,15,2
120,30,460,498,15,3
121,40,589,311,15,3
122,-10,464,620,15,3
123,-30,479,768,15,3
124,40,0,342,15,1
125,-40,455,311,15,3
126,-20,380,414,15,3
127,10,0,625,15,1
128,-30,451,685,15,3
129,10,424,590,15,1
130,-30,569,568,15,2
131,-10,474,328,15,3
132,20,0,550,15,2
133,-30,469,563,15,1
134,-30,421,659,15,3
135,-40,539,658,15,1
136,20,0,794,15,2
137,-10,368,373,15,2
138,-20,406,643,15,3
139,0,422,533,15,1
140,-20,383,524,15,3
141,-40,483,355,15,3
142,0,479,678,15,2
143,-10,381,564,15,1
144,40,0,517,15,2
145,-40,453,623,15,3
146,-40,587,306,15,3
147,30,538,361,15,3
148,-30,607,665,15,1
149,-40,0,700,15,1
150,-20,0,319,15,2
151,-30,463,662,15,2
152,0,455,708,15,3
153,-30,412,508,15,3
154,10,424,635,15,3
155,-40,0,332,15,2
156,10,416,346,15,1
157,-40,632,528,15,1
158,-40,591,641,15,2
159,-40,551,728,15,1
160,-10,425,403,15,3
161,30,879,512,15,1
162,30,480,562,15,3
163,40,0,768,15,2
164,20,0,720,15,2
165,-20,789,675,15,2
166,20,978,424,15,1
167,20,469,501,15,3
168,40,463,626,15,1
169,30,584,750,15,3
170,40,0,527,15,1
171,10,578,376,15,1
172,-20,505,673,15,1
173,40,0,520,15,1
174,40,0,488,15,3
175,10,422,384,15,3
176,20,553,509,15,2
177,30,667,570,15,2
178,-10,689,496,15,3
179,20,498,645,15,3
180,-20,683,578,15,1
181,10,401,515,15,3
182,-20,401,777,15,1
183,40,457,586,15,3
184,-40,431,711,15,3
185,30,741,790,15,2
186,10,430,311,15,3
187,40,703,760,15,2
188,-30,515,343,15,3
189,-20,405,539,15,1
190,-30,513,416,15,1
191,0,482,684,15,1
192,20,397,529,15,1
193,30,605,723,15,2
194,20,438,779,15,1
195,20,0,562,15,2
196,-10,0,371,15,2
197,-20,526,556,15,3
198,10,464,561,15,2
199,30,607,546,15,2
200,-30,430,505,15,3
201,10,477,356,15,2
202,40,885,578,15,2
203,-20,709,506,15,1
204,20,611,314,15,2
205,-30,426,543,15,3
206,-30,558,554,15,2
207,30,626,479,15,2
208,-30,499,523,15,1
209,-20,481,628,15,3
210,10,416,484,15,3
211,20,611,652,15,1
212,40,457,713,15,1
