trial, dist, RT, interstim, Brightness, NumberofLED
1,30,535,590,15,1
2,-30,593,455,15,2
3,-10,650,746,15,1
4,-40,546,497,15,1
5,-40,801,710,15,3
6,10,835,754,15,3
7,30,634,640,15,3
8,-10,641,396,15,3
9,40,640,641,15,3
10,-30,598,331,15,1
11,20,613,621,15,2
12,0,532,556,15,3
13,30,722,771,15,1
14,-10,547,533,15,3
15,20,845,677,15,2
16,10,617,452,15,2
17,-30,603,664,15,2
18,-20,679,782,15,3
19,0,504,564,15,1
20,-20,677,533,15,2
21,-20,524,665,15,2
22,-10,610,677,15,2
23,-10,622,615,15,3
24,30,620,312,15,3
25,40,716,640,15,2
26,-40,606,334,15,2
27,-10,689,571,15,2
28,-20,629,454,15,1
29,-10,496,314,15,3
30,40,696,700,15,1
31,40,0,637,15,3
32,10,530,413,15,1
33,0,442,449,15,2
34,20,714,315,15,1
35,40,769,472,15,2
36,-10,554,664,15,1
37,20,655,583,15,3
38,-20,688,773,15,3
39,-20,595,679,15,3
40,10,550,777,15,1
41,40,623,326,15,3
42,-20,571,542,15,1
43,-30,695,730,15,2
44,-10,531,537,15,3
45,20,0,550,15,2
46,-40,687,416,15,3
47,-10,566,745,15,1
48,-30,566,367,15,1
49,-30,652,406,15,2
50,20,642,475,15,2
51,-30,655,594,15,2
52,-40,579,559,15,1
53,-30,682,457,15,2
54,-30,554,601,15,1
55,-20,847,656,15,3
56,-30,639,799,15,2
57,-20,518,405,15,1
58,30,667,328,15,3
59,10,574,629,15,1
60,20,562,769,15,1
61,20,765,642,15,3
62,0,445,391,15,2
63,0,549,527,15,3
64,10,542,312,15,2
65,-40,672,796,15,3
66,40,853,381,15,2
67,20,660,648,15,2
68,-10,630,440,15,1
69,-40,685,740,15,3
70,30,716,383,15,1
71,-20,0,373,15,3
72,0,440,726,15,1
73,20,525,788,15,3
74,20,795,374,15,2
75,20,716,551,15,2
76,-30,742,467,15,2
77,30,674,449,15,2
78,30,664,554,15,1
79,20,632,633,15,1
80,30,581,627,15,1
81,-10,547,542,15,1
82,-40,790,407,15,3
83,40,816,577,15,2
84,-10,494,387,15,2
85,-20,515,699,15,1
86,0,411,518,15,1
87,10,551,758,15,2
88,10,659,367,15,2
89,-30,611,657,15,2
90,-30,739,300,15,2
91,-20,570,581,15,2
92,-40,650,598,15,3
93,0,521,705,15,2
94,0,630,396,15,3
95,-40,732,450,15,2
96,30,624,775,15,3
97,10,583,506,15,2
98,-30,774,552,15,3
99,30,687,367,15,1
100,-40,671,334,15,3
101,20,626,641,15,1
102,0,473,661,15,2
103,0,464,618,15,2
104,10,614,775,15,3
105,0,435,370,15,1
106,20,595,310,15,3
107,-30,591,444,15,3
108,40,706,323,15,1
109,20,603,439,15,1
110,-40,641,318,15,1
111,-10,559,343,15,3
112,-20,579,310,15,2
113,30,607,423,15,1
114,0,466,397,15,1
115,20,680,723,15,1
116,-10,616,392,15,3
117,-40,726,553,15,2
118,40,739,310,15,3
119,30,681,619,15,2
120,30,546,583,15,1
121,10,503,727,15,1
122,-30,634,616,15,2
123,10,622,515,15,3
124,30,673,498,15,3
125,-30,627,412,15,2
126,-30,557,726,15,1
127,-30,676,449,15,3
128,30,654,788,15,3
129,-20,545,540,15,2
130,20,651,771,15,2
131,10,561,714,15,1
132,30,705,726,15,3
133,10,605,343,15,2
134,-30,672,733,15,3
135,30,620,407,15,3
136,20,605,673,15,3
137,30,657,766,15,1
138,10,499,614,15,1
139,20,547,779,15,1
140,-40,624,645,15,3
141,40,657,599,15,3
142,-30,578,302,15,1
143,40,679,662,15,3
144,-30,620,373,15,2
145,-20,571,681,15,1
146,0,553,580,15,3
147,40,709,681,15,2
148,0,480,301,15,2
149,-10,632,708,15,3
150,10,561,514,15,3
151,30,586,705,15,1
152,0,509,654,15,2
153,20,514,321,15,1
154,-10,572,487,15,2
155,0,538,742,15,3
156,30,722,326,15,1
157,40,689,442,15,3
158,-20,521,511,15,1
159,0,533,543,15,3
160,-20,685,629,15,3
161,-30,672,604,15,2
162,-30,570,491,15,1
163,30,692,434,15,2
164,-10,919,433,15,2
165,30,0,395,15,2
166,-10,575,791,15,1
167,-10,614,552,15,3
168,0,545,742,15,2
169,-30,549,478,15,1
170,-20,654,425,15,1
171,0,581,534,15,3
172,40,711,523,15,3
173,-20,540,614,15,1
174,30,557,315,15,1
175,0,467,326,15,1
176,20,548,377,15,1
177,-30,610,667,15,3
178,40,660,320,15,3
179,10,559,779,15,3
180,20,553,794,15,1
181,10,816,649,15,2
182,-10,561,799,15,1
183,20,557,475,15,1
184,0,637,448,15,3
185,-30,654,766,15,2
186,-20,730,330,15,2
187,-30,600,644,15,1
188,20,641,454,15,1
189,20,586,557,15,2
190,40,595,741,15,1
191,30,576,502,15,1
192,-10,469,447,15,2
193,-40,626,757,15,2
194,-40,592,533,15,2
195,-40,769,497,15,3
196,-40,580,736,15,1
197,-40,529,620,15,1
198,-10,520,589,15,2
199,40,652,314,15,3
200,-40,574,752,15,1
201,-20,728,303,15,1
202,30,704,510,15,2
203,40,873,338,15,2
204,30,711,603,15,3
