trial, dist, RT, interstim, Brightness, NumberofLED
1,40,530,555,15,1
2,-20,328,459,15,2
3,-10,387,673,15,1
4,-20,0,687,15,3
5,10,0,338,15,1
6,-40,483,533,15,1
7,-20,423,734,15,2
8,20,373,492,15,1
9,30,390,429,15,1
10,40,0,382,15,2
11,-40,581,724,15,2
12,-10,358,721,15,2
13,20,878,317,15,3
14,-40,404,722,15,1
15,-30,412,653,15,2
16,30,530,374,15,1
17,-20,410,488,15,2
18,0,509,311,15,3
19,30,511,371,15,3
20,-30,415,641,15,3
21,20,490,790,15,1
22,0,498,704,15,3
23,-10,743,524,15,2
24,40,483,647,15,3
25,10,347,759,15,1
26,30,614,705,15,2
27,10,419,387,15,1
28,-20,444,484,15,2
29,40,651,464,15,1
30,0,405,621,15,2
31,10,504,344,15,3
32,10,638,444,15,1
33,10,440,663,15,2
34,-10,475,389,15,3
35,-20,462,764,15,2
36,-20,638,315,15,1
37,-10,594,554,15,1
38,30,369,706,15,1
39,40,0,445,15,2
40,0,341,429,15,1
41,10,415,526,15,3
42,-10,499,796,15,1
43,-10,322,753,15,1
44,40,454,521,15,1
45,10,423,787,15,2
46,-20,403,605,15,2
47,20,465,684,15,3
48,20,582,447,15,2
49,-20,442,561,15,2
50,-10,382,521,15,2
51,-30,630,675,15,3
52,10,552,611,15,3
53,30,554,659,15,3
54,-20,459,559,15,2
55,40,551,738,15,3
56,-40,511,417,15,1
57,10,415,310,15,3
58,-40,417,593,15,1
59,40,620,409,15,1
60,-20,474,621,15,3
61,-10,447,511,15,3
62,20,444,784,15,3
63,30,812,488,15,2
64,-40,0,300,15,3
65,30,513,562,15,1
66,10,358,652,15,1
67,0,359,547,15,2
68,-10,392,553,15,2
69,-30,390,515,15,1
70,-40,414,512,15,1
71,0,376,549,15,1
72,0,399,617,15,2
73,-20,534,336,15,2
74,40,738,749,15,3
75,20,634,370,15,3
76,-20,518,566,15,2
77,-10,344,316,15,1
78,-10,372,489,15,3
79,40,475,652,15,3
80,0,386,346,15,2
81,-40,578,377,15,3
82,-20,433,465,15,2
83,30,759,432,15,2
84,-40,494,673,15,1
85,30,512,747,15,3
86,30,499,567,15,3
87,10,443,750,15,2
88,10,420,580,15,2
89,-20,346,600,15,1
90,40,560,647,15,1
91,-30,644,731,15,3
92,20,0,465,15,1
93,10,472,553,15,3
94,20,739,793,15,2
95,-20,486,327,15,2
96,20,471,458,15,2
97,-20,581,557,15,3
98,-40,575,554,15,2
99,30,432,779,15,1
100,-30,442,665,15,1
101,30,592,464,15,2
102,-30,418,772,15,2
103,10,0,415,15,3
104,20,0,432,15,3
105,-40,534,526,15,1
106,-40,442,568,15,1
107,10,408,495,15,1
108,-20,402,579,15,2
109,0,438,486,15,1
110,-10,582,774,15,2
111,40,0,545,15,2
112,0,392,731,15,1
113,-10,426,447,15,1
114,20,504,309,15,2
115,0,0,389,15,2
116,-20,462,437,15,2
117,-20,509,672,15,1
118,20,447,681,15,2
119,-40,524,584,15,2
120,-30,535,452,15,1
121,-10,492,500,15,3
122,10,739,489,15,1
123,-20,414,574,15,1
124,-20,475,571,15,3
125,10,583,407,15,2
126,0,522,519,15,2
127,-20,495,770,15,2
128,20,528,714,15,2
129,40,0,437,15,2
130,-40,457,756,15,1
131,30,720,637,15,3
132,10,450,346,15,3
133,20,470,443,15,3
134,30,634,510,15,1
135,30,783,603,15,3
136,10,615,425,15,3
137,20,402,507,15,3
138,-30,443,759,15,1
139,10,0,696,15,2
140,-40,389,687,15,1
141,20,587,379,15,2
142,-40,394,388,15,1
143,-40,541,466,15,2
144,40,880,799,15,1
145,-30,407,303,15,1
146,-30,466,710,15,3
147,-30,407,375,15,1
148,20,600,474,15,1
149,30,638,668,15,2
150,10,387,686,15,1
151,10,569,696,15,2
152,20,471,424,15,2
153,-40,435,609,15,2
154,-10,372,521,15,1
155,-30,475,339,15,2
156,30,499,485,15,1
157,10,509,372,15,3
158,-30,395,367,15,1
159,0,0,409,15,2
160,-40,589,352,15,3
161,0,388,556,15,3
162,-20,0,346,15,1
163,0,390,692,15,2
164,-20,356,721,15,1
165,40,530,736,15,1
166,-30,470,603,15,3
167,-10,400,503,15,3
168,30,462,456,15,1
169,0,461,779,15,3
170,10,434,347,15,3
171,-40,446,744,15,1
172,0,406,714,15,2
173,0,308,585,15,2
174,10,471,327,15,3
175,-40,671,704,15,3
176,40,649,537,15,1
177,-10,428,476,15,2
178,30,787,347,15,3
179,-20,437,609,15,2
180,-20,359,361,15,2
181,20,690,685,15,3
182,0,357,748,15,2
183,10,455,383,15,1
184,-30,462,616,15,3
185,0,404,680,15,2
186,-20,550,794,15,3
187,20,0,518,15,2
188,20,618,458,15,2
189,10,516,614,15,1
190,30,895,410,15,2
191,-40,498,559,15,2
192,10,417,504,15,1
193,-10,396,734,15,1
194,-40,520,763,15,1
195,0,457,616,15,3
196,10,412,411,15,3
197,0,357,447,15,2
198,20,0,508,15,2
199,-10,464,327,15,3
200,-40,549,664,15,2
201,40,0,568,15,2
202,40,762,703,15,3
203,20,558,531,15,2
204,10,467,658,15,3
205,10,0,490,15,1
206,-40,472,480,15,1
207,-30,661,601,15,3
208,0,418,327,15,1
209,-30,480,434,15,2
210,10,406,330,15,1
211,20,0,651,15,2
212,-40,521,371,15,2
213,10,386,570,15,1
214,10,393,497,15,1
215,-20,424,736,15,1
216,30,751,657,15,2
217,-20,387,782,15,1
218,-20,352,441,15,1
219,30,602,463,15,3
