trial, dist, RT, interstim, Brightness, NumberofLED
1,10,298,406,15,1
2,0,335,794,15,1
3,20,551,365,15,3
4,10,0,606,15,2
5,0,351,776,15,1
6,-30,592,600,15,3
7,10,0,795,15,2
8,-30,550,544,15,2
9,10,622,391,15,1
10,-40,719,671,15,3
11,-40,699,574,15,2
12,20,604,499,15,1
13,0,327,699,15,1
14,-10,397,769,15,2
15,20,520,784,15,1
16,20,567,659,15,3
17,0,379,424,15,2
18,-20,453,328,15,1
19,-40,498,636,15,1
20,0,374,651,15,3
21,10,534,618,15,2
22,-40,618,330,15,2
23,0,503,479,15,2
24,-30,520,763,15,2
25,30,765,608,15,2
26,20,630,448,15,3
27,20,644,794,15,3
28,-20,527,473,15,3
29,0,355,727,15,3
30,-20,575,528,15,3
31,10,0,322,15,1
32,-10,579,711,15,2
33,10,463,592,15,2
34,-10,522,322,15,3
35,0,336,461,15,1
36,-30,464,397,15,1
37,-10,477,584,15,3
38,-10,524,324,15,2
39,20,621,588,15,2
40,30,651,783,15,3
41,-40,617,353,15,3
42,40,692,681,15,3
43,-30,586,491,15,2
44,-30,566,581,15,2
45,-20,532,360,15,1
46,20,610,799,15,2
47,30,652,722,15,2
48,-20,603,659,15,3
49,-40,596,778,15,1
50,-10,504,356,15,2
51,-40,574,312,15,1
52,0,487,525,15,2
53,-10,399,636,15,1
54,0,511,559,15,3
55,30,528,488,15,1
56,20,688,788,15,3
57,0,512,777,15,2
58,10,769,717,15,2
59,20,451,648,15,1
60,0,418,655,15,3
61,40,516,610,15,1
62,20,457,540,15,2
63,-10,523,751,15,3
64,10,400,742,15,2
65,-30,0,652,15,3
66,40,490,355,15,1
67,30,446,735,15,1
68,40,635,723,15,3
69,-10,509,553,15,3
70,-20,510,369,15,3
71,-40,564,766,15,2
72,40,571,382,15,1
73,-10,499,562,15,3
74,10,452,374,15,2
75,30,890,346,15,2
76,20,423,581,15,1
77,20,606,571,15,3
78,30,664,451,15,3
79,-40,456,308,15,1
80,40,503,682,15,1
81,10,438,499,15,3
82,0,387,305,15,3
83,30,387,729,15,1
84,-10,466,444,15,2
85,0,0,326,15,2
86,-10,514,565,15,3
87,-10,454,680,15,2
88,-40,640,537,15,3
89,10,529,479,15,2
90,-20,648,621,15,3
91,10,592,394,15,1
92,-20,598,467,15,3
93,0,473,399,15,1
94,0,336,537,15,3
95,-10,437,743,15,2
96,20,617,673,15,2
97,-30,558,499,15,3
98,0,421,798,15,3
99,40,711,444,15,1
100,-40,561,646,15,3
101,-10,346,328,15,3
102,10,507,798,15,1
103,30,416,619,15,1
104,10,401,793,15,1
105,10,719,715,15,2
106,-20,395,441,15,1
107,-10,320,790,15,1
108,-20,584,361,15,2
109,-40,741,593,15,2
110,20,0,483,15,3
111,40,485,716,15,1
112,40,434,544,15,1
113,-20,725,463,15,2
114,20,0,474,15,3
115,20,616,645,15,3
116,-40,718,300,15,2
117,20,577,721,15,3
118,20,475,618,15,1
119,20,412,635,15,1
120,0,343,651,15,1
121,20,325,441,15,1
122,0,303,576,15,1
123,-30,813,492,15,2
124,30,773,332,15,3
125,30,778,406,15,1
126,-40,582,541,15,1
127,-30,508,590,15,3
128,-30,505,728,15,3
129,-20,396,434,15,1
130,-20,353,482,15,1
131,40,499,788,15,1
132,-20,571,614,15,3
133,40,342,630,15,1
134,-10,278,786,15,1
135,-30,318,595,15,1
136,0,292,566,15,1
137,30,397,462,15,1
138,-20,279,609,15,1
139,-40,0,621,15,2
140,-10,496,487,15,3
141,40,0,671,15,2
142,20,436,432,15,3
143,-40,605,574,15,2
144,-30,537,366,15,3
145,10,370,368,15,1
146,40,0,792,15,3
147,40,523,576,15,3
148,-40,622,728,15,3
149,0,362,612,15,3
150,30,729,468,15,1
151,-40,645,454,15,1
152,40,767,302,15,3
153,-10,503,418,15,1
154,30,631,498,15,1
155,30,597,616,15,2
156,0,417,684,15,3
157,10,421,621,15,1
158,10,431,336,15,3
159,20,380,792,15,1
160,-30,543,476,15,2
161,-30,567,530,15,2
162,0,317,490,15,1
163,0,316,559,15,1
164,-40,538,436,15,2
165,20,526,431,15,2
166,20,446,534,15,1
167,-20,411,705,15,1
168,-30,374,438,15,1
169,-10,333,771,15,1
170,-10,553,679,15,3
171,30,698,785,15,3
172,30,508,352,15,3
173,40,533,515,15,1
174,20,501,538,15,2
175,40,489,345,15,1
176,-20,518,461,15,2
177,30,598,738,15,2
178,0,0,726,15,2
179,-20,363,671,15,1
180,20,0,496,15,3
181,20,517,659,15,3
182,-20,0,506,15,2
183,30,795,366,15,2
184,40,813,663,15,2
185,-40,696,642,15,3
186,40,705,573,15,1
187,0,651,771,15,2
188,-10,415,593,15,2
189,10,0,488,15,2
190,-30,491,723,15,2
191,0,366,627,15,1
192,-30,468,519,15,2
193,-10,344,790,15,1
194,-30,355,485,15,1
195,-20,376,512,15,2
196,30,687,503,15,3
197,0,402,646,15,1
198,0,337,577,15,2
199,-10,522,304,15,3
200,-10,419,376,15,2
201,-10,552,586,15,3
202,40,921,385,15,3
203,-20,470,707,15,2
204,-10,474,782,15,3
205,-30,411,478,15,1
206,-10,374,755,15,1
207,40,451,741,15,1
208,-20,474,609,15,3
209,20,527,793,15,1
210,40,699,656,15,1
211,-20,679,414,15,2
212,0,656,324,15,3
213,20,421,319,15,1
214,20,603,459,15,2
