Trial, Ecc, RT, IT, Brightness, Stim ID
1,0,265,327,15,0
2,-45,195,797,15,0
3,45,242,515,15,0
4,-15,204,497,15,0
5,0,248,792,15,0
6,15,204,768,15,0
7,-45,385,311,15,0
8,0,191,779,15,0
9,-45,227,624,15,0
10,-15,245,668,15,0
11,-30,226,759,15,0
12,45,292,312,15,0
13,-45,199,630,15,0
14,30,197,765,15,0
15,15,238,399,15,0
16,0,204,424,15,0
17,-30,197,692,15,0
18,30,215,377,15,0
19,-30,198,342,15,0
20,0,194,687,15,0
21,0,201,476,15,0
22,0,211,522,15,0
23,15,246,785,15,0
24,-15,220,631,15,0
25,-45,202,359,15,0
26,45,205,370,15,0
27,45,199,665,15,0
28,30,231,493,15,0
29,-45,222,536,15,0
30,-30,200,537,15,0
31,45,228,343,15,0
32,15,202,403,15,0
33,0,269,323,15,0
34,-30,246,763,15,0
35,45,267,316,15,0
36,45,259,368,15,0
37,-45,256,366,15,0
38,-15,227,697,15,0
39,-45,460,692,15,0
40,15,232,628,15,0
41,0,241,308,15,0
42,30,243,740,15,0
43,-30,229,337,15,0
44,45,242,372,15,0
45,-30,210,591,15,0
46,30,260,739,15,0
47,-45,261,438,15,0
48,15,250,488,15,0
49,-45,249,593,15,0
50,-15,243,490,15,0
51,-15,228,452,15,0
52,45,222,427,15,0
53,0,211,667,15,0
54,0,253,654,15,0
55,0,213,672,15,0
56,15,302,369,15,0
57,45,229,760,15,0
58,30,211,699,15,0
59,15,249,531,15,0
60,0,228,685,15,0
61,0,240,633,15,0
62,-45,217,487,15,0
63,30,222,631,15,0
64,-30,233,389,15,0
65,0,247,365,15,0
66,30,364,586,15,0
67,-45,210,459,15,0
68,45,229,368,15,0
69,-30,235,385,15,0
70,-30,259,441,15,0
71,45,244,306,15,0
72,15,233,386,15,0
73,-45,179,685,15,0
74,-15,260,785,15,0
75,-30,233,683,15,0
76,30,219,581,15,0
77,0,270,569,15,0
78,-45,254,485,15,0
79,-15,340,503,15,0
80,15,218,463,15,0
81,30,376,745,15,0
82,0,269,780,15,0
83,30,252,607,15,0
84,30,230,408,15,0
85,45,275,434,15,0
86,15,260,666,15,0
87,30,259,469,15,0
88,15,214,680,15,0
89,30,210,798,15,0
90,0,288,436,15,0
91,0,268,618,15,0
92,45,228,508,15,0
93,0,248,567,15,0
94,30,265,445,15,0
95,45,248,598,15,0
96,-30,215,785,15,0
97,30,248,563,15,0
98,-15,233,769,15,0
99,15,212,776,15,0
100,0,282,625,15,0
101,-45,235,685,15,0
102,-15,285,513,15,0
103,45,266,688,15,0
104,0,277,342,15,0
105,-30,277,300,15,0
106,45,169,778,15,0
107,0,243,431,15,0
108,-45,249,682,15,0
109,-45,231,545,15,0
110,30,291,494,15,0
111,30,191,759,15,0
112,-30,248,684,15,0
113,30,256,671,15,0
114,-30,270,585,15,0
115,30,394,739,15,0
116,-15,229,639,15,0
117,45,262,384,15,0
118,-45,257,426,15,0
119,-30,289,374,15,0
120,-30,262,458,15,0
121,15,254,598,15,0
122,0,345,350,15,0
123,45,280,547,15,0
124,45,336,316,15,0
125,-30,277,459,15,0
126,0,290,384,15,0
127,45,289,456,15,0
128,45,275,302,15,0
129,45,414,725,15,0
130,30,189,773,15,0
131,0,244,537,15,0
132,30,266,628,15,0
133,45,320,325,15,0
134,0,252,788,15,0
135,-45,247,618,15,0
136,30,258,551,15,0
137,-15,378,687,15,0
138,-15,245,411,15,0
139,15,272,402,15,0
140,30,449,332,15,0
141,-45,248,653,15,0
142,30,259,758,15,0
143,-45,241,680,15,0
144,0,275,514,15,0
145,0,292,339,15,0
146,15,223,642,15,0
147,-30,267,348,15,0
148,-15,239,638,15,0
149,-45,289,306,15,0
150,30,197,365,15,0
151,-45,222,693,15,0
152,30,217,454,15,0
153,-30,225,378,15,0
154,-30,234,582,15,0
155,15,253,342,15,0
156,-15,329,658,15,0
157,-30,257,592,15,0
158,-30,232,661,15,0
159,45,283,322,15,0
160,15,240,777,15,0
161,-45,246,381,15,0
162,15,203,633,15,0
163,-30,227,606,15,0
164,-15,377,592,15,0
165,15,216,605,15,0
166,-30,253,336,15,0
167,-30,238,490,15,0
168,-30,383,645,15,0
169,0,248,578,15,0
170,-45,262,625,15,0
171,0,230,657,15,0
172,-45,285,363,15,0
173,-15,269,323,15,0
174,-30,203,636,15,0
175,30,231,679,15,0
176,-30,279,407,15,0
177,45,265,478,15,0
178,30,260,756,15,0
179,-15,219,601,15,0
180,-30,227,766,15,0
181,-30,251,689,15,0
182,-45,251,515,15,0
183,30,224,562,15,0
184,-30,180,733,15,0
185,30,339,784,15,0
186,-15,418,460,15,0
187,0,268,356,15,0
188,0,211,760,15,0
189,30,265,544,15,0
190,45,256,768,15,0
191,45,258,674,15,0
192,0,279,501,15,0
193,45,266,784,15,0
194,-45,322,564,15,0
195,-45,279,675,15,0
196,30,246,593,15,0
197,15,247,636,15,0
198,45,252,707,15,0
199,30,287,470,15,0
200,15,178,539,15,0
