Trial,Ecc,RT,IT,Brightness,Stim ID
1,15,245,485,15,0
2,0,219,614,15,0
3,-45,192,733,15,0
4,-30,307,420,15,0
5,45,267,594,15,0
6,0,227,738,15,0
7,30,211,422,15,0
8,45,296,331,15,0
9,45,235,505,15,0
10,-45,241,631,15,0
11,15,308,577,15,0
12,-15,192,698,15,0
13,45,265,556,15,0
14,-45,251,453,15,0
15,-30,242,399,15,0
16,-45,224,424,15,0
17,30,263,342,15,0
18,15,131,516,15,0
19,-15,214,779,15,0
20,-45,249,504,15,0
21,-15,262,393,15,0
22,-45,214,405,15,0
23,-30,274,548,15,0
24,15,229,464,15,0
25,30,213,703,15,0
26,45,294,653,15,0
27,-45,307,313,15,0
28,-45,237,691,15,0
29,-30,467,470,15,0
30,-30,259,610,15,0
31,-30,221,758,15,0
32,30,270,359,15,0
33,0,217,591,15,0
34,-30,178,537,15,0
35,0,260,495,15,0
36,45,245,470,15,0
37,30,239,349,15,0
38,-45,118,425,15,0
39,-15,0,477,15,0
40,15,132,733,15,0
41,-15,170,573,15,0
42,-15,257,304,15,0
43,0,0,593,15,0
44,0,236,342,15,0
45,30,154,614,15,0
46,15,228,483,15,0
47,-30,263,356,15,0
48,45,0,607,15,0
49,15,240,371,15,0
50,30,188,466,15,0
51,15,0,543,15,0
52,-15,0,715,15,0
53,30,364,416,15,0
54,-45,248,475,15,0
55,45,0,696,15,0
56,-15,234,300,15,0
57,0,232,473,15,0
58,-30,0,476,15,0
59,-15,161,616,15,0
60,-30,217,678,15,0
61,30,175,602,15,0
62,30,367,364,15,0
63,-45,248,557,15,0
64,0,221,423,15,0
65,-45,148,594,15,0
66,-15,233,400,15,0
67,0,215,492,15,0
68,45,205,632,15,0
69,-15,0,771,15,0
70,-15,267,417,15,0
71,-30,182,401,15,0
72,15,166,546,15,0
73,-30,213,432,15,0
74,0,232,499,15,0
75,45,0,655,15,0
76,30,213,411,15,0
77,0,149,550,15,0
78,30,195,712,15,0
79,30,278,337,15,0
80,15,231,431,15,0
81,0,219,753,15,0
82,-15,193,581,15,0
83,-30,203,642,15,0
84,-45,309,745,15,0
85,45,527,343,15,0
86,30,221,665,15,0
87,30,183,734,15,0
88,45,269,506,15,0
89,-30,303,486,15,0
90,45,280,341,15,0
91,0,241,384,15,0
92,-30,264,346,15,0
93,-30,253,749,15,0
94,0,265,734,15,0
95,-30,267,581,15,0
96,-30,233,471,15,0
97,15,145,659,15,0
98,45,280,558,15,0
99,0,219,603,15,0
100,45,225,474,15,0
101,-30,253,463,15,0
102,0,255,494,15,0
103,-15,265,509,15,0
104,15,216,599,15,0
105,45,0,691,15,0
106,30,266,437,15,0
107,-30,260,450,15,0
108,-45,294,444,15,0
109,30,253,433,15,0
110,0,156,686,15,0
111,-45,213,596,15,0
112,-30,177,779,15,0
113,-45,324,701,15,0
114,0,233,780,15,0
115,30,259,574,15,0
116,-30,278,527,15,0
117,-30,217,763,15,0
118,-45,296,570,15,0
119,-15,238,514,15,0
120,45,244,543,15,0
121,-30,235,546,15,0
122,15,250,441,15,0
123,-45,305,398,15,0
124,-45,237,717,15,0
125,15,233,603,15,0
126,-45,245,458,15,0
127,-30,135,765,15,0
128,45,208,713,15,0
129,45,322,731,15,0
130,0,341,373,15,0
131,15,241,483,15,0
132,-45,258,586,15,0
133,30,235,790,15,0
134,-45,228,564,15,0
135,-45,301,642,15,0
136,-45,285,576,15,0
137,45,259,636,15,0
138,-30,193,696,15,0
139,0,255,530,15,0
140,-45,276,771,15,0
141,-45,306,439,15,0
142,-45,280,413,15,0
143,45,244,780,15,0
144,45,259,651,15,0
145,45,280,753,15,0
146,0,252,470,15,0
147,-15,383,763,15,0
148,45,283,673,15,0
149,-30,300,588,15,0
150,-15,257,530,15,0
151,45,277,678,15,0
152,45,318,317,15,0
153,-15,267,479,15,0
154,-15,156,589,15,0
155,15,314,533,15,0
156,-45,277,450,15,0
157,0,274,379,15,0
158,30,165,579,15,0
159,-45,250,641,15,0
160,30,266,651,15,0
161,45,275,313,15,0
162,-45,196,703,15,0
163,45,391,502,15,0
164,15,0,797,15,0
165,30,221,565,15,0
166,-30,309,433,15,0
167,30,286,405,15,0
168,0,243,737,15,0
169,-15,290,381,15,0
170,-45,109,691,15,0
171,0,268,458,15,0
172,30,259,596,15,0
173,-30,261,380,15,0
174,0,248,557,15,0
175,45,305,313,15,0
176,30,234,357,15,0
177,30,298,741,15,0
178,45,328,401,15,0
179,0,247,622,15,0
180,45,333,348,15,0
181,-15,232,610,15,0
182,15,230,646,15,0
183,15,240,552,15,0
184,30,267,305,15,0
185,-15,261,361,15,0
186,-45,277,722,15,0
187,0,189,766,15,0
188,0,240,613,15,0
189,-45,290,581,15,0
190,15,219,542,15,0
191,45,340,320,15,0
192,45,251,412,15,0
193,0,381,335,15,0
194,30,402,723,15,0
195,45,218,354,15,0
196,-15,428,555,15,0
197,30,200,601,15,0
198,-45,358,699,15,0
199,45,420,500,15,0
200,-45,162,782,15,0
201,0,673,745,15,0
202,-45,321,442,15,0
203,30,223,711,15,0
204,15,426,415,15,0
205,-45,269,725,15,0
206,-45,326,751,15,0
207,15,241,759,15,0
208,-30,240,587,15,0
209,-45,294,699,15,0
210,15,268,342,15,0
211,-30,244,325,15,0
