Trial, Ecc, RT, IT, Brightness, Stim ID
1, 45, 272, 495, 15, 0
2, 45, 287, 775, 15, 0
3, -45, 278, 715, 15, 0
4, 30, 277, 594, 15, 0
5, 30, 277, 788, 15, 0
6, 15, 292, 591, 15, 0
7, -30, 325, 327, 15, 0
8, -45, 281, 355, 15, 0
9, 30, 260, 769, 15, 0
10, 0, 277, 591, 15, 0
11, -15, 244, 435, 15, 0
12, 45, 269, 543, 15, 0
13, -30, 457, 625, 15, 0
14, -30, 231, 770, 15, 0
15, 15, 254, 440, 15, 0
16, -30, 234, 695, 15, 0
17, 0, 261, 573, 15, 0
18, -45, 236, 549, 15, 0
19, 0, 250, 494, 15, 0
20, -45, 233, 708, 15, 0
21, -45, 212, 630, 15, 0
22, 15, 261, 739, 15, 0
23, -30, 418, 775, 15, 0
24, 0, 298, 359, 15, 0
25, -45, 232, 702, 15, 0
26, 45, 260, 320, 15, 0
27, -45, 227, 503, 15, 0
28, 45, 237, 694, 15, 0
29, 30, 224, 551, 15, 0
30, 30, 314, 400, 15, 0
31, -15, 210, 614, 15, 0
32, 15, 236, 559, 15, 0
33, 45, 250, 472, 15, 0
34, -30, 228, 451, 15, 0
35, -45, 218, 572, 15, 0
36, -45, 234, 306, 15, 0
37, 45, 228, 693, 15, 0
38, 15, 251, 484, 15, 0
39, -15, 270, 341, 15, 0
40, 30, 247, 354, 15, 0
41, -30, 227, 329, 15, 0
42, -30, 233, 583, 15, 0
43, 0, 255, 747, 15, 0
44, -30, 234, 624, 15, 0
45, -30, 223, 487, 15, 0
46, -15, 232, 597, 15, 0
47, 45, 260, 380, 15, 0
48, 15, 195, 451, 15, 0
49, 45, 254, 734, 15, 0
50, -15, 355, 789, 15, 0
51, -15, 293, 403, 15, 0
52, -15, 238, 465, 15, 0
53, 15, 231, 372, 15, 0
54, -15, 209, 669, 15, 0
55, 30, 239, 355, 15, 0
56, 45, 272, 316, 15, 0
57, -30, 228, 314, 15, 0
58, 30, 224, 495, 15, 0
59, 0, 211, 503, 15, 0
60, 45, 240, 555, 15, 0
61, -45, 252, 755, 15, 0
62, -15, 262, 343, 15, 0
63, -45, 262, 405, 15, 0
64, 45, 249, 738, 15, 0
65, 15, 241, 467, 15, 0
66, -30, 232, 343, 15, 0
67, 15, 231, 491, 15, 0
68, 30, 253, 339, 15, 0
69, -45, 201, 651, 15, 0
70, 15, 209, 413, 15, 0
71, 15, 224, 581, 15, 0
72, 45, 210, 472, 15, 0
73, 15, 231, 394, 15, 0
74, -45, 253, 762, 15, 0
75, -30, 235, 516, 15, 0
76, -30, 256, 354, 15, 0
77, -30, 252, 319, 15, 0
78, 0, 266, 656, 15, 0
79, -15, 199, 509, 15, 0
80, 45, 250, 592, 15, 0
81, 45, 228, 690, 15, 0
82, 45, 290, 402, 15, 0
83, 0, 248, 460, 15, 0
84, -15, 253, 392, 15, 0
85, 15, 249, 702, 15, 0
86, 0, 262, 460, 15, 0
87, -30, 263, 410, 15, 0
88, -45, 198, 771, 15, 0
89, 15, 265, 791, 15, 0
90, -45, 394, 408, 15, 0
91, -30, 262, 327, 15, 0
92, 45, 283, 303, 15, 0
93, -15, 220, 645, 15, 0
94, -30, 246, 393, 15, 0
95, 30, 446, 543, 15, 0
96, -15, 224, 633, 15, 0
97, -30, 251, 318, 15, 0
98, 30, 191, 795, 15, 0
99, -15, 251, 668, 15, 0
100, 30, 319, 372, 15, 0
101, 0, 257, 785, 15, 0
102, 15, 247, 370, 15, 0
103, -30, 223, 651, 15, 0
104, 30, 203, 553, 15, 0
105, -15, 222, 632, 15, 0
106, 45, 252, 571, 15, 0
107, -45, 284, 582, 15, 0
108, 30, 302, 572, 15, 0
109, -30, 250, 604, 15, 0
110, -45, 291, 390, 15, 0
111, -30, 383, 648, 15, 0
112, 0, 314, 709, 15, 0
113, -30, 257, 317, 15, 0
114, 15, 236, 511, 15, 0
115, 30, 263, 688, 15, 0
116, -30, 239, 569, 15, 0
117, 0, 255, 767, 15, 0
118, 30, 276, 544, 15, 0
119, 15, 272, 441, 15, 0
120, 30, 256, 318, 15, 0
121, 45, 301, 767, 15, 0
122, 30, 251, 662, 15, 0
123, 0, 241, 475, 15, 0
124, 15, 248, 612, 15, 0
125, -30, 241, 591, 15, 0
126, -45, 242, 740, 15, 0
127, -45, 245, 721, 15, 0
128, -30, 259, 501, 15, 0
129, 15, 252, 441, 15, 0
130, -45, 237, 622, 15, 0
131, 0, 234, 631, 15, 0
132, 15, 251, 473, 15, 0
133, 0, 151, 747, 15, 0
134, -15, 264, 536, 15, 0
135, 30, 277, 488, 15, 0
136, -45, 203, 543, 15, 0
137, -15, 213, 750, 15, 0
138, 0, 307, 338, 15, 0
139, -45, 237, 327, 15, 0
140, 15, 243, 736, 15, 0
141, 0, 240, 682, 15, 0
142, -45, 260, 359, 15, 0
143, -45, 247, 669, 15, 0
144, -30, 239, 636, 15, 0
145, -15, 267, 373, 15, 0
146, 0, 245, 519, 15, 0
147, 45, 267, 345, 15, 0
148, 0, 241, 312, 15, 0
149, -30, 359, 557, 15, 0
150, 0, 257, 476, 15, 0
151, 30, 255, 309, 15, 0
152, -15, 193, 571, 15, 0
153, -30, 227, 713, 15, 0
154, 15, 256, 461, 15, 0
155, 15, 262, 417, 15, 0
156, -30, 239, 404, 15, 0
157, 30, 250, 434, 15, 0
158, 0, 316, 308, 15, 0
159, -30, 189, 660, 15, 0
160, 30, 265, 488, 15, 0
161, 0, 247, 604, 15, 0
162, 30, 215, 757, 15, 0
163, -45, 301, 356, 15, 0
164, 30, 235, 512, 15, 0
165, 0, 235, 482, 15, 0
166, 30, 274, 512, 15, 0
167, 0, 233, 748, 15, 0
168, 30, 237, 729, 15, 0
169, 30, 443, 361, 15, 0
170, -30, 240, 701, 15, 0
171, 45, 214, 674, 15, 0
172, -45, 243, 516, 15, 0
173, -30, 225, 776, 15, 0
174, 0, 242, 781, 15, 0
175, 30, 271, 694, 15, 0
176, 30, 274, 552, 15, 0
177, 30, 287, 467, 15, 0
178, 45, 286, 377, 15, 0
179, -30, 251, 466, 15, 0
180, -15, 249, 389, 15, 0
181, -15, 130, 662, 15, 0
182, 30, 240, 410, 15, 0
183, 15, 410, 745, 15, 0
184, 30, 227, 401, 15, 0
185, 30, 264, 557, 15, 0
186, -45, 245, 656, 15, 0
187, 45, 221, 622, 15, 0
188, -30, 232, 663, 15, 0
