trial, dist, RT, interstim, Brightness, NumberofLED
1,0,321,478,15,3
2,15,344,418,15,3
3,-15,243,524,15,1
4,-30,251,776,15,3
5,30,329,750,15,1
6,-15,392,373,15,1
7,0,254,315,15,3
8,45,0,405,15,3
9,-30,326,587,15,1
10,-45,380,755,15,1
11,-15,345,304,15,1
12,0,325,466,15,1
13,0,311,585,15,1
14,-45,348,471,15,3
15,-45,600,437,15,1
16,0,231,355,15,3
17,-30,438,364,15,3
18,-45,273,619,15,3
19,0,338,603,15,1
20,15,389,585,15,3
21,15,330,348,15,1
22,30,260,332,15,1
23,0,258,340,15,3
24,30,333,760,15,3
25,-15,277,684,15,3
26,0,334,348,15,3
27,-45,271,707,15,3
28,-15,303,608,15,3
29,-45,464,689,15,1
30,-15,380,684,15,1
31,-30,292,798,15,1
32,-45,534,421,15,3
33,0,406,449,15,3
34,30,416,667,15,3
35,30,375,787,15,1
36,30,437,338,15,3
37,-15,291,593,15,1
38,30,341,766,15,3
39,45,324,603,15,1
40,-45,379,521,15,1
41,0,328,636,15,3
42,45,370,670,15,3
43,15,400,498,15,1
44,-30,346,384,15,1
45,-30,322,537,15,1
46,0,297,795,15,1
47,0,317,405,15,1
48,15,347,788,15,1
49,-45,429,708,15,1
50,-30,405,413,15,1
51,0,318,780,15,1
52,15,356,436,15,1
53,15,294,638,15,1
54,-45,490,656,15,1
55,-45,449,463,15,1
56,-30,278,683,15,1
57,45,364,619,15,1
58,30,433,765,15,3
59,-15,402,401,15,3
60,-15,350,677,15,3
61,15,286,509,15,1
62,30,309,743,15,1
63,45,288,604,15,1
64,45,370,792,15,3
65,-45,415,326,15,3
66,-30,375,375,15,3
67,15,387,381,15,3
68,30,367,774,15,3
69,-45,509,521,15,1
70,-15,405,728,15,1
71,0,465,574,15,3
72,-30,306,714,15,3
73,15,260,731,15,1
74,0,231,668,15,3
75,-45,398,422,15,1
76,45,350,775,15,3
77,30,272,334,15,1
78,-30,262,735,15,3
79,0,224,697,15,1
80,30,399,531,15,1
81,-30,293,656,15,3
82,30,247,529,15,1
83,45,497,713,15,3
84,15,427,428,15,1
85,0,429,701,15,1
86,-30,365,737,15,1
87,45,344,690,15,1
88,0,338,579,15,1
89,-30,404,476,15,3
90,-30,324,315,15,3
91,-30,462,479,15,1
92,45,313,459,15,1
93,45,0,767,15,3
94,15,344,347,15,1
95,15,317,567,15,1
96,15,363,544,15,1
97,-30,360,448,15,3
98,45,431,381,15,3
99,15,545,484,15,3
100,0,306,360,15,3
101,30,416,400,15,3
102,45,483,436,15,3
103,-45,501,520,15,3
104,-30,420,665,15,1
105,45,493,666,15,1
106,0,239,508,15,3
107,-45,400,475,15,3
108,-15,354,739,15,3
109,45,437,771,15,1
110,45,367,462,15,1
111,15,498,429,15,3
112,15,374,690,15,3
113,45,366,310,15,1
114,45,517,455,15,3
115,45,364,763,15,3
116,15,381,454,15,1
117,45,306,579,15,3
118,-15,584,758,15,1
119,-30,463,313,15,3
120,-45,348,603,15,3
121,-15,377,531,15,3
122,15,255,553,15,1
123,-45,399,420,15,3
124,45,436,756,15,3
125,15,410,609,15,1
126,-30,390,536,15,1
127,45,362,714,15,3
128,45,336,600,15,1
129,45,0,780,15,3
130,0,468,546,15,3
131,45,367,763,15,1
132,45,431,310,15,3
133,45,418,539,15,3
134,-45,371,324,15,3
135,-45,497,695,15,1
136,0,274,413,15,3
137,-15,338,386,15,3
138,-30,451,742,15,1
139,45,463,418,15,3
140,15,395,402,15,3
141,-30,342,677,15,3
142,30,362,686,15,3
143,-30,380,645,15,1
144,-45,388,374,15,3
145,30,361,430,15,1
146,-15,421,796,15,1
147,15,563,529,15,3
148,-30,335,615,15,3
149,-30,470,368,15,1
150,-15,316,628,15,3
151,-15,333,455,15,3
152,30,461,683,15,1
153,0,516,572,15,3
154,-30,440,358,15,3
155,-45,301,798,15,3
156,-15,367,385,15,3
157,-45,511,329,15,1
158,15,354,447,15,1
159,-15,268,646,15,3
160,0,280,621,15,1
161,-45,438,585,15,1
162,30,527,550,15,1
163,-30,421,554,15,3
164,15,339,756,15,3
165,-45,357,341,15,3
166,-15,395,454,15,1
167,-30,369,639,15,1
168,-15,450,607,15,1
169,-15,314,555,15,3
170,0,391,498,15,1
171,15,372,764,15,3
172,45,423,507,15,1
173,15,308,706,15,3
174,-15,338,765,15,3
175,-45,393,637,15,1
176,45,394,395,15,1
177,-30,409,559,15,1
178,15,374,676,15,1
179,45,440,647,15,1
180,-15,454,443,15,1
181,30,426,373,15,3
182,-30,357,516,15,3
183,-15,409,500,15,1
184,-45,443,340,15,3
185,30,324,665,15,1
186,30,373,748,15,3
187,-30,510,362,15,3
188,15,347,729,15,1
189,-30,332,733,15,3
190,-30,348,508,15,3
191,15,403,730,15,3
192,0,415,427,15,1
193,45,346,782,15,3
194,30,484,569,15,3
195,-30,342,740,15,3
196,-45,346,601,15,1
197,-45,405,636,15,1
198,-30,400,669,15,1
199,-45,366,786,15,3
200,-30,422,686,15,3
