trial, dist, RT, interstim, Brightness, NumberofLED
1, 0, 863, 670, 15,3
2, -15, 519, 444, 15,3
3, 45, 636, 547, 15,1
4, -45, 511, 689, 15,1
5, 0, 490, 540, 15,3
6, 45, 558, 631, 15,3
7, 45, 519, 621, 15,3
8, -30, 473, 783, 15,3
9, 45, 297, 538, 15,3
10, 30, 279, 384, 15,3
11, -30, 476, 739, 15,3
12, 15, 0, 477, 15,1
13, -15, 422, 617, 15,1
14, -45, 667, 507, 15,1
15, -45, 521, 418, 15,3
16, 0, 0, 487, 15,1
17, 30, 518, 523, 15,1
18, -30, 594, 365, 15,1
19, -45, 584, 571, 15,3
20, -15, 366, 564, 15,1
21, 15, 350, 430, 15,3
22, 45, 667, 530, 15,1
23, 30, 401, 347, 15,1
24, 30, 409, 420, 15,3
25, -45, 509, 539, 15,3
26, -45, 0, 610, 15,1
27, 45, 0, 686, 15,3
28, -30, 449, 343, 15,1
29, 45, 279, 585, 15,3
30, -15, 391, 781, 15,1
31, 30, 948, 415, 15,3
32, -15, 427, 550, 15,1
33, 15, 0, 664, 15,1
34, 0, 969, 350, 15,3
35, -15, 0, 711, 15,3
36, 0, 350, 682, 15,3
37, -15, 525, 647, 15,3
38, -15, 541, 528, 15,3
39, -30, 487, 518, 15,3
40, -15, 423, 601, 15,3
41, -15, 328, 461, 15,3
42, 15, 308, 737, 15,3
43, 15, 545, 682, 15,1
44, -45, 653, 610, 15,3
45, 30, 731, 453, 15,1
46, 0, 466, 684, 15,1
47, 30, 424, 630, 15,3
48, -45, 338, 533, 15,1
49, 30, 456, 619, 15,1
50, -30, 301, 733, 15,1
51, 30, 0, 390, 15,3
52, -30, 419, 683, 15,1
53, -15, 371, 793, 15,1
54, -45, 661, 597, 15,3
55, -15, 0, 757, 15,3
56, 30, 873, 597, 15,1
57, 15, 569, 324, 15,3
58, -45, 582, 479, 15,1
59, 0, 472, 577, 15,3
60, -45, 541, 405, 15,1
61, -45, 584, 629, 15,3
62, 0, 0, 783, 15,1
63, 15, 673, 794, 15,1
64, -45, 608, 756, 15,3
65, 0, 436, 488, 15,3
66, 0, 345, 457, 15,3
67, 45, 450, 730, 15,1
68, 45, 661, 561, 15,3
69, 30, 548, 717, 15,1
70, 0, 519, 460, 15,3
71, 0, 692, 338, 15,1
72, -30, 0, 447, 15,3
73, -45, 424, 364, 15,1
74, -15, 0, 521, 15,3
75, 15, 484, 467, 15,1
76, 15, 333, 390, 15,3
77, 0, 346, 353, 15,3
78, 30, 259, 392, 15,3
79, 15, 450, 302, 15,1
80, -30, 446, 696, 15,3
81, 15, 363, 533, 15,3
82, 45, 442, 750, 15,1
83, 30, 411, 337, 15,1
84, 15, 356, 466, 15,1
85, 15, 346, 481, 15,1
86, 30, 0, 753, 15,3
87, -15, 420, 662, 15,1
88, 30, 397, 717, 15,3
89, -45, 584, 679, 15,3
90, 0, 0, 611, 15,3
91, 15, 411, 440, 15,3
92, 0, 0, 590, 15,1
93, 15, 0, 734, 15,3
94, -45, 524, 395, 15,1
95, 30, 507, 474, 15,1
96, 15, 549, 618, 15,3
97, 30, 781, 618, 15,3
98, 45, 364, 782, 15,3
99, 30, 361, 605, 15,3
100, 45, 320, 600, 15,3
101, 30, 712, 635, 15,1
102, -15, 507, 787, 15,3
103, 0, 528, 329, 15,1
104, -45, 424, 424, 15,3
105, -30, 463, 301, 15,3
106, -15, 363, 524, 15,1
107, -30, 0, 674, 15,3
108, 0, 0, 454, 15,3
109, 30, 514, 415, 15,3
110, 30, 462, 643, 15,1
111, 30, 416, 708, 15,3
112, 30, 416, 539, 15,3
113, -30, 0, 682, 15,3
114, 0, 548, 782, 15,3
115, -45, 492, 480, 15,3
116, -45, 391, 491, 15,3
117, -30, 495, 393, 15,1
118, -30, 558, 703, 15,1
119, -45, 0, 552, 15,1
120, 15, 579, 570, 15,1
121, -30, 0, 797, 15,1
122, -15, 574, 769, 15,1
123, -15, 613, 547, 15,3
124, -15, 575, 668, 15,1
125, -15, 529, 735, 15,3
126, 0, 443, 507, 15,3
127, 45, 540, 654, 15,1
128, 15, 836, 635, 15,3
129, 45, 0, 510, 15,3
130, -30, 664, 326, 15,1
131, 45, 697, 643, 15,1
132, -15, 648, 666, 15,1
133, 0, 519, 631, 15,3
134, 45, 525, 704, 15,3
135, 0, 524, 700, 15,1
136, 45, 658, 432, 15,1
137, 30, 452, 393, 15,3
138, -45, 830, 736, 15,1
139, 0, 0, 430, 15,1
140, 45, 0, 355, 15,3
141, 0, 581, 400, 15,3
142, -30, 0, 599, 15,3
143, 15, 352, 781, 15,3
144, 15, 394, 338, 15,3
145, 45, 690, 469, 15,1
146, 0, 0, 640, 15,1
147, 30, 957, 362, 15,1
148, 30, 0, 436, 15,3
149, -30, 0, 522, 15,3
150, 0, 484, 431, 15,3
151, -15, 473, 597, 15,1
152, 45, 289, 453, 15,3
153, -15, 0, 747, 15,3
154, 15, 653, 689, 15,1
155, -45, 0, 700, 15,1
156, -30, 387, 675, 15,1
157, 0, 0, 631, 15,1
158, 15, 522, 342, 15,1
159, 30, 611, 435, 15,3
160, 0, 574, 423, 15,1
161, -30, 406, 440, 15,1
162, 30, 988, 486, 15,3
163, -30, 590, 706, 15,3
164, 15, 559, 595, 15,3
165, 15, 410, 575, 15,1
166, 0, 334, 712, 15,1
167, -45, 403, 670, 15,1
168, 0, 0, 516, 15,3
169, 45, 430, 531, 15,3
170, -45, 416, 695, 15,3
171, -45, 369, 583, 15,1
172, 15, 0, 462, 15,3
173, 45, 455, 619, 15,3
174, 30, 663, 636, 15,1
175, 15, 0, 568, 15,3
176, -30, 0, 650, 15,1
177, -15, 0, 316, 15,1
178, 15, 0, 350, 15,3
179, 45, 0, 445, 15,1
180, -30, 0, 510, 15,3
181, 45, 562, 346, 15,3
182, 45, 0, 393, 15,1
183, 30, 0, 636, 15,3
184, -15, 0, 670, 15,1
185, -15, 0, 587, 15,1
186, -15, 562, 604, 15,1
187, -15, 410, 632, 15,1
188, 45, 474, 796, 15,1
189, 0, 373, 359, 15,1
190, 30, 388, 798, 15,1
191, 45, 395, 627, 15,1
192, 30, 489, 748, 15,1
