trial,dist,RT,interstim,Brightness,NumberofLED
1,45,428,767,15,1
2,60,343,420,15,3
3,-60,0,565,15,3
4,45,446,597,15,1
5,-30,516,300,15,3
6,-60,969,396,15,3
7,15,377,378,15,1
8,-45,387,322,15,3
9,45,482,326,15,1
10,-45,498,615,15,1
11,0,399,395,15,3
12,15,421,381,15,1
13,-15,411,372,15,1
14,60,504,668,15,1
15,-45,435,608,15,3
16,-60,473,676,15,1
17,60,556,573,15,3
18,-15,451,339,15,1
19,30,400,316,15,3
20,15,373,702,15,1
21,-60,350,314,15,3
22,-60,425,657,15,3
23,-30,288,690,15,3
24,-30,292,657,15,3
25,30,373,300,15,1
26,60,399,562,15,3
27,-45,521,595,15,1
28,-15,424,705,15,3
29,-45,357,767,15,3
30,45,388,652,15,1
31,45,390,492,15,1
32,-60,356,677,15,1
33,0,313,517,15,1
34,-15,569,438,15,3
35,-30,450,628,15,3
36,0,366,799,15,3
37,-60,419,473,15,1
38,-30,566,416,15,1
39,-45,428,749,15,1
40,0,313,412,15,3
41,45,410,362,15,3
42,-30,269,769,15,1
43,-30,340,374,15,1
44,60,359,682,15,3
45,15,355,663,15,3
46,60,511,492,15,1
47,60,449,670,15,1
48,-30,394,403,15,3
49,0,391,518,15,1
50,-60,487,394,15,1
51,30,0,760,15,3
52,15,449,667,15,1
53,-45,552,353,15,3
54,15,477,471,15,3
55,-45,616,797,15,1
56,-60,413,693,15,1
57,-60,554,326,15,3
58,0,429,375,15,3
59,60,483,395,15,1
60,-30,456,382,15,1
61,-30,492,434,15,1
62,-45,476,621,15,3
63,60,489,350,15,1
64,45,489,751,15,1
65,0,387,319,15,1
66,-45,398,382,15,1
67,-45,383,450,15,1
68,60,421,446,15,3
69,45,361,324,15,3
70,-15,411,708,15,1
71,-15,353,300,15,1
72,60,439,444,15,3
73,0,367,313,15,3
74,60,505,396,15,1
75,-15,357,523,15,1
76,-45,273,717,15,1
77,15,410,464,15,3
78,30,0,327,15,3
79,-60,535,672,15,3
80,45,821,635,15,3
81,15,472,457,15,1
82,60,552,496,15,3
83,-60,555,513,15,1
84,60,416,430,15,1
85,-45,489,396,15,1
86,-60,604,645,15,3
87,30,0,770,15,3
88,45,618,472,15,3
89,30,433,453,15,3
90,60,517,363,15,1
91,0,414,342,15,3
92,60,427,323,15,1
93,30,730,597,15,1
94,-30,0,302,15,1
95,-30,681,629,15,1
96,45,472,524,15,1
97,15,572,555,15,1
98,15,424,538,15,3
99,30,464,319,15,3
100,15,393,628,15,1
101,45,350,470,15,3
