Trial,Ecc,RT,IT,Brightness,Stim ID
1,0,406,635,15,3
2,0,474,595,15,1
3,30,347,327,15,1
4,-45,353,379,15,3
5,-30,480,668,15,1
6,-45,390,557,15,1
7,30,382,715,15,1
8,45,270,379,15,3
9,-30,263,326,15,1
10,-45,374,582,15,1
11,15,364,489,15,1
12,-15,362,642,15,3
13,-30,294,663,15,1
14,45,294,696,15,3
15,0,334,541,15,1
16,-45,389,762,15,3
17,15,0,700,15,3
18,-15,338,394,15,3
19,-45,346,525,15,3
20,15,0,319,15,3
21,45,662,408,15,1
22,45,423,557,15,3
23,45,279,756,15,3
24,-30,435,402,15,1
25,-15,281,511,15,3
26,15,383,334,15,1
27,45,0,649,15,1
28,-30,394,520,15,3
29,-15,380,588,15,3
30,45,331,349,15,3
31,-30,515,622,15,3
32,-30,420,581,15,1
33,30,339,378,15,3
34,-15,430,424,15,1
35,-15,362,503,15,3
36,-30,447,333,15,1
37,0,358,618,15,3
38,15,313,314,15,3
39,0,408,784,15,1
40,0,294,753,15,1
41,15,264,308,15,3
42,-15,0,491,15,3
43,-45,321,352,15,3
44,-45,295,594,15,3
45,15,261,690,15,3
46,-45,359,726,15,3
47,45,0,716,15,1
48,30,340,613,15,3
49,-15,321,774,15,3
50,30,304,779,15,3
51,0,365,471,15,1
52,-30,348,735,15,3
53,15,484,348,15,1
54,45,412,555,15,1
55,-45,391,486,15,3
56,-15,340,715,15,3
57,-30,357,729,15,3
58,-30,406,744,15,3
59,15,339,504,15,1
60,-45,365,757,15,3
61,-45,298,498,15,3
62,-15,369,676,15,1
63,-45,348,755,15,1
64,30,413,744,15,1
65,-30,242,754,15,3
66,30,368,581,15,3
67,-45,0,776,15,3
68,45,346,527,15,1
69,-30,483,492,15,1
70,-15,319,589,15,1
71,45,268,514,15,3
72,30,427,485,15,1
73,15,360,412,15,3
74,15,360,396,15,1
75,30,337,786,15,3
76,-15,367,489,15,3
77,-45,241,720,15,1
78,0,302,680,15,1
79,-45,0,321,15,1
80,30,444,415,15,3
81,-45,355,721,15,1
82,30,281,308,15,3
83,-45,238,692,15,1
84,45,423,752,15,1
85,30,306,529,15,1
86,0,325,302,15,1
87,0,298,654,15,1
88,-15,378,430,15,3
89,-45,401,622,15,1
90,-30,336,458,15,1
91,-15,0,590,15,3
92,-15,337,457,15,1
93,45,273,582,15,3
94,-15,328,792,15,1
95,15,438,351,15,1
96,-15,410,448,15,1
97,45,344,669,15,1
98,0,326,784,15,3
99,-45,0,517,15,3
100,30,266,431,15,3
101,-30,406,458,15,3
102,30,415,398,15,1
103,15,297,773,15,3
104,45,0,581,15,1
105,45,324,457,15,3
106,30,364,782,15,1
107,0,447,578,15,1
108,-30,440,710,15,1
109,-15,363,462,15,1
110,-30,353,599,15,1
111,-30,306,557,15,1
112,0,275,460,15,3
113,-30,273,559,15,1
114,30,241,341,15,3
115,30,429,499,15,1
116,30,0,536,15,1
117,0,506,365,15,1
118,30,269,721,15,3
119,-45,361,517,15,1
120,-30,287,792,15,1
121,-30,280,570,15,1
122,-30,304,495,15,1
123,-45,277,606,15,1
124,-30,516,388,15,3
125,30,286,730,15,3
126,0,537,653,15,1
127,45,391,475,15,1
128,-30,427,708,15,3
129,45,399,407,15,1
130,0,390,311,15,3
131,30,267,566,15,3
132,0,275,786,15,3
133,-45,0,731,15,3
134,45,269,481,15,3
135,-15,346,543,15,1
136,30,440,684,15,1
137,0,368,781,15,3
138,-30,396,381,15,1
139,30,421,347,15,1
140,45,346,397,15,1
141,45,0,680,15,3
142,30,319,685,15,1
143,-15,442,585,15,3
144,45,292,764,15,3
145,45,289,444,15,3
146,0,352,770,15,1
147,-30,436,556,15,3
148,45,0,462,15,1
149,0,445,482,15,1
150,30,290,603,15,3
151,15,352,588,15,3
152,-45,282,723,15,1
153,-15,320,682,15,1
154,30,428,723,15,1
155,-30,349,797,15,1
156,30,394,481,15,1
157,45,418,561,15,3
158,-45,0,698,15,3
159,-30,589,301,15,1
