trial, dist, RT, interstim, Brightness, NumberofLED
1,0,826,441,15,1
2,30,513,790,15,3
3,-15,510,585,15,3
4,15,351,563,15,3
5,15,323,648,15,3
6,-45,389,674,15,1
7,-30,443,701,15,1
8,-15,464,448,15,3
9,30,345,603,15,3
10,15,435,620,15,3
11,-30,374,324,15,3
12,15,386,334,15,1
13,-30,326,653,15,3
14,15,313,580,15,1
15,-15,348,661,15,1
16,45,396,384,15,1
17,0,358,600,15,3
18,-15,296,652,15,3
19,0,309,682,15,3
20,45,388,543,15,3
21,30,460,640,15,1
22,-45,379,303,15,3
23,-45,423,570,15,1
24,-45,314,781,15,1
25,0,367,489,15,1
26,45,305,577,15,3
27,45,0,331,15,1
28,-45,423,796,15,3
29,45,452,724,15,3
30,0,427,607,15,3
31,-45,417,615,15,3
32,30,478,327,15,3
33,-30,475,378,15,1
34,-15,381,748,15,3
35,30,397,669,15,1
36,15,375,746,15,1
37,-45,422,613,15,3
38,45,415,391,15,3
39,-15,421,322,15,3
40,-30,390,631,15,1
41,0,318,506,15,3
42,15,389,427,15,1
43,-15,365,321,15,3
44,-30,313,597,15,1
45,-30,278,623,15,3
46,-30,419,610,15,1
47,0,304,636,15,3
48,0,0,579,15,3
49,-30,312,623,15,3
50,-30,428,310,15,1
51,15,308,378,15,3
52,0,365,473,15,1
53,45,410,581,15,1
54,15,749,601,15,1
55,45,503,759,15,3
56,-45,501,523,15,3
57,-30,461,372,15,1
58,15,345,452,15,3
59,-15,516,368,15,3
60,-45,405,303,15,3
61,-45,411,388,15,1
62,-30,303,500,15,1
63,0,283,790,15,1
64,-45,328,754,15,1
65,15,347,386,15,1
66,0,377,584,15,3
67,45,354,336,15,1
68,45,388,610,15,3
69,-30,547,778,15,3
70,-30,431,593,15,1
71,15,363,590,15,1
72,15,373,491,15,1
73,45,337,514,15,1
74,30,416,499,15,3
75,-15,0,527,15,3
76,-45,460,335,15,1
77,0,418,704,15,1
78,-15,342,516,15,1
79,0,285,789,15,1
80,-15,420,463,15,3
81,15,639,664,15,3
82,-30,358,747,15,3
83,-45,345,374,15,1
84,-30,307,658,15,1
85,-15,284,778,15,1
86,-30,459,516,15,1
87,-45,437,688,15,3
88,-30,531,324,15,3
89,-30,368,536,15,3
90,-45,375,774,15,3
91,0,436,391,15,1
92,-45,351,600,15,1
93,-30,361,551,15,3
94,45,387,640,15,3
95,15,358,366,15,1
96,45,315,490,15,3
97,0,445,448,15,1
98,-30,365,796,15,1
99,0,373,385,15,1
100,-30,308,315,15,3
101,30,342,505,15,3
102,0,301,687,15,1
103,-45,522,675,15,1
104,30,292,636,15,1
105,-15,389,559,15,1
106,30,344,683,15,3
107,-45,552,386,15,3
108,-15,470,752,15,3
109,-15,398,546,15,1
110,45,344,527,15,3
111,-30,383,514,15,1
112,30,350,770,15,3
113,-15,364,439,15,1
114,-45,326,562,15,3
115,-45,338,626,15,1
116,-15,321,755,15,3
117,15,414,749,15,1
118,15,344,600,15,1
119,15,314,670,15,3
120,45,671,782,15,3
121,-30,393,668,15,3
122,-15,446,350,15,3
123,45,401,580,15,3
124,45,515,759,15,1
125,30,380,558,15,1
