trial, dist, RT, interstim, Brightness, NumberofLED
1, -15, 0, 477, 15,3
2, -30, 721, 602, 15,3
3, 45, 544, 591, 15,1
4, 45, 575, 751, 15,1
5, -15, 382, 385, 15,1
6, -30, 340, 634, 15,1
7, -15, 283, 461, 15,1
8, -30, 725, 305, 15,3
9, -15, 370, 451, 15,1
10, 30, 321, 662, 15,3
11, 0, 441, 689, 15,3
12, 15, 349, 744, 15,3
13, 0, 444, 449, 15,1
14, 45, 380, 681, 15,3
15, 45, 485, 664, 15,1
16, 45, 324, 732, 15,1
17, 45, 297, 570, 15,1
18, -30, 288, 371, 15,1
19, 0, 0, 739, 15,3
20, -45, 398, 760, 15,3
21, 0, 350, 505, 15,3
22, 45, 380, 407, 15,1
23, 30, 337, 324, 15,3
24, 30, 376, 353, 15,1
25, 30, 340, 674, 15,1
26, 45, 300, 424, 15,1
27, 0, 0, 611, 15,3
28, -30, 336, 437, 15,3
29, -15, 411, 455, 15,3
30, 15, 320, 538, 15,3
31, 45, 410, 603, 15,3
32, -45, 415, 432, 15,3
33, -15, 328, 733, 15,1
34, -30, 395, 494, 15,3
35, 30, 402, 435, 15,1
36, 45, 0, 540, 15,1
37, -30, 0, 441, 15,3
38, 30, 369, 612, 15,3
39, 45, 0, 653, 15,3
40, 15, 352, 500, 15,3
41, 45, 600, 721, 15,3
42, 45, 391, 598, 15,3
43, 30, 359, 648, 15,1
44, 15, 390, 572, 15,1
45, 30, 410, 535, 15,3
46, 0, 371, 358, 15,1
47, 45, 644, 654, 15,1
48, -30, 446, 717, 15,3
49, 30, 0, 588, 15,1
50, 45, 0, 765, 15,1
51, 15, 0, 362, 15,1
52, 0, 0, 355, 15,3
53, -30, 0, 435, 15,1
54, 45, 565, 576, 15,3
55, 15, 405, 423, 15,3
56, 30, 407, 544, 15,1
57, 30, 391, 543, 15,3
58, 15, 390, 726, 15,1
59, 30, 372, 421, 15,1
60, 30, 385, 564, 15,1
61, 45, 0, 514, 15,1
62, 15, 417, 675, 15,3
63, 45, 465, 643, 15,3
64, -30, 512, 529, 15,3
65, 45, 512, 723, 15,3
66, 15, 463, 491, 15,3
67, -30, 380, 409, 15,3
68, 45, 464, 709, 15,1
69, 45, 512, 409, 15,3
70, -15, 390, 346, 15,3
71, 30, 389, 744, 15,3
72, -45, 371, 657, 15,3
73, 0, 372, 525, 15,3
74, 0, 391, 646, 15,3
75, -30, 434, 315, 15,1
76, 15, 374, 329, 15,3
77, -15, 483, 762, 15,3
78, 45, 0, 305, 15,3
79, -15, 363, 410, 15,3
80, -15, 375, 564, 15,1
81, -30, 394, 566, 15,3
82, -45, 652, 609, 15,1
83, 30, 471, 366, 15,1
