Trial,Ecc,RT,IT,Brightness,Stim ID
1, -60, 549, 398, 15,1
2, 15, 664, 429, 15,1
3, 45, 576, 723, 15,3
4, 0, 594, 584, 15,3
5, 0, 488, 420, 15,1
6, -30, 668, 349, 15,3
7, -60, 517, 334, 15,1
8, -60, 577, 518, 15,3
9, 45, 588, 690, 15,1
10, 60, 476, 702, 15,1
11, -60, 532, 686, 15,1
12, -30, 679, 545, 15,3
13, -30, 596, 739, 15,1
14, 30, 435, 497, 15,1
15, 0, 410, 549, 15,3
16, -60, 488, 320, 15,1
17, -60, 0, 652, 15,3
18, -45, 547, 683, 15,3
19, 0, 391, 596, 15,3
20, -30, 651, 407, 15,3
21, 60, 330, 730, 15,3
22, 30, 524, 332, 15,1
23, 60, 0, 608, 15,1
24, -60, 755, 652, 15,3
25, -60, 557, 432, 15,3
26, 45, 286, 572, 15,1
27, 30, 392, 445, 15,1
28, -15, 407, 719, 15,3
29, -45, 675, 565, 15,1
30, -45, 482, 456, 15,3
31, -60, 562, 520, 15,3
32, 60, 576, 784, 15,1
33, -15, 447, 734, 15,3
34, -15, 441, 779, 15,3
35, 60, 356, 548, 15,3
36, -45, 416, 320, 15,3
37, -45, 429, 529, 15,3
38, 15, 399, 511, 15,1
39, -15, 463, 764, 15,1
40, -30, 448, 550, 15,3
41, 0, 328, 501, 15,3
42, 45, 439, 475, 15,3
43, -60, 630, 546, 15,1
44, -30, 433, 311, 15,3
45, 30, 365, 634, 15,3
46, -45, 0, 674, 15,3
47, -45, 556, 373, 15,1
48, 0, 360, 769, 15,3
49, -30, 470, 495, 15,1
50, 0, 456, 655, 15,1
51, 60, 577, 484, 15,1
52, -15, 716, 312, 15,1
53, -45, 543, 302, 15,3
54, 30, 334, 660, 15,3
55, 30, 321, 715, 15,3
56, 0, 476, 385, 15,1
57, -30, 402, 700, 15,1
58, 45, 264, 614, 15,3
59, -30, 410, 453, 15,1
60, -60, 335, 541, 15,1
61, -30, 428, 522, 15,1
62, -45, 503, 351, 15,3
63, -30, 437, 337, 15,3
64, -15, 451, 348, 15,3
65, 0, 545, 634, 15,1
66, -15, 495, 799, 15,3
67, -45, 521, 799, 15,3
68, 30, 362, 300, 15,3
69, 45, 520, 544, 15,1
70, -15, 352, 798, 15,3
71, 45, 469, 756, 15,1
72, -45, 695, 346, 15,1
73, 15, 404, 655, 15,3
74, -15, 424, 521, 15,3
75, -45, 430, 653, 15,3
76, -15, 410, 352, 15,1
77, 60, 528, 430, 15,1
78, -60, 500, 544, 15,3
79, 15, 363, 528, 15,3
80, 15, 340, 462, 15,3
81, 45, 440, 312, 15,3
82, -30, 348, 333, 15,3
83, -60, 416, 453, 15,3
84, -60, 505, 349, 15,1
85, 15, 271, 772, 15,1
86, 30, 378, 502, 15,3
87, 15, 408, 786, 15,3
88, 30, 423, 729, 15,3
89, -45, 499, 454, 15,1
90, -15, 474, 504, 15,1
91, 0, 312, 620, 15,3
92, -30, 354, 467, 15,3
93, -60, 508, 385, 15,1
94, -45, 449, 348, 15,1
95, 45, 320, 543, 15,3
96, 45, 461, 701, 15,1
97, 60, 548, 336, 15,1
98, 15, 388, 651, 15,1
99, -15, 338, 746, 15,1
100, -60, 423, 594, 15,3
101, 0, 336, 406, 15,3
102, 0, 325, 310, 15,3
103, 0, 463, 309, 15,3
104, -60, 491, 516, 15,3
105, -60, 409, 735, 15,1
106, 0, 323, 647, 15,1
107, 0, 376, 392, 15,1
108, -45, 300, 608, 15,1
109, 45, 413, 648, 15,1
110, -30, 305, 637, 15,1
111, -60, 456, 417, 15,1
112, -45, 428, 461, 15,1
113, 0, 350, 551, 15,3
114, -45, 366, 423, 15,3
115, 15, 412, 506, 15,1
116, 60, 456, 355, 15,3
117, 60, 491, 739, 15,1
118, 15, 559, 365, 15,1
119, -45, 587, 380, 15,3
120, -45, 373, 616, 15,1
121, -15, 371, 461, 15,3
122, 60, 280, 400, 15,3
123, 0, 516, 388, 15,1
124, -45, 547, 439, 15,1
125, -60, 346, 786, 15,1
126, 0, 637, 402, 15,1
127, 0, 412, 509, 15,1
128, -30, 430, 606, 15,1
129, 60, 408, 310, 15,3
130, 15, 293, 491, 15,3
131, 30, 388, 334, 15,1
132, -45, 304, 370, 15,1
133, -60, 387, 751, 15,3
134, -15, 374, 353, 15,3
135, 0, 468, 402, 15,3
136, 15, 391, 654, 15,3
137, 45, 396, 612, 15,3
138, -45, 416, 620, 15,3
139, 15, 419, 767, 15,3
140, 45, 476, 692, 15,1
141, -45, 733, 376, 15,3
142, 15, 380, 389, 15,1
143, 30, 375, 526, 15,3
144, 30, 419, 409, 15,3
145, 30, 457, 789, 15,1
146, 30, 546, 736, 15,1
147, 15, 329, 348, 15,1
148, 45, 613, 627, 15,1
149, 0, 427, 554, 15,1
150, 60, 508, 711, 15,1
151, -30, 433, 563, 15,1
152, 30, 407, 384, 15,1
153, -45, 355, 499, 15,1
154, 30, 297, 303, 15,3
155, -45, 295, 693, 15,3
156, 60, 300, 389, 15,3
157, 0, 350, 640, 15,3
158, 45, 411, 616, 15,1
159, -30, 274, 754, 15,1
160, 45, 257, 474, 15,1
161, -15, 431, 749, 15,1
162, -15, 388, 555, 15,1
163, 15, 488, 782, 15,1
164, -45, 330, 594, 15,1
165, 30, 389, 514, 15,3
166, 0, 435, 533, 15,3
167, -60, 400, 668, 15,3
168, 30, 539, 333, 15,1
169, 0, 523, 502, 15,1
170, 60, 475, 728, 15,1
171, 0, 389, 715, 15,1
172, -60, 371, 421, 15,3
173, 60, 377, 701, 15,3
174, 45, 440, 444, 15,1
175, -60, 495, 395, 15,3
176, 15, 337, 622, 15,1
177, 60, 390, 410, 15,3
178, 60, 444, 646, 15,3
179, -15, 410, 481, 15,3
180, 60, 543, 727, 15,1
181, -30, 406, 676, 15,1
182, 15, 520, 422, 15,3
183, 15, 497, 339, 15,1
184, 15, 438, 765, 15,3
185, -60, 479, 697, 15,1
186, -30, 607, 621, 15,1
187, -60, 425, 374, 15,1
188, -15, 477, 534, 15,3
189, -45, 659, 431, 15,1
190, -15, 424, 304, 15,3
191, -15, 439, 752, 15,3
192, -15, 439, 626, 15,1
193, 0, 483, 764, 15,3
194, 45, 368, 309, 15,3
195, 0, 419, 518, 15,1
196, 0, 496, 325, 15,3
197, -30, 372, 506, 15,1
198, 15, 486, 729, 15,1
199, 30, 398, 483, 15,1
200, -45, 370, 566, 15,3
201, -45, 348, 712, 15,3
202, -30, 503, 407, 15,1
203, 60, 483, 658, 15,1
