Trial,Ecc,RT,IT,Brightness,Stim ID
1,0,502,363,15,1
2,15,269,433,15,3
3,45,399,503,15,1
4,-15,0,627,15,3
5,15,370,695,15,1
6,30,373,775,15,1
7,0,315,428,15,3
8,-30,595,761,15,3
9,15,361,478,15,1
10,30,282,753,15,3
11,45,332,789,15,3
12,0,348,710,15,3
13,-15,305,785,15,1
14,-30,316,686,15,3
15,-45,320,672,15,3
16,45,429,742,15,1
17,0,387,329,15,1
18,-30,399,712,15,1
19,15,390,550,15,1
20,15,322,515,15,3
21,15,388,708,15,1
22,45,302,506,15,3
23,30,324,517,15,3
24,45,459,487,15,1
25,-15,297,404,15,3
26,-30,0,443,15,1
27,-30,347,408,15,3
28,-30,0,749,15,1
29,15,335,568,15,1
30,-45,368,524,15,3
31,15,365,727,15,1
32,30,399,315,15,1
33,-45,394,448,15,1
34,45,376,353,15,1
35,-45,373,340,15,3
36,45,358,471,15,1
37,15,400,500,15,3
38,-45,577,797,15,3
39,0,292,530,15,3
40,-30,352,702,15,3
41,30,304,701,15,3
42,0,359,729,15,1
43,0,315,716,15,3
44,0,289,795,15,3
45,30,364,371,15,1
46,-15,405,363,15,1
47,15,267,459,15,3
48,-45,328,349,15,3
49,15,261,650,15,1
50,0,344,554,15,3
51,45,391,565,15,1
52,30,343,364,15,1
53,15,275,504,15,3
54,-30,403,618,15,1
55,-45,0,444,15,3
56,15,368,650,15,1
57,15,257,605,15,3
58,0,472,732,15,1
59,-45,380,733,15,3
60,0,364,746,15,3
61,-15,318,391,15,1
62,0,308,744,15,3
63,-15,301,445,15,3
64,-45,354,336,15,1
65,-45,357,400,15,1
66,-15,324,423,15,3
67,30,331,698,15,3
68,45,0,766,15,1
69,15,0,672,15,1
70,15,351,427,15,1
71,-30,369,432,15,1
72,-15,367,384,15,3
73,15,335,703,15,1
74,-30,293,396,15,1
75,-45,268,472,15,1
76,0,302,598,15,3
77,15,373,797,15,1
78,30,369,332,15,1
79,45,329,547,15,3
80,-45,445,681,15,3
81,-30,368,500,15,1
82,15,322,391,15,1
83,15,309,308,15,1
84,0,298,635,15,1
85,0,292,320,15,3
86,15,289,551,15,3
87,-45,309,778,15,1
88,0,317,589,15,3
89,0,275,397,15,3
90,-30,341,351,15,1
91,30,328,770,15,3
92,30,440,334,15,3
93,45,385,733,15,1
94,0,296,745,15,1
95,-15,0,420,15,3
96,30,310,384,15,3
97,30,319,387,15,3
98,15,0,653,15,1
99,15,348,658,15,1
100,45,396,425,15,3
101,0,432,729,15,3
102,-30,338,421,15,1
103,0,326,606,15,1
104,-45,387,526,15,1
105,-30,387,391,15,1
106,-30,0,405,15,3
107,0,303,796,15,3
108,-15,364,364,15,1
109,15,410,695,15,1
110,45,467,593,15,1
111,-30,439,766,15,3
112,30,396,382,15,1
113,30,352,428,15,1
114,-30,274,482,15,1
115,45,428,525,15,3
116,-15,315,400,15,1
117,-30,362,358,15,1
118,-45,488,736,15,3
119,15,430,345,15,3
120,-30,391,485,15,1
121,-30,416,734,15,3
122,-45,408,773,15,1
123,0,387,300,15,3
124,30,330,512,15,3
125,-30,410,634,15,3
126,45,0,548,15,1
127,-15,441,330,15,1
128,45,399,679,15,1
129,45,328,560,15,1
130,-45,363,623,15,3
131,45,445,757,15,3
132,0,373,490,15,1
133,-45,329,351,15,3
134,-30,347,630,15,1
135,30,431,598,15,1
136,45,312,553,15,1
137,-30,335,500,15,3
138,-30,369,765,15,3
139,-15,407,684,15,1
140,15,376,734,15,3
141,45,407,656,15,1
142,30,434,475,15,3
143,-30,402,330,15,1
144,45,358,335,15,1
145,45,512,764,15,3
146,0,363,366,15,3
147,-30,399,542,15,3
148,-45,480,653,15,1
149,15,355,514,15,1
150,15,344,736,15,1
151,-30,327,554,15,1
152,15,355,507,15,3
153,15,349,434,15,3
154,0,503,337,15,1
155,-30,0,790,15,3
156,-30,348,695,15,3
157,-15,343,717,15,3
158,45,427,472,15,3
159,45,468,620,15,1
160,45,399,550,15,3
161,-45,438,701,15,3
162,15,481,557,15,3
163,30,314,540,15,3
164,-30,443,382,15,1
165,45,272,502,15,3
166,30,318,345,15,3
167,45,284,472,15,3
168,0,352,547,15,1
169,45,324,303,15,3
170,15,401,650,15,1
171,-45,376,425,15,3
172,30,382,612,15,1
173,45,366,672,15,1
174,30,296,456,15,3
175,-45,393,773,15,3
176,-15,312,782,15,3
177,-45,298,719,15,1
178,-45,409,526,15,1
179,0,412,311,15,1
180,0,286,794,15,1
181,45,276,712,15,3
182,30,367,371,15,1
183,-45,347,747,15,3
184,45,325,786,15,3
185,0,308,611,15,3
186,30,365,438,15,1
187,30,357,748,15,3
188,-45,575,538,15,1
189,0,407,488,15,1
190,-30,412,620,15,1
191,-45,292,309,15,1
192,45,330,330,15,3
193,15,460,741,15,1
194,0,391,539,15,3
195,15,337,784,15,1
196,0,295,647,15,1
197,-30,519,686,15,3
198,-30,312,501,15,1
199,-30,562,496,15,3
200,15,281,625,15,3
201,-30,287,477,15,3
202,-15,267,600,15,1
203,15,428,351,15,1
204,0,296,709,15,3
205,-45,0,306,15,3
206,-45,323,415,15,3
207,15,350,721,15,1
208,-15,326,436,15,1
209,15,267,365,15,3
210,-30,397,556,15,3
211,-15,288,490,15,3
212,45,346,701,15,1
213,0,334,562,15,1
214,-15,401,664,15,1
215,0,0,694,15,3
216,-15,315,331,15,3
217,0,387,381,15,1
218,-15,295,424,15,3
219,-45,337,748,15,3
