trial,dist,RT,interstim,Brightness,NumberofLED
1,-45,0,732,30,1
2,30,454,424,30,1
3,-15,325,345,30,3
4,30,323,787,30,3
5,15,328,428,30,1
6,0,334,675,30,1
7,15,335,472,30,1
8,-30,263,418,30,3
9,45,337,614,30,1
10,30,317,313,30,3
11,-15,236,498,30,1
12,-15,320,693,30,3
13,-30,0,565,30,1
14,-30,595,357,30,3
15,15,281,731,30,1
16,-45,290,451,30,1
17,-45,0,750,30,1
18,-15,310,515,30,3
19,-15,339,623,30,1
20,15,304,457,30,1
21,-45,270,792,30,1
22,45,357,331,30,3
23,-30,276,452,30,1
24,-30,0,639,30,1
25,-15,0,772,30,3
26,15,333,786,30,1
27,-15,351,558,30,3
28,-15,0,735,30,1
29,0,314,770,30,1
30,15,284,720,30,1
31,-15,280,699,30,3
32,45,347,708,30,1
33,0,306,378,30,3
34,30,364,512,30,3
35,15,280,567,30,3
36,45,362,450,30,1
37,15,269,444,30,3
38,0,348,349,30,1
39,-30,276,662,30,1
40,-30,0,711,30,3
41,-30,264,562,30,3
42,-45,306,523,30,1
43,45,241,544,30,1
44,-45,296,519,30,3
45,-30,294,400,30,3
46,-45,328,681,30,3
47,-30,316,756,30,3
48,45,350,483,30,3
49,45,376,673,30,3
50,-30,318,440,30,3
51,0,296,694,30,3
52,-45,516,719,30,1
53,0,316,555,30,3
54,-45,358,429,30,3
55,15,393,526,30,1
56,45,317,311,30,3
57,30,273,584,30,3
58,-45,282,493,30,1
59,15,259,322,30,3
60,15,293,734,30,3
61,-45,370,303,30,1
62,30,0,514,30,1
63,0,0,311,30,1
64,0,297,739,30,1
65,-45,294,585,30,1
66,0,285,653,30,3
67,-30,313,349,30,3
68,30,349,412,30,1
69,-15,298,452,30,1
70,45,308,337,30,3
71,-30,345,476,30,3
72,0,264,482,30,3
73,-45,294,361,30,1
74,45,266,771,30,3
75,0,354,342,30,1
76,45,0,463,30,1
77,45,301,331,30,3
78,15,0,762,30,1
79,-30,330,337,30,3
80,45,366,391,30,3
81,-15,325,323,30,3
82,45,276,515,30,3
83,15,293,351,30,3
84,30,426,799,30,1
85,0,324,478,30,1
86,-30,389,445,30,3
87,15,315,637,30,1
88,0,0,483,30,1
89,45,290,415,30,1
90,-30,260,300,30,1
91,-30,234,366,30,1
92,0,286,709,30,1
93,-15,312,524,30,1
94,15,225,618,30,1
95,-30,345,520,30,3
96,-45,349,780,30,3
97,15,358,353,30,3
98,-30,277,631,30,1
99,-15,352,583,30,1
100,0,271,386,30,1
101,30,244,361,30,3
102,30,0,430,30,1
103,-45,0,425,30,3
104,45,239,480,30,3
105,-30,416,656,30,3
106,-30,270,508,30,1
107,-30,340,674,30,3
108,-30,291,689,30,1
109,0,325,670,30,1
110,-15,298,385,30,3
111,-45,300,505,30,3
112,-15,0,408,30,3
113,-45,255,369,30,3
114,-30,298,407,30,1
115,30,370,509,30,3
116,45,231,603,30,3
117,-15,487,320,30,1
118,-30,0,708,30,3
119,-30,454,514,30,3
120,45,0,797,30,1
121,-15,279,771,30,3
122,-30,293,641,30,3
123,-45,0,472,30,1
124,0,287,629,30,3
125,15,382,419,30,1
126,15,329,429,30,1
127,-15,274,578,30,1
128,15,373,661,30,3
129,45,439,592,30,1
130,-45,397,718,30,3
131,30,330,490,30,1
132,-45,484,682,30,1
133,30,308,405,30,1
134,15,279,717,30,3
135,15,324,615,30,1
136,-45,310,369,30,3
137,-45,309,561,30,3
138,0,304,663,30,3
139,45,377,742,30,1
140,15,343,476,30,3
141,-15,359,751,30,3
142,-45,505,531,30,1
143,-30,341,419,30,3
144,30,334,529,30,1
145,30,283,793,30,3
146,45,303,324,30,3
147,15,330,393,30,1
148,45,286,489,30,3
149,-15,0,397,30,3
150,-30,417,330,30,1
151,-45,0,724,30,3
152,-45,564,642,30,3
153,0,382,458,30,1
154,45,273,779,30,3
155,15,340,583,30,3
156,15,438,709,30,1
157,15,258,643,30,1
158,-15,273,557,30,1
159,45,312,665,30,3
160,30,337,622,30,1
