trial, dist, RT, interstim, Brightness, NumberofLED
1, -15, 0, 512, 20,3
2, -45, 473, 598, 20,1
3, -30, 0, 311, 20,2
4, 45, 760, 708, 20,2
5, 15, 504, 757, 20,3
6, -45, 560, 708, 20,3
7, 0, 366, 367, 20,2
8, 0, 356, 709, 20,2
9, -45, 466, 516, 20,2
10, -15, 444, 464, 20,3
11, -45, 429, 586, 20,1
12, 30, 421, 579, 20,3
13, 15, 509, 403, 20,3
14, -45, 0, 639, 20,2
15, -15, 536, 688, 20,1
16, -15, 457, 310, 20,1
17, -45, 0, 393, 20,2
18, -45, 694, 342, 20,3
19, 0, 410, 785, 20,3
20, 15, 414, 505, 20,2
21, -30, 421, 380, 20,3
22, 45, 555, 380, 20,2
23, 30, 551, 562, 20,3
24, -15, 451, 518, 20,3
25, -15, 395, 555, 20,3
26, -30, 0, 553, 20,2
27, 0, 385, 648, 20,2
28, -30, 754, 760, 20,2
29, -45, 660, 305, 20,1
30, -45, 432, 617, 20,1
31, -15, 444, 749, 20,3
32, -30, 516, 401, 20,2
33, -30, 480, 519, 20,1
34, -15, 489, 420, 20,2
35, 30, 457, 643, 20,2
36, -30, 500, 389, 20,3
37, -45, 526, 470, 20,1
38, 0, 403, 679, 20,3
39, 15, 423, 387, 20,3
40, 0, 398, 348, 20,2
41, 0, 329, 521, 20,3
42, -15, 436, 344, 20,3
43, -15, 573, 478, 20,3
44, 15, 0, 588, 20,2
45, -45, 0, 798, 20,2
46, 45, 419, 669, 20,2
47, 30, 512, 568, 20,3
48, 0, 416, 637, 20,3
49, -30, 592, 433, 20,1
50, -15, 499, 366, 20,1
51, -45, 458, 781, 20,3
52, 0, 722, 303, 20,2
53, -45, 512, 380, 20,3
54, 45, 471, 618, 20,2
55, 45, 0, 341, 20,2
56, -30, 468, 779, 20,3
57, -30, 750, 638, 20,2
58, -15, 461, 608, 20,3
59, 30, 609, 641, 20,2
60, 30, 494, 712, 20,1
61, 30, 450, 645, 20,2
62, 30, 533, 635, 20,2
63, -15, 656, 682, 20,1
64, 0, 414, 394, 20,2
65, -30, 469, 457, 20,2
66, 0, 455, 720, 20,3
67, 45, 668, 510, 20,3
68, 45, 553, 596, 20,1
69, -15, 510, 634, 20,2
70, 0, 426, 570, 20,2
71, -15, 421, 715, 20,2
72, 0, 494, 619, 20,1
73, 45, 526, 477, 20,1
74, -15, 0, 771, 20,3
75, 45, 467, 496, 20,2
76, 45, 0, 583, 20,3
