trial,dist,RT,interstim,Brightness,NumberofLED
1,45,524,767,15,2
2,30,446,420,15,2
3,15,374,565,15,1
4,30,407,597,15,2
5,30,395,300,15,2
6,0,294,396,15,2
7,30,381,378,15,1
8,0,352,322,15,1
9,30,327,326,15,2
10,0,319,615,15,1
11,45,422,395,15,1
12,0,293,381,15,2
13,-15,332,372,15,2
14,-30,0,668,15,2
15,-45,413,608,15,2
16,0,394,676,15,3
17,-30,0,573,15,3
18,-30,356,339,15,2
19,-15,341,316,15,2
20,-30,532,702,15,2
21,15,362,314,15,3
22,45,336,657,15,2
23,-30,420,690,15,3
24,45,325,657,15,2
25,45,393,300,15,1
26,45,420,562,15,3
27,-15,366,595,15,1
28,-30,425,705,15,3
29,-30,361,767,15,3
30,-45,586,652,15,2
31,45,434,492,15,3
32,-45,447,677,15,3
33,0,400,517,15,1
34,-45,455,438,15,3
35,30,0,628,15,3
36,-30,483,799,15,1
37,15,355,473,15,1
38,-30,361,416,15,1
39,45,346,749,15,1
40,-45,446,412,15,3
41,45,360,362,15,3
42,0,346,769,15,1
43,0,511,374,15,2
44,-45,0,682,15,2
45,0,301,663,15,2
46,-15,379,492,15,2
47,45,414,670,15,2
48,-15,313,403,15,2
49,-15,365,518,15,1
50,0,308,394,15,1
51,30,372,760,15,1
52,-45,476,667,15,2
53,-30,323,353,15,2
54,-30,444,471,15,3
55,45,324,797,15,3
56,-15,450,693,15,1
57,-30,430,326,15,3
58,30,377,375,15,3
59,0,330,395,15,1
60,15,344,382,15,2
61,-45,530,434,15,2
62,-45,411,621,15,3
63,45,367,350,15,2
64,45,436,751,15,1
65,-15,322,319,15,2
66,-30,382,382,15,3
67,-45,372,450,15,3
68,30,438,446,15,1
69,30,356,324,15,1
70,-45,337,708,15,3
71,30,280,300,15,2
72,30,0,444,15,2
73,-15,0,313,15,1
74,30,326,396,15,2
75,-15,432,523,15,3
76,-30,321,717,15,3
77,-30,373,464,15,2
78,45,345,327,15,2
79,45,451,318,15,3
80,-15,368,672,15,3
81,45,0,635,15,3
82,-45,507,457,15,2
83,-30,424,496,15,1
84,0,322,513,15,1
85,-15,377,430,15,3
86,-15,312,396,15,3
87,0,368,645,15,1
88,30,561,770,15,3
89,-45,381,472,15,1
90,15,409,453,15,3
91,0,346,363,15,3
92,15,393,342,15,1
93,-45,429,323,15,3
94,-15,426,721,15,3
95,-15,368,643,15,2
96,-15,423,597,15,3
97,0,387,302,15,1
98,15,359,629,15,3
99,-45,382,524,15,2
100,15,376,555,15,2
101,0,327,538,15,1
102,0,321,319,15,2
103,30,368,628,15,2
104,-45,446,470,15,2
105,0,364,500,15,2
106,30,413,397,15,3
107,45,447,770,15,1
108,-15,597,433,15,1
109,30,459,623,15,3
110,45,443,429,15,2
111,15,373,303,15,2
112,15,333,634,15,1
113,-30,308,492,15,2
114,45,390,495,15,2
115,45,500,490,15,3
116,-30,556,705,15,3
117,-45,499,701,15,2
118,15,304,337,15,2
119,-30,409,549,15,1
120,-15,453,575,15,3
121,-15,324,498,15,2
122,-30,424,415,15,3
123,-15,357,560,15,3
124,0,257,556,15,2
125,-15,404,571,15,3
126,30,0,636,15,3
127,-15,401,757,15,2
128,-45,429,588,15,2
129,45,470,695,15,2
130,15,326,733,15,2
131,45,0,567,15,3
132,45,408,562,15,2
133,-30,0,305,15,3
134,30,378,440,15,3
135,15,311,772,15,3
136,-30,381,617,15,1
137,-15,355,673,15,1
138,-15,425,518,15,3
139,0,296,678,15,2
140,15,368,434,15,2
141,30,439,471,15,1
142,0,418,445,15,1
143,0,432,762,15,3
144,15,410,603,15,1
145,30,405,318,15,2
146,45,386,694,15,2
147,-30,358,699,15,1
148,30,580,316,15,1
149,-30,422,437,15,3
150,-45,877,658,15,2
151,30,414,733,15,1
152,-45,0,372,15,3
153,15,370,523,15,2
154,30,377,745,15,1
155,-15,412,339,15,1
156,-30,534,403,15,3
157,-30,0,566,15,3
158,45,367,701,15,3
159,15,401,799,15,3
160,0,350,546,15,1
161,-45,0,450,15,2
162,15,300,339,15,2
163,30,304,361,15,2
164,-30,339,389,15,1
165,15,366,635,15,1
166,30,639,716,15,1
167,0,344,780,15,1
168,-15,314,769,15,2
169,0,398,712,15,3
170,30,360,625,15,1
171,45,515,589,15,3
172,-15,330,458,15,1
173,30,371,392,15,1
174,0,282,447,15,2
175,-15,381,484,15,1
176,-30,504,331,15,2
177,45,378,414,15,1
178,15,432,689,15,3
179,0,273,412,15,2
180,15,335,687,15,1
181,-15,313,402,15,2
182,0,357,609,15,3
183,-15,348,679,15,2
184,-15,292,768,15,2
185,-30,316,400,15,2
186,45,401,407,15,2
187,30,463,613,15,3
188,-45,577,578,15,2
189,-15,332,425,15,2
190,45,388,725,15,2
191,45,552,434,15,3
192,-15,392,743,15,3
193,30,360,318,15,3
194,0,332,427,15,3
195,-15,346,368,15,3
196,15,0,368,15,1
197,15,426,629,15,1
198,-15,395,571,15,2
199,15,372,757,15,1
200,45,415,532,15,1
201,-15,439,608,15,3
202,15,525,475,15,2
203,0,280,761,15,2
204,-15,371,558,15,2
205,-30,405,464,15,3
206,45,680,309,15,3
207,15,309,781,15,3
208,-45,389,417,15,3
209,15,403,654,15,3
210,0,0,772,15,2
211,0,317,336,15,2
212,30,535,513,15,2
213,45,472,411,15,3
214,-15,344,424,15,1
215,-30,343,673,15,2
