trial, dist, RT, interstim, Brightness, NumberofLED
1, 45, 438, 381, 20,1
2, -30, 544, 589, 20,3
3, 15, 517, 506, 20,3
4, 0, 331, 368, 20,2
5, 0, 347, 490, 20,2
6, 30, 465, 755, 20,1
7, 15, 360, 558, 20,1
8, 15, 494, 366, 20,3
9, 0, 317, 652, 20,2
10, -15, 347, 524, 20,2
11, 15, 351, 795, 20,1
12, 15, 355, 415, 20,2
13, 0, 403, 683, 20,3
14, 45, 398, 310, 20,1
15, 45, 0, 747, 20,2
16, 0, 342, 666, 20,1
17, 15, 0, 314, 20,3
18, -45, 0, 645, 20,3
19, -30, 417, 505, 20,1
20, 15, 403, 447, 20,1
21, 0, 343, 464, 20,2
22, 45, 0, 558, 20,3
23, -30, 393, 644, 20,2
24, 30, 409, 523, 20,3
25, 0, 387, 423, 20,3
26, 15, 409, 543, 20,3
27, 15, 344, 798, 20,2
28, -30, 374, 746, 20,1
29, 30, 426, 507, 20,2
30, 15, 588, 313, 20,3
31, -45, 0, 721, 20,3
32, -15, 335, 794, 20,2
33, 15, 510, 449, 20,1
34, -15, 367, 579, 20,2
35, 0, 0, 723, 20,1
36, -45, 381, 368, 20,1
37, -30, 0, 414, 20,3
38, 45, 427, 731, 20,2
39, -15, 637, 372, 20,2
40, 0, 302, 710, 20,1
41, 45, 0, 382, 20,3
42, -45, 0, 638, 20,3
43, 30, 0, 306, 20,3
44, -30, 0, 459, 20,3
45, 15, 0, 327, 20,3
46, 0, 348, 487, 20,1
47, -15, 336, 365, 20,1
48, -15, 313, 418, 20,2
49, 0, 343, 456, 20,2
50, 45, 0, 605, 20,2
51, 0, 367, 557, 20,1
52, 30, 410, 305, 20,1
53, 30, 399, 431, 20,2
54, 45, 0, 429, 20,3
55, 0, 0, 776, 20,3
56, 0, 336, 587, 20,2
57, -15, 388, 764, 20,3
58, 45, 0, 369, 20,2
59, -15, 391, 583, 20,2
60, 45, 391, 700, 20,1
61, 15, 341, 704, 20,2
62, -30, 0, 405, 20,3
63, 0, 463, 548, 20,1
64, -45, 531, 797, 20,1
65, -30, 0, 642, 20,3
66, 0, 364, 303, 20,3
67, 0, 374, 661, 20,2
68, 30, 452, 389, 20,3
69, -45, 0, 414, 20,2
70, 30, 532, 480, 20,1
71, -15, 380, 759, 20,2
72, 15, 445, 717, 20,3
73, -15, 374, 782, 20,1
74, -45, 615, 646, 20,2
75, 0, 362, 366, 20,1
76, -15, 357, 448, 20,1
77, 45, 0, 576, 20,2
78, -45, 442, 300, 20,1
79, -15, 443, 681, 20,2
80, 15, 405, 555, 20,3
81, 45, 456, 701, 20,2
82, 15, 421, 322, 20,3
83, 0, 511, 554, 20,3
84, 30, 380, 381, 20,2
85, 30, 389, 752, 20,2
86, 0, 348, 594, 20,3
87, 30, 313, 707, 20,1
88, -15, 488, 526, 20,3
