Trial,Ecc,RT,IT,Brightness,Stim ID
1,-30,475,547,15,3
2,45,517,447,15,1
3,0,431,531,15,3
4,45,493,518,15,1
5,45,558,629,15,3
6,-45,606,782,15,2
7,0,408,773,15,3
8,45,0,466,15,2
9,45,0,728,15,2
10,-45,462,413,15,1
11,30,449,336,15,1
12,-45,451,414,15,1
13,30,376,357,15,1
14,-45,335,450,15,1
15,30,451,565,15,2
16,30,368,535,15,2
17,-30,406,716,15,2
18,30,426,666,15,1
19,0,547,331,15,1
20,-15,283,397,15,1
21,30,498,402,15,3
22,45,0,706,15,2
23,15,382,653,15,1
24,-45,614,536,15,3
25,-45,436,583,15,3
26,0,397,329,15,1
27,0,315,685,15,1
28,-30,371,730,15,1
29,15,369,302,15,1
30,0,0,549,15,2
31,45,402,542,15,3
32,-15,390,370,15,1
33,-30,317,305,15,1
34,0,407,346,15,3
35,30,0,351,15,2
36,0,386,738,15,3
37,-45,579,499,15,3
38,-30,501,746,15,1
39,-15,381,474,15,1
40,0,359,696,15,3
41,-30,448,674,15,3
42,30,455,590,15,3
43,30,689,455,15,1
44,0,325,751,15,1
45,-15,435,561,15,2
46,-30,431,480,15,3
47,15,396,482,15,1
48,30,450,557,15,2
49,15,342,425,15,1
50,15,356,320,15,1
51,-15,415,347,15,2
52,-15,530,751,15,3
53,30,441,678,15,2
54,-45,537,660,15,1
55,-30,424,612,15,2
56,15,406,661,15,1
57,15,430,380,15,2
58,-30,494,490,15,2
59,15,384,361,15,2
60,30,486,507,15,2
61,30,0,776,15,2
62,-45,375,595,15,1
63,45,0,574,15,2
64,45,453,406,15,3
65,0,386,691,15,1
66,-30,361,596,15,1
67,30,410,611,15,2
68,45,504,630,15,1
69,45,0,506,15,1
70,30,503,441,15,2
71,30,399,539,15,1
72,45,573,581,15,3
73,-30,576,429,15,2
74,-45,297,749,15,1
75,30,466,530,15,1
76,-45,494,484,15,2
77,-45,332,528,15,1
78,0,298,582,15,1
79,0,320,372,15,2
80,-15,0,626,15,3
81,-30,431,543,15,3
82,0,331,493,15,3
83,-45,392,656,15,3
84,-30,365,578,15,3
85,15,450,693,15,2
86,-30,402,504,15,2
87,-45,533,709,15,2
88,30,387,419,15,3
89,45,453,722,15,2
90,0,433,677,15,3
91,-30,488,457,15,1
92,-30,504,465,15,2
93,30,0,539,15,3
94,-45,492,604,15,2
95,15,465,774,15,3
96,30,402,486,15,2
97,0,389,747,15,1
98,-30,403,407,15,2
99,-30,466,581,15,1
100,-15,367,613,15,3
101,-15,329,542,15,3
102,45,554,784,15,2
103,45,0,605,15,2
104,-15,366,655,15,2
105,45,427,546,15,3
106,15,367,421,15,3
107,-30,345,450,15,1
108,30,0,679,15,2
109,0,438,688,15,1
110,45,0,428,15,2
111,0,379,393,15,1
112,15,330,648,15,3
113,45,368,535,15,3
114,-30,384,405,15,3
115,0,448,603,15,2
116,-30,406,639,15,3
117,0,382,690,15,2
118,-45,394,428,15,1
119,0,451,329,15,1
120,-45,379,417,15,1
121,-30,398,520,15,1
122,15,380,313,15,2
123,30,313,323,15,3
124,-45,501,678,15,2
125,45,410,787,15,2
126,-15,444,380,15,3
127,15,377,689,15,1
128,-45,364,739,15,3
129,45,528,666,15,1
130,0,405,412,15,3
131,-15,483,330,15,3
132,30,349,602,15,3
133,45,400,564,15,1
134,30,372,724,15,3
135,-30,346,410,15,3
136,-30,0,513,15,2
137,-30,364,304,15,3
138,15,427,770,15,1
139,45,578,342,15,2
140,45,459,392,15,2
141,45,501,437,15,1
142,45,728,345,15,3
143,15,0,418,15,2
144,-45,492,342,15,3
145,45,471,577,15,2
146,30,367,654,15,1
147,-30,408,794,15,1
148,-30,0,726,15,3
149,-15,390,610,15,3
150,-45,0,782,15,2
151,15,484,305,15,2
152,-45,0,506,15,2
153,-15,356,690,15,3
154,0,0,326,15,1
155,-30,0,416,15,2
156,0,310,337,15,3
157,15,398,391,15,1
158,0,323,647,15,1
159,-30,0,371,15,2
160,-45,394,350,15,1
161,45,508,775,15,2
162,0,348,558,15,1
163,0,332,415,15,1
164,0,400,379,15,2
165,-45,0,466,15,2
166,45,0,602,15,2
167,-30,501,466,15,3
168,30,495,704,15,3
169,-15,555,510,15,2
170,15,513,396,15,3
171,-30,365,674,15,1
172,-30,0,783,15,2
173,30,371,771,15,3
174,30,389,733,15,1
175,30,387,754,15,3
176,45,466,698,15,3
177,45,299,648,15,3
178,-15,353,620,15,3
179,-30,0,419,15,3
180,-30,411,592,15,3
181,30,357,702,15,1
182,30,0,664,15,2
183,-15,562,356,15,2
184,-15,440,571,15,1
185,45,534,735,15,2
186,-15,398,342,15,1
187,-30,378,621,15,3
188,15,0,399,15,2
189,-45,363,410,15,1
190,15,0,491,15,1
191,-30,355,684,15,1
192,-45,577,611,15,2
193,-15,436,708,15,2
194,-15,411,587,15,3
195,-45,356,622,15,3
196,0,372,733,15,2
197,30,448,660,15,3
198,-30,397,513,15,3
199,-30,460,506,15,1
200,-45,394,501,15,1
201,30,421,694,15,3
202,30,311,725,15,3
203,-45,377,482,15,1
204,0,310,530,15,3
205,30,394,524,15,1
206,15,379,784,15,2
207,45,395,502,15,1
208,-45,366,524,15,3
209,15,484,447,15,3
210,-15,378,724,15,1
211,30,316,493,15,3
212,45,0,521,15,2
213,45,553,673,15,1
214,-45,415,582,15,3
215,-15,343,640,15,2
216,45,441,737,15,2
217,-30,466,635,15,3
218,0,390,310,15,3
219,-30,315,542,15,1
220,15,420,611,15,3
221,15,378,364,15,3
222,30,359,443,15,1
223,-15,534,703,15,3
224,-45,0,392,15,1
225,-15,0,339,15,3
226,0,0,391,15,1
227,45,0,619,15,1
228,-30,0,714,15,2
229,0,302,675,15,3
230,-30,380,425,15,3
231,-45,486,492,15,3
232,15,522,725,15,2
233,45,436,754,15,3
234,45,337,701,15,3
