trial,dist,RT,interstim,Brightness,NumberofLED
1,-30,371,697,15,1
2,45,262,428,15,2
3,-30,327,625,15,2
4,30,334,477,15,2
5,-15,419,556,15,3
6,15,344,601,15,1
7,15,349,566,15,3
8,45,500,661,15,2
9,-30,637,549,15,3
10,-45,457,364,15,1
11,30,405,748,15,1
12,-45,416,358,15,3
13,-45,418,611,15,3
14,-45,376,546,15,1
15,-30,457,707,15,1
16,15,555,373,15,2
17,-45,372,427,15,3
18,0,334,544,15,1
19,-15,371,577,15,1
20,45,306,565,15,2
21,-15,346,417,15,2
22,30,512,358,15,3
23,-15,345,361,15,1
24,15,316,474,15,2
25,15,331,391,15,3
26,-30,435,510,15,1
27,-15,408,521,15,3
28,-15,445,412,15,3
29,30,418,773,15,1
30,-30,427,641,15,2
31,45,344,406,15,1
32,30,313,592,15,1
33,0,294,592,15,2
34,15,314,586,15,2
35,15,314,359,15,2
36,15,352,454,15,1
37,30,321,768,15,2
38,30,315,782,15,1
39,0,302,428,15,1
40,-30,432,363,15,2
41,15,422,409,15,3
42,30,396,777,15,2
43,-15,443,714,15,2
44,-45,0,503,15,2
45,-45,441,637,15,1
46,15,436,370,15,3
47,-15,421,342,15,3
48,15,391,563,15,1
49,0,348,328,15,1
50,30,390,486,15,2
51,-30,538,628,15,3
52,-30,637,771,15,3
53,15,348,610,15,1
54,-45,559,387,15,3
55,-15,389,755,15,3
56,0,316,576,15,1
57,-15,307,489,15,2
58,-30,439,758,15,1
59,30,337,602,15,2
60,15,325,439,15,1
61,-30,386,672,15,2
62,15,406,554,15,3
63,45,401,772,15,1
64,-30,405,727,15,1
65,30,430,351,15,3
66,30,343,777,15,2
67,0,310,395,15,1
68,30,294,525,15,2
69,30,325,727,15,2
70,15,371,613,15,3
71,15,0,652,15,1
72,-45,445,520,15,3
73,15,325,409,15,1
74,-30,382,646,15,3
75,15,333,308,15,1
76,30,400,562,15,3
77,0,0,698,15,3
78,-15,354,550,15,3
79,15,428,356,15,2
80,-15,307,610,15,1
81,30,356,511,15,2
82,30,421,573,15,3
83,-45,432,706,15,2
84,-45,372,585,15,2
85,15,364,526,15,3
86,45,318,641,15,2
87,30,506,629,15,3
88,-45,456,696,15,1
89,30,341,358,15,2
90,30,396,647,15,1
91,45,419,516,15,2
92,0,314,723,15,1
93,15,327,372,15,2
94,45,440,662,15,1
95,-45,423,397,15,2
96,45,328,463,15,1
97,30,463,404,15,3
98,30,372,633,15,1
99,30,296,495,15,2
100,-30,661,717,15,1
101,-30,296,537,15,1
102,-30,327,541,15,2
103,-30,310,722,15,2
104,30,358,637,15,1
105,45,402,312,15,3
106,0,323,766,15,1
107,0,440,578,15,3
108,45,355,445,15,2
109,-45,521,570,15,2
110,15,356,341,15,2
111,0,358,707,15,3
112,45,414,329,15,2
113,45,526,393,15,1
114,0,372,319,15,2
115,0,391,675,15,3
116,30,0,648,15,3
117,30,326,792,15,3
118,30,339,579,15,3
119,-30,410,479,15,2
120,0,353,666,15,2
121,-15,472,544,15,1
122,-30,505,367,15,3
123,30,586,531,15,3
124,-15,353,702,15,3
125,45,400,767,15,3
126,15,324,575,15,3
127,-15,426,752,15,3
128,-15,361,587,15,3
129,45,350,489,15,3
130,0,477,350,15,1
131,0,338,413,15,3
132,-30,517,302,15,3
133,-15,0,652,15,2
134,15,349,494,15,2
135,0,497,311,15,3
136,45,378,768,15,1
137,15,310,302,15,2
138,0,344,455,15,3
139,-30,367,659,15,2
140,30,455,518,15,2
141,30,411,678,15,3
142,0,334,617,15,1
143,45,449,576,15,2
144,-45,499,455,15,2
145,30,348,768,15,3
146,30,498,454,15,3
147,-30,431,440,15,2
148,-45,461,515,15,2
149,15,407,357,15,3
150,0,351,502,15,1
151,0,306,715,15,1
152,-30,492,412,15,1
153,-15,395,393,15,2
154,-45,565,313,15,1
155,30,545,680,15,3
156,-30,572,368,15,1
157,-45,471,573,15,2
158,30,412,413,15,3
159,-30,378,531,15,2
160,-30,377,698,15,2
161,0,309,354,15,2
162,45,405,696,15,2
163,45,374,524,15,2
164,15,398,465,15,2
165,-45,387,317,15,2
166,45,373,546,15,2
167,0,361,682,15,1
168,-30,428,697,15,1
169,-15,309,314,15,2
170,15,573,322,15,1
171,30,505,656,15,3
172,15,330,340,15,2
173,45,329,334,15,2
174,30,385,324,15,2
175,15,579,740,15,3
176,-15,390,651,15,3
177,30,366,532,15,2
178,-15,517,743,15,3
179,15,381,572,15,1
180,-30,464,321,15,2
181,0,0,327,15,1
182,15,394,507,15,3
183,15,444,348,15,3
184,30,370,457,15,3
185,15,330,728,15,2
186,0,339,688,15,2
187,-15,452,361,15,1
188,-45,561,586,15,3
189,15,427,392,15,3
190,15,454,710,15,2
191,0,463,548,15,3
192,30,395,504,15,3
193,45,349,772,15,2
194,-45,477,387,15,2
195,-30,370,606,15,2
196,45,431,512,15,2
197,-45,491,783,15,1
198,15,337,409,15,1
199,45,522,783,15,3
200,15,380,503,15,3
201,45,0,785,15,2
202,45,0,361,15,3
203,0,383,441,15,2
204,-45,342,668,15,1
205,-30,480,699,15,3
206,0,486,727,15,3
207,-30,522,586,15,1
208,15,365,677,15,3
