trial, dist, RT, interstim, Brightness, NumberofLED
1, 0, 342, 670, 20,2
2, -15, 468, 444, 20,3
3, 45, 0, 547, 20,3
4, -45, 479, 689, 20,3
5, 0, 370, 540, 20,1
6, 45, 441, 631, 20,3
7, 45, 0, 621, 20,1
8, -30, 406, 783, 20,2
9, 45, 661, 538, 20,3
10, 30, 357, 384, 20,1
11, -30, 429, 739, 20,3
12, 15, 354, 477, 20,2
13, -15, 396, 617, 20,3
14, -45, 0, 507, 20,2
15, -45, 0, 418, 20,2
16, 0, 387, 487, 20,1
17, 30, 396, 523, 20,3
18, -30, 355, 365, 20,2
19, -45, 395, 571, 20,3
20, -15, 378, 564, 20,3
21, 15, 427, 430, 20,3
22, 45, 562, 530, 20,2
23, 30, 0, 347, 20,3
24, 30, 0, 420, 20,2
25, -45, 512, 539, 20,3
26, -45, 0, 610, 20,2
27, 45, 501, 686, 20,1
28, -30, 462, 343, 20,3
29, 45, 458, 585, 20,3
30, -15, 419, 781, 20,3
31, 30, 0, 415, 20,3
32, -15, 391, 550, 20,1
33, 15, 387, 664, 20,3
34, 0, 379, 350, 20,2
35, -15, 342, 711, 20,2
36, 0, 0, 682, 20,3
37, -15, 362, 647, 20,1
38, -15, 340, 528, 20,2
39, -30, 377, 518, 20,1
40, -15, 394, 601, 20,3
41, -15, 0, 461, 20,3
42, 15, 369, 737, 20,1
43, 15, 369, 682, 20,1
44, -45, 500, 610, 20,3
45, 30, 431, 453, 20,1
46, 0, 0, 684, 20,3
47, 30, 386, 630, 20,1
48, -45, 453, 533, 20,1
49, 30, 460, 619, 20,1
50, -30, 423, 733, 20,1
51, 30, 429, 390, 20,1
52, -30, 0, 683, 20,2
53, -15, 366, 793, 20,1
54, -45, 591, 597, 20,2
55, -15, 377, 757, 20,2
56, 30, 418, 597, 20,1
57, 15, 0, 324, 20,3
58, -45, 538, 479, 20,1
59, 0, 353, 577, 20,1
60, -45, 400, 405, 20,1
61, -45, 366, 629, 20,1
62, 0, 0, 783, 20,3
63, 15, 452, 794, 20,3
64, -45, 499, 756, 20,2
65, 0, 408, 488, 20,1
66, 0, 370, 457, 20,1
67, 45, 426, 730, 20,1
68, 45, 466, 561, 20,1
69, 30, 433, 717, 20,2
70, 0, 502, 460, 20,2
71, 0, 303, 338, 20,2
72, -30, 435, 447, 20,2
73, -45, 428, 364, 20,2
74, -15, 478, 521, 20,3
75, 15, 0, 467, 20,3
76, 15, 410, 390, 20,1
77, 0, 341, 353, 20,2
78, 30, 353, 392, 20,3
79, 15, 338, 302, 20,2
80, -30, 334, 696, 20,1
81, 15, 314, 533, 20,2
82, 45, 349, 750, 20,1
83, 30, 386, 337, 20,1
84, 15, 353, 466, 20,2
85, 15, 422, 481, 20,3
86, 30, 383, 753, 20,2
87, -15, 0, 662, 20,3
88, 30, 433, 717, 20,1
89, -45, 460, 679, 20,3
90, 0, 353, 611, 20,1
91, 15, 326, 440, 20,2
