trial,dist,RT,interstim,Brightness,NumberofLED
1,-30,396,697,20,1
2,45,455,428,20,2
3,-30,392,625,20,2
4,30,369,477,20,2
5,-15,446,556,20,3
6,15,375,601,20,1
7,15,423,566,20,3
8,45,358,661,20,2
9,-30,426,549,20,3
10,-45,424,364,20,1
11,30,363,748,20,1
12,-45,434,358,20,3
13,-45,387,611,20,3
14,-45,542,546,20,1
15,-30,386,707,20,1
16,15,454,373,20,2
17,-45,691,427,20,3
18,0,344,544,20,1
19,-15,373,577,20,1
20,45,0,565,20,2
21,-15,411,417,20,2
22,30,463,358,20,3
23,-15,398,361,20,1
24,15,355,474,20,2
25,15,388,391,20,3
26,-30,346,510,20,1
27,-15,379,521,20,3
28,-15,357,412,20,3
29,30,374,773,20,1
30,-30,507,641,20,2
31,45,431,406,20,1
32,30,349,592,20,1
33,0,389,592,20,2
34,15,499,586,20,2
35,15,357,359,20,2
36,15,357,454,20,1
37,30,371,768,20,2
38,30,340,782,20,1
39,0,347,428,20,1
40,-30,482,363,20,2
41,15,0,409,20,3
42,30,414,777,20,2
43,-15,327,714,20,2
44,-45,495,503,20,2
45,-45,431,637,20,1
46,15,440,370,20,3
47,-15,360,342,20,3
48,15,391,563,20,1
49,0,338,328,20,1
50,30,356,486,20,2
51,-30,467,628,20,3
52,-30,434,771,20,3
53,15,356,610,20,1
54,-45,420,387,20,3
55,-15,418,755,20,3
56,0,340,576,20,1
57,-15,420,489,20,2
58,-30,348,758,20,1
59,30,402,602,20,2
60,15,360,439,20,1
61,-30,0,672,20,2
62,15,458,554,20,3
63,45,421,772,20,1
64,-30,417,727,20,1
65,30,448,351,20,3
66,30,516,777,20,2
67,0,404,395,20,1
68,30,439,525,20,2
69,30,367,727,20,2
70,15,450,613,20,3
71,15,377,652,20,1
72,-45,399,520,20,3
73,15,358,409,20,1
74,-30,372,646,20,3
75,15,410,308,20,1
76,30,415,562,20,3
77,0,339,698,20,3
78,-15,347,550,20,3
79,15,489,356,20,2
80,-15,344,610,20,1
81,30,376,511,20,2
82,30,446,573,20,3
83,-45,0,706,20,2
84,-45,484,585,20,2
85,15,439,526,20,3
86,45,0,641,20,2
87,30,468,629,20,3
88,-45,449,696,20,1
89,30,441,358,20,2
90,30,401,647,20,1
91,45,598,516,20,2
92,0,355,723,20,1
93,15,368,372,20,2
94,45,463,662,20,1
95,-45,502,397,20,2
96,45,412,463,20,1
97,30,436,404,20,3
98,30,377,633,20,1
99,30,428,495,20,2
100,-30,380,717,20,1
101,-30,359,537,20,1
102,-30,427,541,20,2
103,-30,441,722,20,2
104,30,507,637,20,1
105,45,0,312,20,3
106,0,500,766,20,1
107,0,370,578,20,3
108,45,373,445,20,2
109,-45,553,570,20,2
110,15,377,341,20,2
111,0,342,707,20,3
112,45,436,329,20,2
113,45,539,393,20,1
114,0,337,319,20,2
115,0,350,675,20,3
116,30,462,648,20,3
117,30,485,792,20,3
118,30,442,579,20,3
119,-30,459,479,20,2
120,0,324,666,20,2
121,-15,357,544,20,1
122,-30,515,367,20,3
123,30,438,531,20,3
124,-15,355,702,20,3
125,45,323,767,20,3
126,15,402,575,20,3
127,-15,343,752,20,3
128,-15,393,587,20,3
129,45,352,489,20,3
130,0,0,350,20,1
131,0,362,413,20,3
132,-30,471,302,20,3
133,-15,690,652,20,2
134,15,363,494,20,2
135,0,327,311,20,3
136,45,390,768,20,1
137,15,391,302,20,2
138,0,340,455,20,3
139,-30,388,659,20,2
140,30,420,518,20,2
141,30,0,678,20,3
142,0,372,617,20,1
143,45,422,576,20,2
144,-45,480,455,20,2
145,30,403,768,20,3
146,30,390,454,20,3
147,-30,410,440,20,2
148,-45,446,515,20,2
149,15,468,357,20,3
150,0,373,502,20,1
151,0,322,715,20,1
152,-30,385,412,20,1
153,-15,0,393,20,2
154,-45,434,313,20,1
155,30,427,680,20,3
156,-30,411,368,20,1
157,-45,556,573,20,2
158,30,432,413,20,3
159,-30,429,531,20,2
160,-30,0,698,20,2
161,0,383,354,20,2
163,45,454,524,20,2
164,15,404,465,20,2
165,-45,486,317,20,2
166,45,0,546,20,2
167,0,400,682,20,1
168,-30,375,697,20,1
169,-15,424,314,20,2
170,15,601,322,20,1
171,30,603,656,20,3
172,15,385,340,20,2
173,45,525,334,20,2
174,30,412,324,20,2
175,15,479,740,20,3
176,-15,414,651,20,3
177,30,412,532,20,2
178,-15,340,743,20,3
179,15,444,572,20,1
180,-30,453,321,20,2
181,0,360,327,20,1
182,15,441,507,20,3
183,15,405,348,20,3
184,30,394,457,20,3
185,15,469,728,20,2
186,0,386,688,20,2
187,-15,388,361,20,1
188,-45,415,586,20,3
189,15,368,392,20,3
190,15,365,710,20,2
191,0,0,548,20,3
192,30,435,504,20,3
193,45,416,772,20,2
194,-45,0,387,20,2
195,-30,503,606,20,2
196,45,458,512,20,2
197,-45,433,783,20,1
198,15,392,409,20,1
199,45,443,783,20,3
200,15,444,503,20,3
201,45,383,785,20,2
202,45,450,361,20,3
203,0,373,441,20,2
204,-45,414,668,20,1
205,-30,432,699,20,3
206,0,354,727,20,3
207,-30,392,586,20,1
208,15,430,677,20,3
209,0,360,419,20,3
210,0,340,784,20,2
211,15,492,510,20,1
212,30,605,761,20,3
213,-30,458,544,20,1
