Trial, Ecc, RT, IT, Brightness, Stim ID
1,15,166,793,15,0
2,30,204,441,15,0
3,0,153,710,15,0
4,-30,197,507,15,0
5,-30,146,451,15,0
6,45,197,480,15,0
7,-15,140,616,15,0
8,0,292,453,15,0
9,-45,180,701,15,0
10,0,0,502,15,0
11,15,164,642,15,0
12,-30,156,687,15,0
13,-45,225,377,15,0
14,-45,230,564,15,0
15,-30,197,771,15,0
16,-45,182,792,15,0
17,-30,379,330,15,0
18,15,210,417,15,0
19,15,207,311,15,0
20,-15,204,378,15,0
21,-15,187,458,15,0
22,45,209,707,15,0
23,45,192,541,15,0
24,15,213,304,15,0
25,-45,170,495,15,0
26,0,193,391,15,0
27,-30,176,334,15,0
28,-30,145,456,15,0
29,-30,177,721,15,0
30,-30,177,513,15,0
31,15,0,641,15,0
32,0,143,730,15,0
33,-30,244,376,15,0
34,0,343,501,15,0
35,45,171,571,15,0
36,-15,178,626,15,0
37,30,188,795,15,0
38,0,188,663,15,0
39,-30,195,562,15,0
40,-15,163,653,15,0
41,0,109,748,15,0
42,15,139,737,15,0
43,0,242,409,15,0
44,15,0,616,15,0
45,-15,213,345,15,0
46,15,184,741,15,0
47,45,252,631,15,0
48,0,212,362,15,0
49,30,172,460,15,0
50,30,180,646,15,0
51,-15,204,433,15,0
52,45,209,468,15,0
53,-45,214,761,15,0
54,-45,179,534,15,0
55,0,170,402,15,0
56,30,173,533,15,0
57,30,184,768,15,0
58,45,230,615,15,0
59,-15,158,440,15,0
60,0,185,450,15,0
61,-15,160,482,15,0
62,45,211,324,15,0
63,-15,176,367,15,0
64,-30,0,459,15,0
65,0,188,432,15,0
66,45,202,318,15,0
67,-45,238,496,15,0
68,45,171,345,15,0
69,15,268,575,15,0
70,-30,183,332,15,0
71,-30,124,637,15,0
72,15,204,313,15,0
73,45,160,799,15,0
74,15,193,646,15,0
75,-15,162,757,15,0
76,-45,172,796,15,0
77,45,201,531,15,0
78,-45,159,555,15,0
79,30,155,732,15,0
80,-30,201,766,15,0
81,-45,203,523,15,0
82,-15,164,507,15,0
83,-15,178,518,15,0
84,-45,206,354,15,0
85,15,182,416,15,0
86,-30,177,649,15,0
87,0,173,762,15,0
88,30,192,515,15,0
89,-30,180,783,15,0
90,0,193,545,15,0
91,-45,189,570,15,0
92,15,182,715,15,0
93,0,186,429,15,0
94,-45,182,686,15,0
95,-45,180,674,15,0
96,-15,185,750,15,0
97,-45,215,489,15,0
98,30,180,657,15,0
99,-15,156,482,15,0
100,0,174,587,15,0
101,-30,171,728,15,0
102,45,182,790,15,0
103,45,165,700,15,0
104,15,243,340,15,0
105,15,178,556,15,0
106,45,202,774,15,0
107,-45,187,751,15,0
108,-45,173,729,15,0
109,-45,0,789,15,0
110,15,201,505,15,0
111,-45,0,670,15,0
112,-45,212,430,15,0
113,15,192,329,15,0
114,30,154,306,15,0
115,15,191,710,15,0
116,45,205,490,15,0
117,45,196,449,15,0
118,-30,201,625,15,0
119,0,133,775,15,0
120,-30,191,576,15,0
121,-15,198,427,15,0
122,-45,208,725,15,0
123,30,190,771,15,0
124,15,229,305,15,0
125,45,204,330,15,0
126,30,202,487,15,0
127,-15,185,472,15,0
128,-30,170,678,15,0
129,45,237,354,15,0
130,30,189,740,15,0
131,15,185,603,15,0
132,30,175,730,15,0
133,-45,170,698,15,0
134,-30,182,684,15,0
135,15,196,637,15,0
136,15,164,704,15,0
137,0,191,629,15,0
138,0,176,702,15,0
139,45,174,518,15,0
140,45,237,318,15,0
141,45,189,716,15,0
142,15,213,500,15,0
143,15,190,644,15,0
144,-15,151,687,15,0
145,45,192,361,15,0
146,-15,236,626,15,0
147,-30,190,430,15,0
148,-15,167,499,15,0
149,-30,152,434,15,0
150,-45,164,580,15,0
151,45,336,536,15,0
152,30,157,547,15,0
153,-15,181,304,15,0
154,30,176,405,15,0
155,30,152,631,15,0
156,-45,199,513,15,0
157,-30,210,724,15,0
158,30,166,537,15,0
159,0,368,352,15,0
160,30,163,349,15,0
161,15,182,458,15,0
162,45,0,767,15,0
163,45,192,350,15,0
164,15,176,458,15,0
165,-15,175,684,15,0
166,-45,334,675,15,0
167,45,180,374,15,0
168,-15,189,328,15,0
169,15,0,552,15,0
170,-15,175,494,15,0
171,-45,168,639,15,0
172,-45,203,641,15,0
173,45,185,614,15,0
174,45,157,686,15,0
175,-15,201,382,15,0
176,0,162,602,15,0
177,30,193,484,15,0
178,45,184,580,15,0
179,15,177,471,15,0
180,-45,0,781,15,0
181,-30,165,637,15,0
182,45,192,622,15,0
183,-30,199,416,15,0
184,0,172,622,15,0
185,30,171,439,15,0
186,-15,179,366,15,0
187,0,0,496,15,0
188,-30,200,546,15,0
189,30,314,455,15,0
190,-45,155,605,15,0
191,15,203,423,15,0
192,0,124,738,15,0
193,30,214,342,15,0
194,45,176,499,15,0
195,0,157,522,15,0
196,30,184,644,15,0
197,15,190,340,15,0
198,0,188,339,15,0
199,15,159,522,15,0
200,-15,166,596,15,0
201,30,198,507,15,0
202,15,191,339,15,0
203,15,163,531,15,0
204,-30,230,466,15,0
205,-30,173,541,15,0
206,15,175,333,15,0
207,-15,165,379,15,0
208,30,162,696,15,0
209,-15,0,777,15,0
210,-30,199,421,15,0
211,0,176,664,15,0
