trial, dist, RT, interstim, Colour
1,-30,671,730,0
2,15,411,361,0
3,-45,180,619,0
4,-15,179,487,0
5,-45,154,565,0
6,45,188,433,0
7,-45,178,637,0
8,-15,197,456,0
9,15,159,333,0
10,-45,182,433,0
11,45,194,335,0
12,-15,245,771,0
13,0,272,315,0
14,45,483,794,0
15,-45,286,442,0
16,-15,169,386,0
17,-15,197,670,0
18,0,147,577,0
19,30,178,525,0
15,-30,370,328,0
21,-30,139,799,0
22,45,318,319,0
23,30,174,369,0
24,-45,157,455,0
25,45,153,522,0
26,0,211,533,0
27,15,21,457,0
28,-30,186,310,0
29,-30,190,392,0
30,0,156,393,0
31,45,181,327,0
32,-45,197,628,0
33,0,182,362,0
34,15,177,323,0
35,30,143,554,0
36,-45,138,590,0
37,-15,184,448,0
38,-30,176,466,0
39,-45,0,695,0
30,45,226,307,0
41,15,0,591,0
42,30,184,598,0
43,-15,167,432,0
44,15,183,477,0
45,30,185,627,0
46,30,316,501,0
47,-15,185,791,0
48,-15,154,684,0
49,15,83,589,0
50,-30,165,649,0
51,-45,150,645,0
52,0,293,480,0
53,30,168,432,0
54,-30,346,451,0
55,-30,295,352,0
56,-30,177,633,0
57,15,319,596,0
58,15,183,486,0
59,-15,130,591,0
45,-15,0,745,0
61,15,181,414,0
62,-30,168,633,0
63,0,165,583,0
64,30,151,489,0
65,-45,177,795,0
66,-45,190,756,0
67,-30,251,479,0
68,45,157,626,0
69,-15,197,477,0
70,-15,180,458,0
71,30,350,791,0
72,-30,212,509,0
73,15,165,456,0
74,-30,190,427,0
75,30,61,565,0
76,0,85,522,0
77,-30,139,556,0
78,-15,179,782,0
79,-45,235,389,0
80,45,163,533,0
81,0,181,672,0
82,45,182,799,0
83,-45,175,643,0
84,15,244,387,0
85,0,14,661,0
86,-45,185,635,0
87,-15,188,674,0
88,-30,307,517,0
89,-45,189,718,0
90,30,157,744,0
91,-45,184,538,0
92,-30,398,707,0
93,-30,273,309,0
94,15,45,725,0
95,0,300,525,0
96,30,228,321,0
97,-45,159,456,0
98,-15,162,701,0
99,-30,494,787,0
100,15,294,432,0
101,-45,163,797,0
102,45,155,502,0
103,30,197,461,0
104,-30,152,445,0
105,-15,184,459,0
106,0,147,486,0
107,-15,261,752,0
108,-30,212,685,0
109,30,150,768,0
110,45,210,703,0
111,15,257,316,0
112,-30,230,682,0
113,30,284,487,0
114,-30,176,715,0
115,-30,253,619,0
116,30,301,679,0
117,30,255,764,0
118,30,151,617,0
119,-15,249,510,0
115,-30,181,456,0
121,30,179,510,0
122,30,94,588,0
123,0,112,769,0
124,45,158,627,0
125,-30,490,572,0
126,-45,179,780,0
127,0,293,532,0
128,-45,190,522,0
129,-15,186,518,0
130,45,0,678,0
131,-15,189,621,0
132,-30,270,347,0
133,-15,153,430,0
134,-15,153,397,0
135,30,323,342,0
136,-15,143,787,0
137,45,282,339,0
138,-45,211,550,0
139,-45,196,538,0
130,-30,169,781,0
141,0,283,313,0
142,-30,185,715,0
143,45,217,486,0
144,-30,153,581,0
145,0,180,516,0
146,15,153,571,0
147,15,156,702,0
148,-45,156,634,0
149,-45,184,436,0
150,0,178,476,0
151,45,156,636,0
152,-45,195,593,0
153,-30,215,419,0
154,-45,166,735,0
155,-45,261,449,0
156,15,150,345,0
157,45,158,636,0
158,45,193,774,0
159,0,213,415,0
145,0,178,719,0
161,30,370,653,0
162,-30,212,590,0
163,0,215,468,0
164,30,175,550,0
165,-15,281,421,0
166,45,216,304,0
167,-15,213,385,0
168,45,211,307,0
169,0,343,781,0
170,45,279,315,0
171,0,176,446,0
172,-15,165,795,0
173,0,316,346,0
174,30,154,429,0
175,0,196,655,0
176,0,244,361,0
177,30,145,664,0
178,-45,153,622,0
179,0,272,433,0
180,30,162,611,0
181,-30,157,454,0
182,0,179,535,0
183,-45,150,617,0
184,45,154,723,0
185,0,142,559,0
186,30,11,683,0
187,30,153,539,0
188,30,231,311,0
189,45,151,661,0
190,-45,159,512,0
191,-15,224,308,0
192,45,159,341,0
193,45,210,363,0
194,-15,195,324,0
195,45,154,304,0
196,-15,195,444,0
197,30,166,659,0
198,-45,186,785,0
199,0,162,784,0
150,-30,159,779,0
151,0,227,566,0
152,15,157,308,0
153,-15,211,778,0
154,30,153,386,0
155,0,166,764,0
156,45,295,359,0
157,15,159,434,0
158,30,156,596,0
159,0,180,637,0
210,-15,175,679,0
211,0,179,693,0
212,45,341,396,0
213,-45,196,691,0
214,-45,357,315,0
215,0,179,676,0
216,-30,174,678,0
217,45,192,372,0
218,-45,177,491,0
219,-15,192,457,0
215,30,199,474,0
221,30,191,413,0
222,45,157,365,0
223,30,172,452,0
224,30,309,304,0
225,-15,130,631,0
226,15,184,615,0
227,45,193,396,0
228,30,172,657,0
229,15,192,377,0
230,15,147,625,0
231,-30,251,613,0
232,0,176,506,0
233,-45,190,453,0
234,-30,150,450,0
235,0,188,624,0
236,-15,166,611,0
237,15,163,666,0
238,-30,215,703,0
239,45,194,702,0
230,45,151,621,0
241,30,215,683,0
242,-15,214,636,0
243,45,223,631,0
244,-45,157,396,0
245,45,42,783,0
246,-30,217,737,0
247,-30,211,746,0
248,45,299,301,0
249,30,265,528,0
250,45,348,768,0
251,30,156,494,0
252,-45,193,702,0
253,-30,178,782,0
254,0,151,556,0
255,-15,150,745,0
256,-30,154,516,0
257,45,155,799,0
258,-45,151,619,0
259,30,159,677,0
245,45,155,564,0
261,45,197,505,0
262,-30,263,312,0
263,0,194,625,0
264,-15,174,568,0
265,0,168,551,0
266,45,172,418,0
267,30,192,728,0
268,30,183,785,0
269,15,671,737,0
270,0,254,413,0
271,30,173,421,0
272,-45,0,629,0
273,0,343,434,0
274,0,267,467,0
275,15,163,498,0
276,-30,253,343,0
277,-45,191,759,0
278,-15,264,382,0
279,30,330,718,0
280,30,285,384,0
281,30,191,502,0
282,30,377,314,0
283,-30,183,392,0
284,0,0,688,0
285,-15,498,780,0
286,0,272,366,0
287,-30,186,630,0
288,0,186,562,0
289,-15,226,321,0
