Trial,Ecc,RT,IT,Brightness,Stim ID
1,-45,307,653,15,0
2,-30,377,425,15,0
3,-30,267,723,15,0
4,0,325,477,15,0
5,15,277,338,15,0
6,-15,441,745,15,0
7,-45,293,610,15,0
8,-30,304,433,15,0
9,-15,304,395,15,0
10,45,481,345,15,0
11,15,410,411,15,0
12,30,242,730,15,0
13,-45,285,500,15,0
14,-45,313,323,15,0
15,0,132,485,15,0
16,-15,231,348,15,0
17,0,427,795,15,0
18,-45,363,424,15,0
19,-15,284,708,15,0
20,45,289,616,15,0
21,45,442,622,15,0
22,-15,241,616,15,0
23,45,341,453,15,0
24,30,271,579,15,0
25,30,316,685,15,0
26,45,350,549,15,0
27,-15,354,402,15,0
28,0,296,480,15,0
29,0,269,748,15,0
30,45,260,602,15,0
31,30,208,664,15,0
32,-15,212,706,15,0
33,0,315,548,15,0
34,-30,224,383,15,0
35,15,218,439,15,0
36,-30,217,459,15,0
37,0,287,530,15,0
38,-45,343,735,15,0
39,-30,441,345,15,0
40,-30,310,539,15,0
41,30,337,374,15,0
42,45,496,309,15,0
43,0,400,380,15,0
44,-15,299,582,15,0
45,0,286,663,15,0
46,15,200,616,15,0
47,15,510,644,15,0
48,-30,367,380,15,0
49,-15,245,732,15,0
50,-45,472,308,15,0
51,30,310,338,15,0
52,45,131,533,15,0
53,-30,364,697,15,0
54,30,410,695,15,0
55,-45,676,532,15,0
56,45,593,397,15,0
57,0,349,785,15,0
58,-15,291,773,15,0
59,-45,316,798,15,0
60,-45,567,482,15,0
61,30,499,342,15,0
62,0,422,779,15,0
63,-30,247,535,15,0
64,-15,260,442,15,0
65,15,282,578,15,0
66,-30,385,426,15,0
67,-15,211,646,15,0
68,45,289,531,15,0
69,-15,287,422,15,0
70,15,185,475,15,0
71,15,226,629,15,0
72,30,287,632,15,0
73,-30,295,580,15,0
74,-45,429,569,15,0
75,-15,371,300,15,0
76,-45,243,463,15,0
77,30,306,396,15,0
78,15,227,726,15,0
79,30,244,775,15,0
80,-30,266,750,15,0
81,-15,262,746,15,0
82,-15,305,318,15,0
83,-15,236,532,15,0
84,0,311,513,15,0
85,-45,295,741,15,0
86,-15,314,751,15,0
87,-45,286,379,15,0
88,30,350,354,15,0
89,-30,229,785,15,0
90,-30,277,405,15,0
91,0,419,311,15,0
92,0,261,406,15,0
93,45,275,751,15,0
94,-15,233,505,15,0
95,-45,244,599,15,0
96,-15,279,710,15,0
97,0,231,496,15,0
98,-15,271,633,15,0
99,30,595,798,15,0
100,30,418,739,15,0
101,45,355,409,15,0
102,0,372,344,15,0
103,15,335,734,15,0
104,-45,341,548,15,0
105,0,342,618,15,0
106,-45,317,341,15,0
107,-30,322,573,15,0
108,-15,443,335,15,0
109,0,367,491,15,0
110,-30,235,412,15,0
111,0,274,520,15,0
112,-30,378,680,15,0
113,30,372,303,15,0
114,-30,325,355,15,0
115,0,0,499,15,0
116,-45,385,572,15,0
117,15,319,644,15,0
118,0,388,455,15,0
119,0,259,646,15,0
120,-30,257,454,15,0
121,45,282,422,15,0
122,-45,416,326,15,0
123,45,307,491,15,0
124,45,316,438,15,0
125,-45,319,685,15,0
126,15,358,676,15,0
127,-45,350,461,15,0
128,-30,375,389,15,0
129,30,320,311,15,0
130,-45,393,730,15,0
131,-30,300,705,15,0
132,30,294,566,15,0
133,30,370,408,15,0
134,-30,331,359,15,0
135,0,301,713,15,0
136,30,346,523,15,0
137,0,315,491,15,0
138,45,312,542,15,0
139,0,228,674,15,0
140,15,280,730,15,0
141,30,344,473,15,0
142,0,319,682,15,0
143,45,420,792,15,0
144,-45,452,795,15,0
145,0,336,693,15,0
146,30,369,500,15,0
147,-30,435,409,15,0
148,30,276,777,15,0
149,-45,325,566,15,0
150,-45,308,734,15,0
151,30,304,726,15,0
152,-15,334,379,15,0
153,-15,305,313,15,0
154,45,458,388,15,0
155,0,293,409,15,0
156,30,255,562,15,0
157,0,253,680,15,0
158,15,326,534,15,0
159,45,359,665,15,0
160,-15,367,661,15,0
161,-15,398,425,15,0
162,30,234,547,15,0
163,15,246,683,15,0
164,-15,314,508,15,0
165,45,530,737,15,0
166,15,426,625,15,0
167,-15,392,427,15,0
168,15,358,522,15,0
169,-15,391,631,15,0
170,15,460,505,15,0
171,15,365,382,15,0
172,30,420,727,15,0
173,0,296,722,15,0
174,-30,200,722,15,0
175,-30,190,778,15,0
176,30,335,462,15,0
177,15,327,703,15,0
178,0,284,635,15,0
179,15,364,412,15,0
180,-30,356,456,15,0
181,-15,187,519,15,0
182,-45,0,702,15,0
183,-15,235,319,15,0
184,15,246,566,15,0
185,-30,251,334,15,0
186,-30,282,406,15,0
187,-45,226,369,15,0
188,-45,289,362,15,0
189,-45,244,778,15,0
190,-30,254,756,15,0
191,45,371,442,15,0
192,-15,261,328,15,0
193,45,290,442,15,0
194,15,220,731,15,0
195,30,419,433,15,0
196,45,374,795,15,0
197,45,358,682,15,0
198,-45,445,363,15,0
199,-30,353,745,15,0
200,30,419,519,15,0
