Trial,Ecc,RT,IT,Brightness,Stim ID
1,15,365,485,15,0
2,0,333,614,15,0
3,-45,242,733,15,0
4,-30,271,420,15,0
5,45,221,594,15,0
6,0,288,738,15,0
7,30,211,422,15,0
8,45,222,331,15,0
9,45,0,505,15,0
10,-45,140,631,15,0
11,15,207,577,15,0
12,-15,206,698,15,0
13,45,207,556,15,0
14,-45,210,453,15,0
15,-30,207,399,15,0
16,-45,208,424,15,0
17,30,220,342,15,0
18,15,130,516,15,0
19,-15,135,779,15,0
20,-45,267,504,15,0
21,-15,242,393,15,0
22,-45,216,405,15,0
23,-30,215,548,15,0
24,15,224,464,15,0
25,30,0,703,15,0
26,45,228,653,15,0
27,-45,225,313,15,0
28,-45,195,691,15,0
29,-30,235,470,15,0
30,-30,143,610,15,0
31,-30,189,758,15,0
32,30,217,359,15,0
33,0,300,591,15,0
34,-30,175,537,15,0
35,0,155,495,15,0
36,45,194,470,15,0
37,30,233,349,15,0
38,-45,171,425,15,0
39,-15,198,477,15,0
40,15,0,733,15,0
41,-15,208,573,15,0
42,-15,228,304,15,0
43,0,0,593,15,0
44,0,228,342,15,0
45,30,117,614,15,0
46,15,252,483,15,0
47,-30,209,356,15,0
48,45,279,607,15,0
49,15,202,371,15,0
50,30,166,466,15,0
51,15,104,543,15,0
52,-15,139,715,15,0
53,30,218,416,15,0
54,-45,873,475,15,0
55,45,0,696,15,0
56,-15,344,300,15,0
57,0,509,473,15,0
58,-30,228,476,15,0
59,-15,213,616,15,0
60,-30,253,678,15,0
61,30,251,602,15,0
62,30,254,364,15,0
63,-45,215,557,15,0
64,0,229,423,15,0
65,-45,0,594,15,0
66,-15,191,400,15,0
67,0,217,492,15,0
68,45,323,632,15,0
69,-15,179,771,15,0
70,-15,212,417,15,0
71,-30,187,401,15,0
72,15,141,546,15,0
73,-30,196,432,15,0
74,0,0,499,15,0
75,45,0,655,15,0
76,30,146,411,15,0
77,0,195,550,15,0
78,30,0,712,15,0
79,30,187,337,15,0
80,15,177,431,15,0
81,0,287,753,15,0
82,-15,187,581,15,0
83,-30,0,642,15,0
84,-45,122,745,15,0
85,45,204,343,15,0
86,30,162,665,15,0
87,30,0,734,15,0
88,45,223,506,15,0
89,-30,235,486,15,0
90,45,227,341,15,0
91,0,213,384,15,0
92,-30,226,346,15,0
93,-30,0,749,15,0
94,0,170,734,15,0
95,-30,203,581,15,0
96,-30,212,471,15,0
97,15,250,659,15,0
98,45,230,558,15,0
99,0,160,603,15,0
100,45,211,474,15,0
101,-30,211,463,15,0
102,0,216,494,15,0
103,-15,140,509,15,0
104,15,292,599,15,0
105,45,0,691,15,0
106,30,271,437,15,0
107,-30,226,450,15,0
108,-45,171,444,15,0
109,30,206,433,15,0
110,0,0,686,15,0
111,-45,148,596,15,0
112,-30,226,779,15,0
113,-45,158,701,15,0
114,0,0,780,15,0
115,30,193,574,15,0
116,-30,147,527,15,0
117,-30,169,763,15,0
118,-45,350,570,15,0
119,-15,286,514,15,0
120,45,0,543,15,0
121,-30,137,546,15,0
122,15,251,441,15,0
123,-45,173,398,15,0
124,-45,0,717,15,0
125,15,145,603,15,0
126,-45,269,458,15,0
127,-30,0,765,15,0
128,45,165,713,15,0
129,45,0,731,15,0
130,0,230,373,15,0
131,15,187,483,15,0
132,-45,0,586,15,0
133,30,236,790,15,0
134,-45,135,564,15,0
135,-45,0,642,15,0
136,-45,217,576,15,0
137,45,100,636,15,0
138,-30,167,696,15,0
139,0,311,530,15,0
140,-45,0,771,15,0
141,-45,222,439,15,0
142,-45,218,413,15,0
143,45,0,780,15,0
