Trial, Ecc, RT, IT, Brightness, Stim ID
1, 45, 314, 574, 15, 0
2, 0, 296, 350, 15, 0
3, 15, 199, 719, 15, 0
4, 15, 196, 609, 15, 0
5, 15, 237, 313, 15, 0
6, 45, 235, 418, 15, 0
7, 15, 216, 645, 15, 0
8, -45, 215, 394, 15, 0
9, -45, 169, 582, 15, 0
10, -30, 205, 718, 15, 0
11, 0, 435, 673, 15, 0
12, -15, 380, 710, 15, 0
13, -45, 202, 739, 15, 0
14, 15, 245, 473, 15, 0
15, -45, 118, 786, 15, 0
16, -30, 472, 345, 15, 0
17, 45, 236, 684, 15, 0
18, -45, 419, 413, 15, 0
19, 0, 273, 351, 15, 0
20, 0, 250, 412, 15, 0
21, 0, 278, 376, 15, 0
22, -45, 213, 354, 15, 0
23, -45, 146, 614, 15, 0
24, -30, 226, 469, 15, 0
25, 0, 208, 620, 15, 0
26, 45, 193, 758, 15, 0
27, 15, 243, 526, 15, 0
28, 30, 235, 337, 15, 0
29, -30, 210, 473, 15, 0
30, 30, 174, 751, 15, 0
31, 15, 465, 389, 15, 0
32, 0, 227, 559, 15, 0
33, 30, 220, 510, 15, 0
34, -30, 202, 667, 15, 0
35, 30, 184, 682, 15, 0
36, 15, 254, 559, 15, 0
37, 15, 224, 435, 15, 0
38, -15, 203, 536, 15, 0
39, -30, 213, 593, 15, 0
40, 45, 276, 520, 15, 0
41, -45, 167, 778, 15, 0
42, 15, 205, 696, 15, 0
43, 0, 249, 637, 15, 0
44, -30, 190, 603, 15, 0
45, -15, 175, 575, 15, 0
46, 45, 216, 533, 15, 0
47, -30, 255, 512, 15, 0
48, -15, 208, 489, 15, 0
49, -45, 222, 733, 15, 0
50, -30, 228, 622, 15, 0
51, 15, 252, 547, 15, 0
52, -45, 225, 499, 15, 0
53, 45, 243, 608, 15, 0
54, -45, 337, 432, 15, 0
55, -15, 194, 620, 15, 0
56, 0, 254, 430, 15, 0
57, 30, 248, 373, 15, 0
58, 15, 198, 384, 15, 0
59, -30, 169, 577, 15, 0
60, -45, 209, 445, 15, 0
61, 0, 148, 622, 15, 0
62, 45, 384, 561, 15, 0
63, 15, 191, 720, 15, 0
64, 15, 279, 340, 15, 0
65, 15, 227, 449, 15, 0
66, -30, 222, 458, 15, 0
67, 0, 224, 745, 15, 0
68, 30, 227, 685, 15, 0
69, 15, 334, 360, 15, 0
70, -45, 222, 694, 15, 0
71, -30, 232, 605, 15, 0
72, 45, 214, 552, 15, 0
73, -15, 236, 487, 15, 0
74, 15, 245, 342, 15, 0
75, -15, 239, 658, 15, 0
76, 15, 295, 585, 15, 0
77, 45, 258, 534, 15, 0
78, -45, 305, 441, 15, 0
79, -45, 236, 642, 15, 0
80, 15, 236, 671, 15, 0
81, -30, 386, 468, 15, 0
82, -30, 291, 610, 15, 0
83, 45, 244, 746, 15, 0
84, -15, 293, 526, 15, 0
85, -15, 263, 545, 15, 0
86, -15, 267, 782, 15, 0
87, -30, 378, 321, 15, 0
88, 45, 224, 739, 15, 0
89, 0, 258, 788, 15, 0
90, -30, 415, 333, 15, 0
91, 45, 268, 319, 15, 0
92, 30, 244, 781, 15, 0
93, -45, 264, 698, 15, 0
94, -30, 282, 699, 15, 0
95, 0, 345, 321, 15, 0
96, 30, 311, 348, 15, 0
97, 30, 247, 407, 15, 0
98, -45, 205, 714, 15, 0
99, -45, 249, 483, 15, 0
100, -30, 217, 629, 15, 0
101, -30, 295, 347, 15, 0
102, -45, 314, 357, 15, 0
103, 45, 278, 369, 15, 0
104, 45, 280, 727, 15, 0
105, -15, 251, 625, 15, 0
106, -45, 241, 706, 15, 0
107, 15, 240, 754, 15, 0
108, -45, 324, 380, 15, 0
109, 45, 267, 621, 15, 0
110, 15, 368, 401, 15, 0
111, -15, 234, 584, 15, 0
112, 45, 301, 518, 15, 0
113, -45, 421, 310, 15, 0
114, 45, 224, 683, 15, 0
115, -45, 336, 520, 15, 0
116, -30, 380, 394, 15, 0
117, 0, 259, 779, 15, 0
118, 15, 300, 426, 15, 0
119, -45, 222, 720, 15, 0
120, -45, 395, 386, 15, 0
121, 0, 312, 668, 15, 0
122, -15, 276, 744, 15, 0
123, 30, 261, 733, 15, 0
124, -15, 228, 525, 15, 0
125, 15, 221, 638, 15, 0
126, -15, 166, 708, 15, 0
127, 15, 268, 591, 15, 0
128, -30, 208, 695, 15, 0
129, 30, 267, 626, 15, 0
130, 15, 278, 676, 15, 0
131, 45, 267, 668, 15, 0
132, 15, 337, 446, 15, 0
133, 15, 234, 401, 15, 0
134, 30, 237, 521, 15, 0
135, 15, 262, 424, 15, 0
136, 0, 274, 533, 15, 0
137, 0, 264, 444, 15, 0
138, -30, 256, 440, 15, 0
139, 30, 316, 324, 15, 0
140, 15, 212, 733, 15, 0
141, 15, 249, 754, 15, 0
142, 30, 280, 697, 15, 0
143, 45, 263, 657, 15, 0
144, -45, 373, 392, 15, 0
145, 0, 294, 533, 15, 0
146, -45, 263, 686, 15, 0
147, -45, 253, 627, 15, 0
148, -30, 269, 471, 15, 0
149, 15, 256, 385, 15, 0
150, 30, 236, 355, 15, 0
151, 30, 213, 591, 15, 0
152, 45, 271, 475, 15, 0
153, 30, 262, 513, 15, 0
154, 30, 265, 498, 15, 0
155, 15, 213, 663, 15, 0
156, -45, 242, 733, 15, 0
157, 15, 250, 557, 15, 0
