Trial,Ecc,RT,IT,Brightness,Stim ID
1,-30,249,662,15,0
2,45,325,446,15,0
3,-15,248,662,15,0
4,45,245,405,15,0
5,0,180,662,15,0
6,0,252,760,15,0
7,-45,253,684,15,0
8,45,167,749,15,0
9,45,249,467,15,0
10,0,213,660,15,0
11,15,234,354,15,0
12,0,168,689,15,0
13,0,230,337,15,0
14,0,109,683,15,0
15,-45,293,612,15,0
16,-30,290,351,15,0
17,-15,253,580,15,0
18,-15,263,717,15,0
19,45,253,657,15,0
20,-30,234,500,15,0
21,30,236,492,15,0
22,30,261,330,15,0
23,30,224,324,15,0
24,-45,254,791,15,0
25,45,251,751,15,0
26,15,245,506,15,0
27,-45,271,639,15,0
28,-15,485,531,15,0
29,-30,278,518,15,0
30,45,287,476,15,0
31,30,291,395,15,0
32,-15,263,598,15,0
33,15,266,399,15,0
34,-15,253,623,15,0
35,-30,279,386,15,0
36,30,480,467,15,0
37,-45,304,363,15,0
38,-30,268,519,15,0
39,45,214,790,15,0
40,-15,287,484,15,0
41,0,277,496,15,0
42,-30,242,779,15,0
43,-45,299,423,15,0
44,-45,238,687,15,0
45,0,255,711,15,0
46,-15,245,613,15,0
47,45,297,314,15,0
48,15,203,780,15,0
49,15,276,306,15,0
50,-30,226,702,15,0
51,15,297,354,15,0
52,15,213,651,15,0
53,-30,240,710,15,0
54,-30,295,511,15,0
55,30,263,739,15,0
56,15,262,391,15,0
57,15,238,776,15,0
58,30,242,694,15,0
59,45,228,746,15,0
60,-15,235,721,15,0
61,45,260,609,15,0
62,-30,265,557,15,0
63,-30,294,547,15,0
64,45,268,737,15,0
65,45,419,794,15,0
66,45,295,444,15,0
67,30,213,727,15,0
68,-15,233,795,15,0
69,30,250,416,15,0
70,0,270,428,15,0
71,30,213,635,15,0
72,30,227,567,15,0
73,-45,300,483,15,0
74,30,383,543,15,0
75,-45,296,386,15,0
76,45,350,709,15,0
77,0,260,308,15,0
78,-15,236,412,15,0
79,30,228,312,15,0
80,-15,196,661,15,0
81,-30,228,588,15,0
82,-45,400,484,15,0
83,45,270,438,15,0
84,30,212,388,15,0
85,45,228,394,15,0
86,-45,230,460,15,0
87,-45,292,307,15,0
88,45,203,382,15,0
89,45,227,576,15,0
90,30,215,776,15,0
91,-30,286,541,15,0
92,-30,304,340,15,0
93,30,270,716,15,0
94,0,251,380,15,0
95,-30,263,441,15,0
96,30,221,720,15,0
97,0,244,617,15,0
98,0,216,478,15,0
99,30,241,516,15,0
100,15,200,794,15,0
101,-45,276,560,15,0
102,-30,243,621,15,0
103,-15,263,355,15,0
104,15,388,694,15,0
105,45,249,715,15,0
106,-30,255,681,15,0
107,-45,267,583,15,0
108,30,285,346,15,0
109,-15,297,457,15,0
110,0,274,489,15,0
111,-45,268,782,15,0
112,45,306,627,15,0
113,45,256,655,15,0
114,0,267,316,15,0
115,-30,233,565,15,0
116,45,238,500,15,0
117,45,283,451,15,0
118,-45,248,522,15,0
119,45,210,796,15,0
120,-30,234,533,15,0
121,-15,235,346,15,0
122,-45,229,593,15,0
123,15,235,707,15,0
124,-15,239,561,15,0
125,0,207,624,15,0
126,-30,203,704,15,0
127,15,267,427,15,0
128,30,217,514,15,0
129,-15,258,495,15,0
130,45,251,621,15,0
131,30,239,581,15,0
132,45,230,596,15,0
133,15,390,301,15,0
134,-45,250,598,15,0
135,15,180,779,15,0
136,15,262,666,15,0
137,-45,246,626,15,0
138,15,253,533,15,0
139,45,232,720,15,0
140,30,222,462,15,0
141,-45,286,726,15,0
142,45,221,774,15,0
143,0,206,681,15,0
144,-30,277,365,15,0
145,45,252,455,15,0
146,-30,210,753,15,0
147,15,476,631,15,0
148,-45,277,407,15,0
149,0,252,458,15,0
150,15,250,592,15,0
151,15,238,360,15,0
152,-30,267,365,15,0
153,-45,309,760,15,0
154,0,263,519,15,0
155,0,221,524,15,0
156,45,244,517,15,0
157,15,230,468,15,0
158,0,273,308,15,0
159,30,285,318,15,0
160,45,165,629,15,0
161,45,222,395,15,0
162,-45,384,788,15,0
163,30,240,617,15,0
164,-15,250,367,15,0
165,45,254,363,15,0
166,45,221,556,15,0
167,15,225,761,15,0
168,30,217,750,15,0
169,45,233,770,15,0
170,0,312,345,15,0
171,-45,254,465,15,0
172,-15,155,694,15,0
173,45,279,301,15,0
174,45,258,604,15,0
175,-45,466,411,15,0
176,-15,256,375,15,0
177,-45,277,729,15,0
178,-45,269,797,15,0
179,0,287,447,15,0
180,15,230,508,15,0
181,-15,277,317,15,0
182,45,235,722,15,0
183,45,274,401,15,0
184,-15,250,443,15,0
185,0,227,640,15,0
186,30,231,580,15,0
187,-30,258,615,15,0
188,0,215,602,15,0
189,0,263,323,15,0
190,-30,276,573,15,0
191,15,129,704,15,0
192,30,259,608,15,0
193,45,279,386,15,0
194,15,286,373,15,0
195,-45,282,527,15,0
196,-15,278,336,15,0
197,-45,251,525,15,0
198,-45,331,542,15,0
199,30,193,752,15,0
200,0,236,438,15,0
