Trial, Ecc, RT, IT, Brightness, Stim ID
1,-30,27835,354,15,0
2,-30,288,360,15,0
3,15,0,332,15,0
4,0,251,575,15,0
5,-45,242,764,15,0
6,-15,354,313,15,0
7,30,214,474,15,0
8,15,189,580,15,0
9,30,173,693,15,0
10,45,159,613,15,0
11,-30,181,794,15,0
12,-45,233,542,15,0
13,-30,203,641,15,0
14,-15,213,492,15,0
15,0,201,427,15,0
16,-45,191,786,15,0
17,45,177,694,15,0
18,30,193,550,15,0
19,30,182,336,15,0
20,-30,0,692,15,0
21,45,213,586,15,0
22,30,224,458,15,0
23,-30,171,692,15,0
24,45,211,414,15,0
25,-15,227,763,15,0
26,30,0,741,15,0
27,30,227,376,15,0
28,45,147,499,15,0
29,-45,535,493,15,0
30,0,126,659,15,0
31,30,200,477,15,0
32,30,162,579,15,0
33,15,196,670,15,0
34,15,162,630,15,0
35,0,249,363,15,0
36,15,178,539,15,0
37,30,0,718,15,0
38,0,184,549,15,0
39,0,179,527,15,0
40,-45,175,463,15,0
41,0,195,527,15,0
42,15,219,356,15,0
43,-45,107,672,15,0
44,-30,198,540,15,0
45,0,168,735,15,0
46,45,0,730,15,0
47,30,0,654,15,0
48,30,196,541,15,0
49,30,193,521,15,0
50,45,177,525,15,0
51,45,190,500,15,0
52,-30,112,575,15,0
53,15,0,706,15,0
54,-45,247,308,15,0
55,30,956,793,15,0
56,15,183,557,15,0
57,15,0,792,15,0
58,-45,225,609,15,0
59,-30,233,375,15,0
60,-30,185,549,15,0
61,30,187,434,15,0
62,45,213,321,15,0
63,0,178,373,15,0
64,45,269,421,15,0
65,-15,174,660,15,0
66,15,233,346,15,0
67,-15,173,643,15,0
68,-30,191,660,15,0
69,0,0,720,15,0
70,30,0,653,15,0
71,-45,0,677,15,0
72,15,243,338,15,0
73,30,219,394,15,0
74,-30,2346,707,15,0
75,-45,180,588,15,0
76,-30,216,319,15,0
77,45,172,599,15,0
78,-15,159,690,15,0
79,15,207,467,15,0
80,45,279,696,15,0
81,-15,220,418,15,0
82,0,142,778,15,0
83,30,472,619,15,0
84,15,220,327,15,0
85,15,0,599,15,0
86,-45,144,587,15,0
87,30,213,400,15,0
88,45,193,705,15,0
89,30,228,318,15,0
90,-45,160,696,15,0
91,15,131,661,15,0
92,15,153,457,15,0
93,-45,247,756,15,0
94,-30,170,570,15,0
95,-15,0,771,15,0
96,30,209,462,15,0
97,45,165,779,15,0
98,30,235,304,15,0
99,15,0,577,15,0
100,45,191,643,15,0
101,0,193,638,15,0
102,15,249,344,15,0
103,45,222,551,15,0
104,0,216,780,15,0
105,15,276,797,15,0
106,-30,27400,445,15,0
107,-15,0,755,15,0
108,45,206,362,15,0
109,15,167,737,15,0
110,-30,345,431,15,0
111,45,219,339,15,0
112,-15,188,525,15,0
113,45,359,727,15,0
114,-45,254,321,15,0
115,45,192,584,15,0
116,30,226,629,15,0
117,30,193,305,15,0
118,-30,154,480,15,0
119,-15,211,324,15,0
120,-45,0,695,15,0
121,30,0,723,15,0
122,15,217,651,15,0
123,45,181,548,15,0
124,-30,0,685,15,0
125,0,134,776,15,0
126,-30,214,468,15,0
127,45,210,354,15,0
128,-15,212,324,15,0
129,45,0,630,15,0
130,-15,190,740,15,0
131,-30,173,665,15,0
132,-30,249,365,15,0
133,15,217,504,15,0
134,-15,215,358,15,0
135,0,304,316,15,0
136,-45,160,627,15,0
137,45,212,592,15,0
138,-15,246,384,15,0
139,15,173,687,15,0
140,0,165,734,15,0
141,-45,171,765,15,0
142,-45,191,328,15,0
143,-45,210,494,15,0
144,45,223,577,15,0
145,0,154,625,15,0
146,45,168,695,15,0
147,15,276,514,15,0
148,-15,189,528,15,0
149,0,186,482,15,0
150,-30,195,439,15,0
151,15,180,595,15,0
152,-45,165,706,15,0
153,-30,276,719,15,0
154,45,240,475,15,0
155,0,0,687,15,0
156,15,206,523,15,0
157,45,208,603,15,0
158,45,253,483,15,0
159,0,179,634,15,0
160,45,218,328,15,0
161,0,168,497,15,0
162,0,136,709,15,0
163,0,167,761,15,0
164,15,0,669,15,0
165,0,246,336,15,0
166,45,269,335,15,0
167,-45,168,639,15,0
168,15,215,476,15,0
169,-30,162,789,15,0
170,-15,241,498,15,0
171,15,0,759,15,0
172,0,156,558,15,0
173,-15,159,766,15,0
174,0,0,782,15,0
175,-15,216,725,15,0
176,-45,199,440,15,0
177,-30,6411,703,15,0
178,45,161,536,15,0
179,15,171,500,15,0
180,0,237,422,15,0
181,-30,171,583,15,0
182,30,225,369,15,0
183,0,257,308,15,0
184,15,156,570,15,0
185,15,0,702,15,0
186,-45,231,482,15,0
187,-45,208,388,15,0
188,30,169,627,15,0
189,45,208,326,15,0
190,-30,209,513,15,0
191,-45,210,460,15,0
192,15,141,635,15,0
193,45,172,616,15,0
194,-45,199,637,15,0
195,30,165,604,15,0
196,-15,251,716,15,0
197,-45,202,518,15,0
198,45,220,538,15,0
199,0,253,344,15,0
200,15,178,796,15,0
201,-45,140,664,15,0
202,30,213,512,15,0
203,15,176,751,15,0
204,30,195,558,15,0
205,45,0,697,15,0
206,-45,182,659,15,0
207,45,194,745,15,0
208,-45,213,441,15,0
209,-15,179,597,15,0
210,30,179,437,15,0
211,0,0,681,15,0
212,15,529,788,15,0
213,-45,415,672,15,0
214,-45,186,516,15,0
215,-45,234,409,15,0
216,-15,161,633,15,0
217,45,184,782,15,0
218,0,172,680,15,0
219,45,134,611,15,0
220,30,185,467,15,0
221,-45,0,643,15,0
222,30,0,794,15,0
223,45,238,471,15,0
224,30,231,758,15,0
225,-30,269,498,15,0
226,30,247,348,15,0
227,-45,213,569,15,0
228,45,244,616,15,0
229,-30,238,503,15,0
230,30,202,784,15,0
231,-45,257,433,15,0
232,-45,205,679,15,0
233,-15,419,407,15,0
234,-15,251,645,15,0
235,30,281,305,15,0
236,0,270,393,15,0
237,-15,208,362,15,0
238,-45,159,686,15,0
239,15,222,592,15,0
240,30,233,414,15,0
241,-45,0,514,15,0
242,-45,0,746,15,0
243,15,190,490,15,0
244,45,210,434,15,0
245,45,229,391,15,0
246,-15,330,386,15,0
247,30,199,539,15,0
248,45,122,667,15,0
249,15,210,585,15,0
250,-15,221,517,15,0
251,45,228,322,15,0
252,15,203,484,15,0
253,-15,188,591,15,0
254,-15,181,584,15,0
255,15,194,500,15,0
256,-30,187,332,15,0
257,30,159,406,15,0
258,45,0,747,15,0
259,15,112,718,15,0
260,-15,235,371,15,0
261,-30,206,448,15,0
262,-15,202,549,15,0
263,-30,346,490,15,0
264,-15,169,769,15,0
265,-30,198,598,15,0
266,30,0,624,15,0
267,45,156,797,15,0
268,15,233,553,15,0
269,45,206,657,15,0
270,-45,207,576,15,0
271,30,327,336,15,0
272,30,207,417,15,0
273,45,0,664,15,0
274,-45,164,745,15,0
275,45,189,601,15,0
276,30,208,383,15,0
277,30,297,564,15,0
278,-15,280,387,15,0
