trial, dist, RT, interstim, Colour
1, -30, 0, 661, 0
2, 0, 202, 616, 0
3, -30, 242, 332, 0
4, 0, 324, 505, 0
5, 0, 342, 642, 0
6, 45, 655, 402, 0
7, 45, 267, 508, 0
8, 0, 199, 641, 0
9, 15, 191, 726, 0
10, 15, 288, 560, 0
11, 45, 244, 657, 0
12, 0, 298, 440, 0
13, -30, 278, 325, 0
14, -45, 377, 322, 0
15, 30, 220, 493, 0
16, -30, 216, 364, 0
17, -45, 258, 301, 0
18, 45, 196, 773, 0
19, -30, 213, 434, 0
20, 30, 122, 445, 0
21, 0, 252, 551, 0
22, 15, 195, 682, 0
23, 15, 197, 525, 0
24, -30, 407, 315, 0
25, 15, 163, 763, 0
26, 30, 285, 325, 0
27, 0, 247, 560, 0
28, 15, 305, 780, 0
29, 30, 258, 495, 0
30, 15, 235, 594, 0
31, -45, 236, 707, 0
32, 45, 277, 754, 0
33, -45, 236, 543, 0
34, 30, 233, 798, 0
35, 45, 519, 402, 0
36, 0, 218, 449, 0
37, -45, 214, 557, 0
38, -30, 209, 310, 0
39, 15, 188, 441, 0
40, 15, 206, 512, 0
41, -30, 222, 771, 0
42, -45, 222, 446, 0
43, -15, 192, 683, 0
44, -45, 263, 710, 0
45, 30, 258, 729, 0
46, 15, 0, 366, 0
47, 15, 0, 646, 0
48, 15, 357, 666, 0
49, 30, 242, 487, 0
50, 0, 158, 772, 0
51, -15, 197, 519, 0
52, -15, 199, 307, 0
53, 45, 239, 320, 0
54, -30, 228, 322, 0
55, 45, 187, 561, 0
56, 15, 191, 553, 0
57, -15, 214, 522, 0
58, 30, 191, 494, 0
59, -30, 211, 491, 0
60, -45, 259, 359, 0
61, -15, 239, 459, 0
62, -45, 260, 664, 0
63, -30, 257, 643, 0
64, 15, 195, 528, 0
65, -15, 183, 770, 0
66, -30, 239, 360, 0
67, -15, 238, 475, 0
68, -30, 218, 362, 0
69, -45, 221, 444, 0
70, 45, 213, 425, 0
71, -45, 296, 797, 0
72, -15, 249, 686, 0
73, -45, 239, 531, 0
74, 0, 205, 556, 0
75, 30, 235, 572, 0
76, -45, 243, 389, 0
77, 45, 224, 527, 0
78, 45, 312, 355, 0
79, 30, 246, 765, 0
80, -45, 186, 791, 0
81, -15, 234, 515, 0
82, 30, 193, 555, 0
83, -15, 212, 492, 0
84, 30, 174, 751, 0
85, -15, 202, 484, 0
86, 0, 242, 478, 0
87, -15, 204, 732, 0
88, 45, 438, 678, 0
89, 15, 205, 657, 0
90, 15, 202, 514, 0
91, -30, 209, 379, 0
92, 45, 211, 778, 0
93, -30, 197, 707, 0
94, -45, 245, 452, 0
95, 30, 279, 306, 0
96, 45, 244, 630, 0
97, 0, 307, 517, 0
98, -30, 239, 704, 0
99, 0, 223, 440, 0
100, 45, 184, 426, 0
101, -15, 158, 567, 0
102, 45, 221, 611, 0
103, 0, 220, 360, 0
104, -15, 191, 506, 0
105, 30, 224, 791, 0
106, 15, 253, 354, 0
107, -15, 264, 659, 0
108, 0, 227, 465, 0
109, 0, 291, 499, 0
110, 45, 236, 330, 0
111, 30, 246, 579, 0
112, -30, 223, 715, 0
113, -15, 279, 477, 0
114, 15, 233, 734, 0
115, 15, 232, 408, 0
116, 0, 257, 506, 0
117, 30, 213, 601, 0
118, 0, 187, 509, 0
119, -30, 58, 688, 0
120, 30, 205, 423, 0
121, 45, 0, 711, 0
122, -15, 199, 714, 0
123, 30, 240, 525, 0
124, 30, 223, 312, 0
125, -45, 212, 515, 0
126, -45, 222, 328, 0
127, -15, 218, 333, 0
128, 0, 269, 771, 0
129, -45, 274, 584, 0
130, -30, 348, 374, 0
131, -30, 218, 786, 0
132, 45, 313, 412, 0
133, 45, 185, 553, 0
134, 45, 241, 797, 0
135, 45, 240, 792, 0
136, -15, 268, 448, 0
137, -15, 240, 688, 0
138, -30, 259, 784, 0
139, -15, 226, 594, 0
140, 0, 202, 735, 0
141, -45, 219, 351, 0
142, -15, 234, 325, 0
143, 0, 255, 356, 0
144, -45, 184, 757, 0
145, 15, 243, 420, 0
146, 0, 247, 475, 0
147, 15, 220, 755, 0
148, -45, 242, 597, 0
149, 45, 225, 501, 0
150, 15, 346, 689, 0
151, 15, 192, 619, 0
152, 45, 255, 698, 0
153, -30, 218, 556, 0
154, 30, 207, 531, 0
155, -45, 195, 513, 0
156, -15, 226, 661, 0
157, -45, 252, 491, 0
158, 30, 230, 559, 0
159, 30, 262, 669, 0
160, -30, 242, 695, 0
161, 15, 163, 481, 0
162, 15, 224, 302, 0
163, 0, 166, 720, 0
164, 0, 292, 424, 0
165, -15, 195, 369, 0
166, 45, 199, 687, 0
167, 15, 215, 396, 0
168, 15, 206, 413, 0
169, 15, 190, 592, 0
170, 0, 238, 366, 0
171, 30, 211, 373, 0
172, -15, 224, 782, 0
173, -15, 247, 613, 0
