Trial,Ecc,RT,IT,Brightness, Stim ID
1,30,561,301,15,1
2,-45,277,453,15,0
3,0,293,352,15,1
4,15,260,529,15,1
5,15,242,660,15,0
6,-30,226,731,15,0
7,30,304,577,15,1
8,-30,310,479,15,1
9,15,329,402,15,1
10,30,0,471,15,1
11,30,0,530,15,0
12,30,368,494,15,0
13,0,444,337,15,0
14,-30,440,336,15,1
15,0,379,359,15,1
16,-15,253,631,15,0
17,-45,468,602,15,0
18,-45,0,562,15,1
19,0,402,351,15,1
20,-15,363,769,15,1
21,-30,423,346,15,1
22,45,360,705,15,1
23,-15,405,412,15,1
24,0,347,415,15,1
25,-45,545,671,15,1
26,15,298,767,15,0
27,30,344,536,15,1
28,-45,444,357,15,1
29,-30,384,383,15,1
30,30,285,585,15,1
31,-45,281,443,15,0
32,-30,317,657,15,0
33,-15,301,734,15,1
34,0,275,544,15,0
35,30,324,484,15,1
36,0,296,703,15,1
37,-15,506,350,15,0
38,45,304,476,15,1
39,0,448,533,15,0
40,0,290,739,15,1
41,45,0,600,15,1
42,-45,354,443,15,0
43,-30,0,354,15,0
44,0,293,386,15,1
45,-15,375,424,15,1
46,30,371,366,15,1
47,-30,399,333,15,1
48,-30,297,752,15,0
49,0,304,743,15,0
50,15,331,347,15,0
51,-15,308,761,15,0
52,30,292,681,15,1
53,15,300,595,15,0
54,-30,401,433,15,1
55,30,412,675,15,0
56,0,298,789,15,0
57,0,344,345,15,0
58,0,309,718,15,1
59,45,591,635,15,0
60,-45,377,564,15,0
61,-30,299,717,15,0
62,-30,275,513,15,0
63,0,237,781,15,1
64,15,413,353,15,0
65,0,0,450,15,1
66,0,356,374,15,1
67,0,307,579,15,1
68,45,306,768,15,0
69,-45,422,437,15,1
70,-15,328,550,15,0
71,0,258,794,15,1
72,-45,323,349,15,0
73,15,307,706,15,1
74,15,311,499,15,0
75,-30,553,450,15,1
76,-30,313,525,15,1
77,-45,537,672,15,1
78,-45,446,462,15,1
79,-30,298,512,15,0
80,0,278,486,15,0
81,0,277,710,15,0
82,15,341,479,15,1
83,15,322,794,15,0
84,-15,343,302,15,0
85,15,325,470,15,0
86,-30,407,712,15,0
87,30,287,303,15,1
88,30,345,676,15,0
89,30,312,661,15,0
90,15,334,662,15,1
91,-30,411,344,15,0
92,30,291,715,15,0
93,-30,371,796,15,1
94,-45,384,522,15,1
95,-45,386,374,15,0
96,-30,517,722,15,1
97,45,319,652,15,1
98,0,438,304,15,0
99,45,327,680,15,0
100,-15,290,639,15,0
101,-15,320,503,15,0
102,30,357,778,15,1
103,45,338,510,15,0
104,-30,323,470,15,0
105,-30,303,536,15,0
106,-15,306,421,15,0
107,-15,330,796,15,1
108,15,406,629,15,0
109,45,297,587,15,0
110,-15,271,351,15,0
111,30,378,469,15,1
112,-15,545,513,15,1
113,-45,246,741,15,0
114,0,302,357,15,1
115,-15,300,496,15,0
116,-15,296,788,15,0
117,-45,372,431,15,0
118,45,314,378,15,0
119,0,342,383,15,1
120,-45,304,611,15,0
121,-30,301,760,15,0
122,-30,0,401,15,1
123,30,0,375,15,0
124,15,0,698,15,0
125,-45,602,597,15,1
126,30,0,626,15,1
127,45,0,406,15,0
128,45,500,653,15,1
129,45,669,625,15,1
130,-45,431,584,15,0
131,-30,321,557,15,0
132,30,409,474,15,1
133,30,546,577,15,0
134,0,448,617,15,1
135,15,311,330,15,0
136,30,361,469,15,0
137,45,401,479,15,0
138,45,298,338,15,1
139,45,311,519,15,1
140,45,369,466,15,1
141,-45,496,658,15,0
142,-45,313,543,15,0
143,0,279,692,15,0
144,30,293,644,15,1
145,45,352,440,15,0
146,-30,0,682,15,0
147,-15,480,511,15,1
148,45,351,600,15,0
149,0,462,639,15,1
150,45,417,484,15,1
151,0,486,427,15,0
152,-15,0,465,15,0
153,0,407,723,15,0
154,-30,309,747,15,0
155,30,401,554,15,0
156,30,357,661,15,1
157,-30,317,705,15,1
158,-30,345,757,15,1
159,30,437,390,15,1
160,0,437,351,15,1
161,-45,476,739,15,0
162,-30,407,702,15,1
163,-30,344,627,15,1
164,-15,0,300,15,1
165,30,324,601,15,1
166,45,357,529,15,1
167,-15,303,411,15,0
168,-30,306,580,15,0
169,45,348,321,15,0
170,45,340,445,15,1
171,-15,369,709,15,1
172,-15,320,425,15,0
173,0,0,428,15,0
174,0,329,780,15,0
175,-30,334,479,15,0
176,-30,328,441,15,0
177,45,387,312,15,1
178,15,330,307,15,0
179,45,386,514,15,1
180,-30,363,550,15,1
181,0,320,620,15,1
182,15,318,706,15,1
183,-15,408,796,15,1
184,-15,402,667,15,1
185,45,337,384,15,0
186,-15,383,318,15,1
187,-45,447,393,15,0
188,45,327,752,15,0
189,0,516,512,15,1
190,-30,0,524,15,1
191,30,475,445,15,1
192,30,440,631,15,0
193,30,372,721,15,1
194,45,362,675,15,0
195,15,0,369,15,0
196,-15,538,322,15,1
197,-45,0,627,15,1
198,-45,527,334,15,1
199,45,433,490,15,1
200,15,346,406,15,0
201,30,369,381,15,0
202,30,335,464,15,0
203,0,321,580,15,1
204,30,349,594,15,1
205,0,344,507,15,1
206,15,386,382,15,1
207,0,295,478,15,1
208,0,515,499,15,1
209,45,316,617,15,0
210,0,410,527,15,1
211,45,511,322,15,1
212,45,333,446,15,1
213,-30,479,445,15,1
214,30,330,613,15,0
215,30,494,688,15,1
216,0,354,447,15,0
217,-45,354,782,15,0
218,-30,309,699,15,1
