Trial,Ecc,RT,IT,Brightness,Stim ID
1,-15,0,476,15,1
2,15,360,786,15,0
3,15,459,658,15,1
4,15,624,373,15,1
5,45,371,520,15,1
6,45,427,395,15,1
7,-30,500,607,15,1
8,15,338,705,15,1
9,0,363,668,15,1
10,-15,536,422,15,0
11,30,298,574,15,0
12,30,313,522,15,1
13,-15,337,460,15,1
14,30,268,538,15,1
15,30,387,538,15,0
16,-15,284,462,15,0
17,15,299,423,15,0
18,-30,276,623,15,0
19,15,308,728,15,1
20,0,360,788,15,0
21,-15,323,515,15,1
22,-45,362,629,15,1
23,-45,331,308,15,1
24,15,268,446,15,1
25,-30,297,517,15,1
26,-30,288,353,15,1
27,45,363,368,15,1
28,-45,255,766,15,0
29,15,418,574,15,0
30,45,336,539,15,1
31,0,331,761,15,0
32,45,314,796,15,1
33,-30,411,664,15,0
34,0,313,674,15,0
35,30,269,730,15,1
36,45,340,595,15,1
37,45,316,642,15,1
38,15,526,458,15,0
39,45,321,556,15,0
40,-45,355,479,15,1
41,-30,0,306,15,1
42,-45,431,673,15,0
43,45,455,798,15,0
44,-45,475,760,15,1
45,0,403,386,15,0
46,15,450,421,15,1
47,-15,369,550,15,0
48,30,379,499,15,1
49,15,639,468,15,0
50,15,315,764,15,0
51,45,350,797,15,0
52,-15,310,421,15,0
53,30,281,379,15,0
54,30,331,643,15,0
55,-30,392,530,15,1
56,0,363,405,15,0
57,0,384,467,15,1
58,-15,470,334,15,1
59,-15,481,441,15,0
60,-45,459,451,15,1
61,-45,640,519,15,0
62,0,589,460,15,0
63,45,409,682,15,1
64,0,484,766,15,0
65,45,404,620,15,1
66,-30,496,460,15,0
67,30,412,437,15,0
68,-45,360,644,15,0
69,15,343,650,15,1
70,-15,0,464,15,1
71,-45,372,561,15,1
72,-45,376,453,15,0
73,-15,363,466,15,1
74,15,393,624,15,1
75,-30,351,708,15,1
76,-15,301,736,15,1
77,45,504,337,15,1
78,15,272,728,15,1
79,-45,494,770,15,0
80,45,455,744,15,0
81,-30,342,476,15,0
82,0,238,689,15,0
83,30,485,519,15,1
84,45,397,372,15,0
85,-30,422,377,15,1
86,-15,536,467,15,0
87,45,537,696,15,1
88,0,452,611,15,0
89,-15,376,593,15,0
90,0,344,427,15,1
91,30,427,741,15,0
92,-30,473,733,15,0
93,45,507,703,15,1
94,15,353,596,15,1
95,30,463,489,15,0
96,-30,383,307,15,0
97,-15,419,397,15,1
98,15,457,441,15,0
99,-30,399,473,15,0
100,0,398,337,15,1
101,-15,387,783,15,1
102,0,313,797,15,0
103,15,326,702,15,1
104,0,413,435,15,0
105,30,419,365,15,0
106,-30,315,751,15,0
107,15,250,447,15,0
108,15,290,727,15,1
109,30,373,728,15,0
110,-30,346,700,15,1
111,-45,320,671,15,1
112,30,403,789,15,0
113,15,342,431,15,0
114,30,440,707,15,1
115,45,413,617,15,0
116,-30,557,629,15,0
117,45,338,396,15,0
118,-30,353,337,15,1
119,-15,307,590,15,1
120,-45,0,653,15,0
121,-45,369,785,15,0
122,15,449,379,15,1
123,45,602,652,15,1
124,-45,0,667,15,1
125,0,641,646,15,1
126,-45,526,360,15,1
127,45,347,444,15,0
128,-30,306,796,15,0
129,15,309,449,15,1
130,0,350,678,15,0
131,30,399,733,15,0
132,-30,343,318,15,0
133,-30,320,601,15,1
134,-15,334,306,15,0
135,30,289,436,15,1
136,45,381,689,15,0
137,30,331,544,15,0
138,-30,343,378,15,1
139,30,499,566,15,1
140,-15,0,534,15,0
141,-45,316,764,15,0
142,30,332,722,15,0
143,0,398,468,15,1
144,0,452,574,15,0
145,30,477,437,15,0
146,-30,421,443,15,1
147,0,554,622,15,1
148,0,341,343,15,1
149,0,724,352,15,0
150,15,452,686,15,1
151,45,458,581,15,0
152,15,322,785,15,0
153,15,318,610,15,0
154,30,362,404,15,1
155,0,396,499,15,1
156,-30,483,678,15,0
157,0,350,539,15,1
158,-15,377,708,15,1
159,-15,292,494,15,1
160,45,288,469,15,1
161,-45,331,792,15,1
162,30,268,695,15,1
163,-30,370,350,15,1
164,-15,286,467,15,1
165,45,401,516,15,0
166,30,360,627,15,0
167,30,382,749,15,0
168,-15,344,528,15,0
169,30,336,393,15,0
170,15,252,641,15,1
171,30,494,378,15,0
172,15,299,509,15,0
173,15,451,548,15,1
174,30,811,548,15,0
175,-45,359,556,15,0
176,-15,288,538,15,0
177,-15,305,316,15,0
178,-45,356,727,15,1
179,45,619,375,15,0
180,15,609,411,15,0
181,30,349,342,15,0
182,15,272,704,15,0
183,-30,431,746,15,1
184,-30,588,543,15,0
185,-45,430,541,15,1
186,-15,408,775,15,1
187,45,407,570,15,1
188,-15,330,420,15,1
189,0,437,659,15,0
190,15,418,735,15,0
191,-15,374,795,15,0
192,-45,414,377,15,1
193,30,369,460,15,0
194,0,327,691,15,0
195,0,273,713,15,0
196,15,449,586,15,1
197,30,375,719,15,0
198,0,334,768,15,0
199,-15,308,754,15,1
200,-30,496,653,15,1
