Trial, Ecc, RT, IT, Brightness, Stim ID
1,-45,0,503,15,1
2,-30,2207,770,15,1
3,30,807,736,15,0
4,-15,0,661,15,1
5,30,746,536,15,1
6,15,448,718,15,0
7,45,435,552,15,0
8,-15,376,583,15,0
9,15,492,679,15,0
10,15,588,402,15,1
11,-15,526,583,15,0
12,-15,516,403,15,1
13,-45,545,454,15,0
14,30,449,577,15,1
15,45,588,327,15,0
16,15,0,348,15,0
17,45,434,474,15,1
18,0,491,449,15,1
19,30,370,734,15,0
20,-45,532,789,15,0
21,-30,609,502,15,0
22,45,466,604,15,0
23,15,594,675,15,0
24,0,457,500,15,1
25,30,561,369,15,0
26,0,518,753,15,1
27,-15,432,703,15,0
28,-30,588,335,15,0
29,-15,653,409,15,0
30,30,606,399,15,1
31,15,542,752,15,1
32,-15,648,338,15,0
33,45,482,592,15,1
34,15,470,410,15,1
35,-45,332,378,15,0
36,-45,495,367,15,1
37,-15,474,763,15,0
38,-45,543,712,15,1
39,-30,461,319,15,0
40,45,450,594,15,1
41,0,434,607,15,1
42,-45,388,713,15,0
43,30,370,683,15,1
44,-30,668,506,15,0
45,15,471,570,15,0
46,30,509,607,15,1
47,45,0,762,15,1
48,-15,664,676,15,0
49,-15,650,677,15,0
50,-45,661,517,15,1
51,-30,792,535,15,1
52,0,608,656,15,0
53,45,875,343,15,1
54,15,860,786,15,0
55,-30,1117,528,15,0
56,-15,0,384,15,0
57,-30,0,632,15,0
58,15,536,613,15,1
59,15,505,466,15,0
60,15,431,632,15,0
61,-45,451,562,15,1
62,0,450,378,15,1
63,-15,523,307,15,0
64,0,386,737,15,1
65,-30,570,336,15,1
66,-15,521,780,15,0
67,-30,510,455,15,1
68,45,580,608,15,1
69,15,500,513,15,1
70,0,372,617,15,0
71,-30,679,728,15,1
72,45,537,379,15,0
73,45,612,511,15,1
74,-15,584,749,15,1
75,-15,497,549,15,1
76,0,487,408,15,1
77,45,556,329,15,1
78,-45,540,533,15,1
79,-30,527,324,15,1
80,-45,516,658,15,1
81,-15,528,454,15,1
82,-15,598,512,15,0
83,-45,464,388,15,1
84,-15,600,491,15,0
85,-45,513,775,15,1
86,15,627,708,15,0
87,0,496,663,15,1
88,45,0,590,15,1
89,45,299,772,15,1
90,30,354,463,15,1
91,-45,455,317,15,1
92,-30,314,719,15,0
93,30,442,341,15,1
94,-15,0,363,15,0
95,-45,484,412,15,0
96,0,406,652,15,1
97,-15,431,683,15,0
98,0,233,792,15,1
99,-30,0,363,15,1
100,30,551,454,15,0
101,30,464,731,15,1
102,45,561,477,15,0
103,15,0,771,15,0
104,15,464,692,15,0
105,-15,509,414,15,1
106,15,736,667,15,0
107,-45,632,386,15,1
108,-45,0,487,15,0
109,-45,539,654,15,0
110,-15,735,769,15,0
111,15,341,664,15,1
112,-30,386,639,15,0
113,-30,0,773,15,1
114,30,542,687,15,0
115,30,755,655,15,0
116,-15,602,367,15,1
117,45,539,676,15,0
118,30,0,605,15,1
119,30,0,485,15,0
120,-45,0,656,15,1
121,-30,522,642,15,0
122,-30,572,722,15,0
123,15,436,505,15,0
124,-45,541,573,15,0
125,-45,574,742,15,0
126,-30,449,670,15,1
127,0,510,693,15,0
128,0,332,681,15,1
129,45,441,619,15,0
130,0,368,389,15,1
131,15,468,712,15,0
132,-45,670,510,15,0
133,45,637,304,15,1
134,-30,292,522,15,0
135,-45,615,667,15,1
136,-15,605,751,15,1
137,0,488,742,15,0
138,45,444,391,15,0
139,-45,511,516,15,0
140,-15,509,713,15,1
141,-45,628,389,15,0
142,45,548,778,15,0
143,-30,564,408,15,0
144,-45,0,778,15,1
145,45,481,717,15,0
146,45,619,346,15,1
147,-30,569,413,15,1
148,-30,500,608,15,1
149,30,543,527,15,1
150,15,374,695,15,0
151,15,517,590,15,1
152,-45,559,574,15,0
153,45,519,341,15,0
154,45,0,554,15,0
155,-30,782,402,15,1
156,-30,509,412,15,0
157,15,464,556,15,1
158,-30,547,695,15,1
159,15,592,656,15,0
160,-30,549,599,15,1
161,-45,0,540,15,1
162,-45,606,343,15,1
163,15,450,714,15,0
164,-15,1216,377,15,1
165,-45,1352,344,15,0
166,0,0,538,15,0
167,30,0,315,15,1
168,15,512,691,15,1
169,-30,494,452,15,0
170,-45,0,609,15,1
171,-30,0,791,15,0
172,-45,518,348,15,0
173,45,757,788,15,0
174,-15,503,702,15,1
175,-30,0,761,15,1
176,-30,0,642,15,0
177,0,0,336,15,1
178,0,504,565,15,1
179,-15,430,638,15,0
180,-15,443,673,15,1
181,15,0,715,15,0
182,0,479,575,15,1
183,0,332,762,15,1
184,-45,587,761,15,1
185,30,413,602,15,1
186,0,316,729,15,1
187,0,387,752,15,1
188,45,421,522,15,0
189,45,486,407,15,0
190,15,514,503,15,1
191,-30,470,434,15,0
192,45,467,514,15,0
193,-15,593,333,15,0
194,-15,0,619,15,1
195,45,0,661,15,1
196,45,0,506,15,1
197,-15,0,525,15,0
198,15,750,472,15,0
199,15,625,797,15,1
200,-30,0,536,15,0
201,45,460,770,15,0
202,45,566,328,15,0
203,45,755,785,15,0
204,-45,586,695,15,0
205,45,556,336,15,1
206,45,581,579,15,1
207,-15,0,758,15,1
208,-15,654,416,15,0
209,-45,0,335,15,0
210,-45,634,532,15,0
211,45,474,495,15,1
212,45,463,705,15,1
213,45,540,443,15,0
214,30,698,743,15,1
215,15,467,751,15,1
216,0,472,439,15,0
217,45,578,520,15,1
218,-15,498,783,15,0
219,45,612,787,15,1
220,-15,567,743,15,1
221,30,484,400,15,0
222,30,600,336,15,1
223,45,533,704,15,1
224,-30,530,465,15,1
225,-45,522,430,15,1
226,0,419,775,15,0
227,-30,444,549,15,0
228,-30,428,794,15,0
229,30,479,315,15,1
230,45,601,658,15,0
231,-15,439,356,15,1
232,-15,537,486,15,0
233,45,484,375,15,0
