Trial,Ecc,RT,IT,Brightness,Stim ID
1,0,324,599,15,0
2,-45,0,783,15,0
3,-45,289,321,15,1
4,30,463,544,15,0
5,15,254,431,15,1
6,45,303,597,15,0
7,15,253,455,15,1
8,45,0,522,15,0
9,15,0,478,15,1
10,45,484,540,15,1
11,-30,329,477,15,1
12,-15,273,732,15,1
13,-45,344,720,15,1
14,30,0,595,15,1
15,45,320,391,15,0
16,-45,278,414,15,1
17,-30,317,730,15,1
18,15,250,675,15,1
19,-45,0,468,15,0
20,0,377,602,15,0
21,-30,412,543,15,0
22,-45,0,453,15,0
23,-30,0,502,15,1
24,0,291,330,15,0
25,-30,256,473,15,1
26,15,344,634,15,0
27,-15,271,369,15,1
28,-45,244,379,15,1
29,45,245,357,15,1
30,30,269,771,15,0
31,0,290,634,15,1
32,45,267,476,15,0
33,15,248,376,15,1
34,0,300,325,15,0
35,-15,241,590,15,1
36,45,0,539,15,0
37,-15,240,790,15,1
38,30,310,740,15,0
39,45,456,600,15,1
40,-45,295,384,15,1
41,-15,238,593,15,1
42,45,287,673,15,0
43,30,486,525,15,0
44,15,285,619,15,0
45,45,388,778,15,1
46,30,0,478,15,1
47,0,414,551,15,1
48,-45,273,475,15,0
49,30,0,309,15,0
50,-45,421,677,15,1
51,-15,381,340,15,0
52,-30,284,706,15,0
53,-15,346,494,15,1
54,15,293,433,15,1
55,0,292,322,15,0
56,15,326,694,15,0
57,15,315,411,15,1
58,-30,0,470,15,0
59,-30,0,304,15,1
60,0,340,496,15,1
61,-15,305,372,15,1
62,45,393,648,15,1
63,15,672,402,15,1
64,15,232,469,15,1
65,45,318,417,15,0
66,15,299,321,15,0
67,45,342,703,15,0
68,45,297,575,15,0
69,0,264,361,15,0
70,-45,0,336,15,0
71,30,290,360,15,0
72,-15,218,319,15,0
73,-30,362,401,15,1
74,45,376,749,15,1
75,-45,321,498,15,1
76,30,238,642,15,0
77,-15,297,515,15,1
78,45,0,538,15,1
79,-30,313,700,15,1
80,30,362,314,15,0
81,15,351,466,15,0
82,45,286,446,15,0
83,-15,301,700,15,1
84,-15,0,760,15,0
85,-30,316,665,15,0
86,45,0,363,15,0
87,-45,530,796,15,0
88,0,304,409,15,1
89,0,329,550,15,1
90,-15,386,361,15,0
91,-30,379,724,15,0
92,-15,561,711,15,0
93,15,309,751,15,1
94,15,437,534,15,1
95,-45,389,689,15,1
96,45,406,439,15,0
97,15,308,768,15,1
98,0,292,669,15,0
99,30,0,497,15,1
100,45,478,324,15,1
101,30,615,775,15,1
102,30,295,579,15,1
103,-15,307,749,15,1
104,15,235,395,15,1
105,-45,273,658,15,0
106,-45,335,675,15,0
107,15,411,559,15,0
108,-30,274,771,15,1
109,45,519,373,15,1
110,-15,409,433,15,0
111,-45,249,627,15,0
112,-15,278,740,15,1
113,45,283,709,15,1
114,-45,258,527,15,1
115,45,319,337,15,0
116,0,0,709,15,1
117,-45,427,333,15,1
118,-30,306,504,15,0
119,-30,314,428,15,1
120,45,293,566,15,1
121,-30,229,525,15,0
122,-45,368,580,15,0
123,30,235,392,15,1
124,-30,267,676,15,1
125,45,298,305,15,1
126,-15,265,582,15,1
127,0,307,766,15,0
128,-15,0,772,15,0
129,45,360,484,15,0
130,30,322,779,15,0
131,15,368,402,15,0
132,15,348,438,15,0
133,30,284,350,15,0
134,15,271,712,15,0
135,-30,263,346,15,0
136,-30,367,687,15,1
137,-15,336,569,15,0
138,30,0,638,15,0
139,30,283,522,15,0
140,0,429,366,15,1
141,-45,393,427,15,0
142,-45,308,308,15,0
143,45,325,476,15,1
144,-15,294,363,15,0
145,45,265,663,15,1
146,0,0,518,15,0
147,-15,384,756,15,1
148,0,342,592,15,0
149,-15,337,604,15,0
150,-30,355,773,15,1
151,-30,0,411,15,0
152,15,303,356,15,0
153,45,362,605,15,1
154,15,415,793,15,1
155,-30,393,353,15,0
156,-30,402,557,15,1
157,30,333,707,15,0
158,-30,368,466,15,0
159,45,346,624,15,0
160,30,287,603,15,1
161,-30,244,791,15,0
162,-30,282,561,15,0
163,15,299,540,15,0
164,-15,345,723,15,0
165,-15,320,711,15,1
166,0,244,667,15,0
167,-45,267,507,15,0
168,30,0,469,15,1
169,15,326,690,15,1
170,45,314,634,15,0
171,0,237,627,15,0
172,0,0,649,15,1
173,-45,541,421,15,1
174,15,254,711,15,0
175,-45,0,550,15,0
176,-15,260,593,15,1
177,0,308,788,15,0
178,45,0,402,15,1
179,-15,312,537,15,0
180,-30,305,780,15,0
181,-30,304,525,15,1
182,30,326,337,15,0
183,-30,281,330,15,1
184,15,304,426,15,0
185,-45,263,313,15,0
186,-15,172,407,15,1
187,15,0,387,15,1
188,-45,0,482,15,0
189,-45,290,617,15,0
190,45,249,398,15,1
191,-15,338,309,15,1
