Trial, Ecc, RT, IT, Brightness, Stim ID
1, 0, 694, 670, 15, 1
2, -15, 338, 444, 15, 1
3, 45, 277, 547, 15, 0
4, -45, 354, 689, 15, 0
5, 0, 337, 540, 15, 1
6, 45, 442, 631, 15, 1
7, 45, 0, 621, 15, 1
8, -30, 334, 783, 15, 1
9, 45, 331, 538, 15, 1
10, 30, 348, 384, 15, 1
11, -30, 431, 739, 15, 1
12, 15, 502, 477, 15, 0
13, -15, 417, 617, 15, 0
14, -45, 401, 507, 15, 0
15, -45, 439, 418, 15, 1
16, 0, 273, 487, 15, 0
17, 30, 407, 523, 15, 0
18, -30, 334, 365, 15, 0
19, -45, 728, 571, 15, 1
20, -15, 293, 564, 15, 0
21, 15, 0, 430, 15, 1
22, 45, 0, 530, 15, 0
23, 30, 0, 347, 15, 0
24, 30, 0, 420, 15, 1
25, -45, 0, 539, 15, 1
26, -45, 529, 610, 15, 0
27, 45, 0, 686, 15, 1
28, -30, 478, 343, 15, 0
29, 45, 340, 585, 15, 1
30, -15, 451, 781, 15, 0
31, 30, 274, 415, 15, 1
32, -15, 376, 550, 15, 0
33, 15, 386, 664, 15, 0
34, 0, 366, 350, 15, 1
35, -15, 392, 711, 15, 1
36, 0, 273, 682, 15, 1
37, -15, 300, 647, 15, 1
38, -15, 331, 528, 15, 1
39, -30, 349, 518, 15, 1
40, -15, 494, 601, 15, 1
41, -15, 293, 461, 15, 1
42, 15, 261, 737, 15, 1
43, 15, 0, 682, 15, 0
44, -45, 328, 610, 15, 1
45, 30, 347, 453, 15, 0
46, 0, 363, 684, 15, 0
47, 30, 359, 630, 15, 1
48, -45, 487, 533, 15, 0
49, 30, 335, 619, 15, 0
50, -30, 290, 733, 15, 0
51, 30, 327, 390, 15, 1
52, -30, 396, 683, 15, 0
53, -15, 446, 793, 15, 0
54, -45, 375, 597, 15, 1
55, -15, 415, 757, 15, 1
56, 30, 330, 597, 15, 0
57, 15, 528, 324, 15, 1
58, -45, 449, 479, 15, 0
59, 0, 359, 577, 15, 1
60, -45, 462, 405, 15, 0
61, -45, 563, 629, 15, 1
62, 0, 712, 783, 15, 0
63, 15, 388, 794, 15, 0
64, -45, 371, 756, 15, 1
65, 0, 427, 488, 15, 1
66, 0, 288, 457, 15, 1
67, 45, 389, 730, 15, 0
68, 45, 289, 561, 15, 1
69, 30, 421, 717, 15, 0
70, 0, 390, 460, 15, 1
71, 0, 0, 338, 15, 0
72, -30, 607, 447, 15, 1
73, -45, 0, 364, 15, 0
74, -15, 438, 521, 15, 1
75, 15, 245, 467, 15, 0
76, 15, 0, 390, 15, 1
77, 0, 430, 353, 15, 1
78, 30, 292, 392, 15, 1
79, 15, 397, 302, 15, 0
80, -30, 326, 696, 15, 1
81, 15, 377, 533, 15, 1
82, 45, 374, 750, 15, 0
83, 30, 403, 337, 15, 0
84, 15, 0, 466, 15, 0
85, 15, 467, 481, 15, 0
86, 30, 490, 753, 15, 1
87, -15, 287, 662, 15, 0
88, 30, 354, 717, 15, 1
89, -45, 0, 679, 15, 1
90, 0, 373, 611, 15, 1
91, 15, 269, 440, 15, 1
92, 0, 226, 590, 15, 0
93, 15, 343, 734, 15, 1
94, -45, 306, 395, 15, 0
95, 30, 0, 474, 15, 0
96, 15, 363, 618, 15, 1
97, 30, 316, 618, 15, 1
98, 45, 582, 782, 15, 1
99, 30, 359, 605, 15, 1
100, 45, 434, 600, 15, 1
101, 30, 326, 635, 15, 0
102, -15, 372, 787, 15, 1
103, 0, 416, 329, 15, 0
104, -45, 429, 424, 15, 1
105, -30, 0, 301, 15, 1
106, -15, 284, 524, 15, 0
107, -30, 303, 674, 15, 1
108, 0, 273, 454, 15, 1
109, 30, 344, 415, 15, 1
110, 30, 324, 643, 15, 0
111, 30, 320, 708, 15, 1
112, 30, 294, 539, 15, 1
113, -30, 594, 682, 15, 1
114, 0, 265, 782, 15, 1
115, -45, 424, 480, 15, 1
116, -45, 369, 491, 15, 1
117, -30, 0, 393, 15, 0
118, -30, 294, 703, 15, 0
119, -45, 423, 552, 15, 0
120, 15, 376, 570, 15, 0
121, -30, 298, 797, 15, 0
122, -15, 294, 769, 15, 0
123, -15, 312, 547, 15, 1
124, -15, 360, 668, 15, 0
125, -15, 277, 735, 15, 1
126, 0, 360, 507, 15, 1
127, 45, 599, 654, 15, 0
128, 15, 390, 635, 15, 1
129, 45, 291, 510, 15, 1
130, -30, 457, 326, 15, 0
131, 45, 420, 643, 15, 0
132, -15, 387, 666, 15, 0
133, 0, 401, 631, 15, 1
134, 45, 300, 704, 15, 1
135, 0, 376, 700, 15, 0
136, 45, 695, 432, 15, 0
137, 30, 382, 393, 15, 1
138, -45, 413, 736, 15, 0
139, 0, 336, 430, 15, 0
140, 45, 279, 355, 15, 1
141, 0, 330, 400, 15, 1
142, -30, 303, 599, 15, 1
143, 15, 320, 781, 15, 1
144, 15, 440, 338, 15, 1
145, 45, 412, 469, 15, 0
146, 0, 0, 640, 15, 0
147, 30, 312, 362, 15, 0
148, 30, 326, 436, 15, 1
149, -30, 367, 522, 15, 1
150, 0, 274, 431, 15, 1
151, -15, 232, 597, 15, 0
152, 45, 592, 453, 15, 1
153, -15, 395, 747, 15, 1
154, 15, 337, 689, 15, 0
155, -45, 344, 700, 15, 0
156, -30, 240, 675, 15, 0
157, 0, 318, 631, 15, 0
158, 15, 329, 342, 15, 0
159, 30, 290, 435, 15, 1
160, 0, 288, 423, 15, 0
161, -30, 356, 440, 15, 0
162, 30, 276, 486, 15, 1
163, -30, 0, 706, 15, 1
164, 15, 450, 595, 15, 1
165, 15, 343, 575, 15, 0
166, 0, 414, 712, 15, 0
167, -45, 460, 670, 15, 0
168, 0, 346, 516, 15, 1
169, 45, 307, 531, 15, 1
170, -45, 377, 695, 15, 1
171, -45, 470, 583, 15, 0
172, 15, 439, 462, 15, 1
173, 45, 375, 619, 15, 1
174, 30, 381, 636, 15, 0
175, 15, 341, 568, 15, 1
176, -30, 367, 650, 15, 0
177, -15, 492, 316, 15, 0
178, 15, 363, 350, 15, 1
179, 45, 406, 445, 15, 0
180, -30, 313, 510, 15, 1
181, 45, 366, 346, 15, 1
182, 45, 351, 393, 15, 0
183, 30, 438, 636, 15, 1
184, -15, 398, 670, 15, 0
185, -15, 558, 587, 15, 0
186, -15, 246, 604, 15, 0
187, -15, 325, 632, 15, 0
188, 45, 397, 796, 15, 0
189, 0, 449, 359, 15, 0
190, 30, 344, 798, 15, 0
191, 45, 431, 627, 15, 0
192, 30, 318, 748, 15, 0
193, 0, 336, 775, 15, 1
194, 15, 402, 793, 15, 0
195, 30, 310, 572, 15, 1
196, 15, 0, 512, 15, 1
197, -30, 360, 750, 15, 0
198, 45, 326, 676, 15, 0
199, -15, 359, 764, 15, 1
200, 30, 348, 725, 15, 1
