Trial,Ecc,RT,IT,Brightness,Stim ID
1,-30,317,355,15,0
2,-30,304,421,15,1
3,45,232,361,15,0
4,-45,305,458,15,0
5,-30,272,339,15,0
6,0,262,524,15,1
7,-45,0,467,15,1
8,15,299,735,15,0
9,-45,335,424,15,0
10,0,287,784,15,0
11,30,353,401,15,1
12,45,405,756,15,0
13,30,323,325,15,0
14,-45,362,414,15,0
15,45,309,584,15,0
16,30,326,403,15,1
17,15,407,557,15,0
18,30,285,567,15,0
19,45,293,363,15,1
20,15,295,771,15,1
21,30,292,320,15,1
22,30,318,508,15,1
23,-15,306,646,15,1
24,-45,374,523,15,1
25,-15,296,728,15,0
26,-45,251,567,15,0
27,15,288,706,15,1
28,-15,323,495,15,0
29,30,300,553,15,1
30,0,0,452,15,0
31,-15,323,425,15,1
32,-45,293,741,15,0
33,45,293,590,15,0
34,30,250,663,15,1
35,-30,257,427,15,1
36,45,310,394,15,1
37,-45,352,445,15,1
38,15,289,484,15,0
39,-45,280,559,15,0
40,-30,399,616,15,1
41,-15,279,349,15,1
42,-45,305,523,15,1
43,30,328,771,15,0
44,15,313,525,15,1
45,30,0,792,15,1
46,-30,334,738,15,1
47,-15,268,757,15,1
48,-15,275,459,15,1
49,45,312,514,15,1
50,15,286,353,15,0
51,-45,248,737,15,1
52,45,242,651,15,0
53,-45,269,523,15,1
54,-45,328,719,15,1
55,30,276,671,15,0
56,-45,256,747,15,1
57,45,286,675,15,1
58,45,199,629,15,1
59,0,270,685,15,0
60,-45,569,632,15,1
61,-15,224,656,15,1
62,-15,223,555,15,1
63,-30,331,384,15,0
64,15,242,442,15,0
65,-45,345,382,15,0
66,30,281,514,15,1
67,-15,175,615,15,1
68,30,274,343,15,0
69,-30,0,310,15,1
70,15,0,356,15,0
71,45,356,775,15,1
72,30,375,348,15,0
73,45,320,796,15,1
74,-30,279,543,15,1
75,-15,249,632,15,1
76,0,347,369,15,1
77,-15,0,656,15,0
78,45,431,572,15,0
79,-15,236,767,15,1
80,30,350,461,15,0
81,30,401,313,15,1
82,-15,243,772,15,1
83,-30,291,532,15,1
84,-30,294,687,15,0
85,0,284,766,15,1
86,15,313,341,15,1
87,30,309,737,15,1
88,0,333,781,15,1
89,-45,315,519,15,0
90,-30,284,381,15,0
91,30,327,496,15,0
92,30,309,334,15,0
93,-45,304,719,15,0
94,15,276,556,15,0
95,0,223,720,15,1
96,45,324,412,15,0
97,45,312,577,15,1
98,-45,362,506,15,0
99,45,608,460,15,1
100,45,406,373,15,0
101,-15,0,307,15,0
102,-15,305,433,15,0
103,0,247,796,15,1
104,0,0,396,15,1
105,15,0,411,15,0
106,30,332,758,15,0
107,-30,351,751,15,1
108,30,395,464,15,0
109,30,302,397,15,0
110,-45,227,747,15,1
111,-15,413,467,15,0
112,0,236,799,15,1
113,0,0,663,15,1
114,0,275,431,15,0
115,-15,335,386,15,0
116,30,382,602,15,1
117,-45,383,376,15,1
118,-15,313,483,15,1
119,30,310,590,15,1
120,0,261,450,15,1
121,-15,250,401,15,1
122,45,271,597,15,0
123,0,239,696,15,1
124,15,311,619,15,1
125,-45,295,514,15,0
126,45,323,409,15,1
127,15,300,396,15,0
128,-30,193,704,15,1
129,45,0,436,15,0
130,30,309,632,15,1
131,-15,382,450,15,0
132,0,230,746,15,1
133,-15,317,472,15,0
134,45,351,344,15,0
135,45,294,405,15,0
136,30,444,641,15,1
137,15,303,650,15,1
138,30,252,776,15,1
139,-15,317,330,15,1
140,15,307,439,15,0
141,30,300,714,15,0
142,0,304,432,15,0
143,-30,342,782,15,1
144,0,307,525,15,1
145,30,0,685,15,1
146,15,0,310,15,1
147,-30,291,461,15,0
148,15,328,552,15,0
149,-15,247,456,15,1
150,30,289,479,15,1
151,30,295,663,15,1
152,45,429,589,15,0
153,0,277,515,15,0
154,-45,0,642,15,0
155,-15,425,367,15,0
156,0,293,547,15,1
157,-15,272,736,15,0
158,0,0,752,15,0
159,15,0,729,15,1
160,-30,307,695,15,0
161,15,296,420,15,1
162,0,305,622,15,1
163,0,315,410,15,1
164,0,272,540,15,1
165,0,0,585,15,0
166,30,368,344,15,1
167,-15,268,435,15,0
168,0,243,795,15,0
169,15,337,534,15,0
170,-45,405,699,15,1
171,30,327,355,15,1
172,0,279,328,15,1
173,0,0,358,15,0
174,-30,351,362,15,0
175,-15,299,323,15,1
176,15,294,443,15,1
177,30,290,391,15,1
178,-15,367,446,15,0
179,-30,268,621,15,1
180,-15,298,525,15,1
181,15,321,729,15,0
182,-30,353,787,15,0
183,45,431,720,15,1
184,-45,350,388,15,0
185,-15,284,666,15,1
186,30,259,486,15,0
187,-30,306,498,15,0
188,-15,275,479,15,1
189,45,388,784,15,0
190,45,294,701,15,0
191,45,0,434,15,1
192,30,320,437,15,0
193,15,329,362,15,1
194,0,295,363,15,0
195,0,344,790,15,1
196,45,337,469,15,1
197,15,0,546,15,0
198,15,346,653,15,0
199,45,287,528,15,1
200,0,363,315,15,1
201,-45,325,603,15,0
202,-30,265,622,15,1
203,30,414,302,15,1
204,-45,256,581,15,0
205,45,315,340,15,1
206,-30,287,719,15,0
207,15,273,622,15,0
208,15,0,633,15,0
209,45,346,378,15,1
210,45,319,450,15,1
211,-45,347,332,15,0
212,30,345,351,15,1
213,45,362,665,15,0
214,45,349,602,15,0
215,30,675,745,15,1
216,-30,316,411,15,0
217,15,241,734,15,0
218,45,333,793,15,0
219,45,294,680,15,0
220,-30,479,334,15,0
221,45,272,759,15,1
