Trial, Ecc, RT, IT, Brightness, Stim ID
1,15,269,372,15,1
2,0,278,761,15,0
3,-15,269,578,15,1
4,45,279,674,15,1
5,15,311,769,15,1
6,-15,271,765,15,1
7,-45,277,743,15,1
8,-15,326,387,15,0
9,-45,302,315,15,0
10,15,242,462,15,1
11,30,322,792,15,1
12,-45,420,386,15,1
13,45,267,734,15,0
14,15,0,748,15,1
15,0,437,386,15,0
16,15,292,704,15,0
17,15,254,395,15,1
18,15,287,605,15,0
19,0,318,454,15,0
20,-45,242,731,15,1
21,15,466,586,15,0
22,45,306,782,15,1
23,-45,281,757,15,1
24,30,260,505,15,0
25,45,328,737,15,1
26,45,275,743,15,1
27,-15,333,353,15,1
28,-30,286,321,15,0
29,-30,298,611,15,1
30,-15,432,595,15,1
31,-15,297,724,15,1
32,0,273,731,15,1
33,-15,307,375,15,0
34,15,289,716,15,1
35,30,320,605,15,0
36,-45,280,346,15,1
37,-15,288,707,15,0
38,0,305,764,15,0
39,45,308,451,15,1
40,30,292,456,15,1
41,45,358,468,15,1
42,30,270,360,15,1
43,-45,322,511,15,1
44,30,234,377,15,0
45,-30,285,599,15,0
46,0,234,425,15,0
47,0,294,412,15,1
48,-30,349,310,15,0
49,15,327,553,15,0
50,30,415,403,15,1
51,30,395,311,15,1
52,30,346,511,15,1
53,30,286,394,15,0
54,0,319,450,15,0
55,30,261,610,15,1
56,15,283,545,15,0
57,0,0,611,15,1
58,-30,383,374,15,0
59,-30,384,408,15,0
60,15,371,473,15,0
61,45,321,474,15,0
62,30,300,648,15,1
63,0,276,673,15,1
64,-45,284,640,15,0
65,-30,327,521,15,1
66,0,465,363,15,0
67,15,320,753,15,0
68,45,308,754,15,1
69,-15,304,793,15,0
70,30,378,527,15,1
71,-30,319,772,15,0
72,45,257,624,15,1
73,0,328,669,15,1
74,-30,340,771,15,1
75,30,302,419,15,0
76,45,464,773,15,0
77,-15,346,363,15,0
78,45,333,316,15,1
79,15,321,614,15,1
80,30,353,368,15,1
81,0,327,777,15,1
82,15,0,783,15,1
83,-45,448,431,15,1
84,15,318,508,15,0
85,-45,340,786,15,0
86,-45,320,749,15,1
87,45,301,669,15,0
88,45,363,484,15,0
89,-15,460,790,15,0
90,15,286,412,15,1
91,0,246,413,15,0
92,30,347,594,15,0
93,-30,285,779,15,1
94,0,287,383,15,0
95,30,269,659,15,0
96,30,318,548,15,1
97,-45,330,502,15,0
98,45,283,770,15,1
99,45,385,788,15,0
100,-15,336,415,15,0
101,-30,294,363,15,1
102,0,440,486,15,0
103,-45,284,737,15,1
104,15,501,646,15,0
105,0,248,679,15,0
106,15,330,770,15,0
107,45,0,764,15,0
108,45,313,312,15,1
109,30,314,629,15,1
110,30,318,708,15,0
111,0,433,550,15,1
112,30,347,312,15,1
113,0,328,714,15,0
114,30,341,612,15,1
115,0,273,639,15,1
116,45,263,570,15,0
117,-45,510,491,15,0
118,45,305,577,15,1
119,-15,332,654,15,1
120,30,381,468,15,1
121,-15,287,532,15,0
122,-15,318,590,15,1
123,-30,318,677,15,1
124,30,271,690,15,0
125,0,281,527,15,1
126,45,270,551,15,0
127,0,313,794,15,0
128,-30,0,663,15,0
129,45,431,651,15,0
130,0,326,631,15,1
131,0,229,798,15,0
132,0,318,702,15,1
133,15,260,358,15,0
134,30,458,609,15,0
135,45,324,684,15,1
136,0,295,714,15,1
137,0,399,303,15,1
138,-45,350,789,15,1
139,15,347,427,15,1
140,-15,327,455,15,1
141,-15,293,484,15,1
142,-30,452,481,15,1
143,-30,306,497,15,1
144,-45,277,472,15,1
145,45,291,746,15,0
146,-30,377,304,15,1
147,30,364,617,15,0
148,-45,353,444,15,0
149,0,282,410,15,1
150,-30,285,642,15,1
151,15,253,760,15,0
152,15,319,709,15,1
153,45,358,365,15,1
154,-15,321,496,15,1
155,0,363,548,15,1
156,30,330,426,15,1
157,45,302,482,15,1
158,15,262,780,15,1
159,15,272,701,15,0
160,-30,383,524,15,1
161,-30,289,388,15,1
162,30,257,627,15,0
163,15,312,793,15,0
164,15,361,672,15,0
165,-45,334,318,15,1
166,45,302,574,15,1
167,-15,320,574,15,0
168,45,437,627,15,0
169,-15,320,662,15,0
170,-30,349,359,15,0
171,-45,301,665,15,1
172,0,0,385,15,1
173,-15,291,479,15,0
174,30,264,705,15,1
175,30,281,497,15,1
176,-45,307,498,15,0
177,30,367,340,15,1
178,-15,313,755,15,0
179,0,253,422,15,1
180,-30,297,633,15,1
181,-30,326,441,15,1
182,30,366,409,15,1
183,45,365,602,15,1
184,-45,271,764,15,1
185,-30,290,658,15,1
186,0,274,515,15,0
187,30,264,491,15,0
188,30,292,566,15,0
189,45,362,401,15,1
190,-30,342,424,15,0
191,-15,316,616,15,0
192,45,274,631,15,0
193,-30,0,740,15,0
194,-30,325,737,15,1
195,-30,345,364,15,1
196,-30,346,549,15,0
197,0,355,795,15,1
198,0,311,461,15,1
199,-45,358,571,15,1
200,-15,318,502,15,0
201,-15,343,313,15,0
202,30,282,543,15,1
203,-30,516,535,15,1
204,-30,326,599,15,1
205,-45,309,435,15,1
206,-45,478,329,15,0
207,15,497,544,15,1
