Trial, Ecc, RT, IT, Brightness, Stim ID
1,-30,3007,547,15,1
2,45,310,447,15,0
3,0,297,531,15,0
4,45,273,518,15,1
5,45,325,629,15,1
6,-45,248,782,15,0
7,0,368,773,15,0
8,45,375,466,15,0
9,45,266,728,15,1
10,-45,321,413,15,0
11,30,362,336,15,0
12,-45,311,414,15,1
13,30,0,357,15,0
14,-45,363,450,15,1
15,30,371,565,15,1
16,30,264,535,15,1
17,-30,334,716,15,1
18,30,266,666,15,1
19,0,355,331,15,0
20,-15,289,397,15,0
21,30,250,402,15,0
22,45,0,706,15,0
23,15,262,653,15,1
24,-45,289,536,15,0
25,-45,295,583,15,0
26,0,295,329,15,1
27,0,253,685,15,1
28,-30,336,730,15,0
29,15,391,302,15,0
30,0,270,549,15,0
31,45,0,542,15,0
32,-15,426,370,15,0
33,-30,301,305,15,1
34,0,251,346,15,1
35,30,319,351,15,1
36,0,291,738,15,0
37,-45,307,499,15,1
38,-30,342,746,15,0
39,-15,291,474,15,1
40,0,313,696,15,0
41,-30,302,674,15,1
42,30,307,590,15,0
43,30,294,455,15,0
44,0,334,751,15,1
45,-15,360,561,15,1
46,-30,288,480,15,0
47,15,0,482,15,0
48,30,335,557,15,1
49,15,313,425,15,1
50,15,400,320,15,1
51,-15,281,347,15,0
52,-15,0,751,15,1
53,30,416,678,15,0
54,-45,0,660,15,0
55,-30,279,612,15,1
56,15,269,661,15,1
57,15,290,380,15,1
58,-30,339,490,15,0
59,15,318,361,15,0
60,30,0,507,15,0
61,30,325,776,15,0
62,-45,0,595,15,1
63,45,353,574,15,0
64,45,350,406,15,1
65,0,286,691,15,1
66,-30,324,596,15,1
67,30,355,611,15,0
68,45,290,630,15,1
69,45,312,506,15,1
70,30,271,441,15,1
71,30,315,539,15,0
72,45,290,581,15,0
73,-30,0,429,15,1
74,-45,279,749,15,1
75,30,311,530,15,1
76,-45,488,484,15,0
77,-45,416,528,15,0
78,0,416,582,15,0
79,0,317,372,15,1
80,-15,0,626,15,1
81,-30,354,543,15,1
82,0,299,493,15,1
83,-45,294,656,15,0
84,-30,283,578,15,0
85,15,339,693,15,1
86,-30,310,504,15,1
87,-45,273,709,15,1
88,30,393,419,15,0
89,45,371,722,15,0
90,0,239,677,15,0
91,-30,309,457,15,0
92,-30,381,465,15,0
93,30,305,539,15,1
