Trial, Ecc, RT, IT, Brightness, Stim ID
1, -45, 0, 618, 15, 0
2, -30, 323, 755, 15, 1
3, -15, 246, 757, 15, 0
4, -30, 274, 663, 15, 0
5, 45, 274, 738, 15, 1
6, -45, 374, 316, 15, 0
7, 45, 0, 439, 15, 0
8, -45, 0, 374, 15, 1
9, -30, 309, 788, 15, 0
10, 45, 329, 404, 15, 0
11, 15, 339, 598, 15, 0
12, -30, 315, 659, 15, 0
13, -30, 290, 754, 15, 0
14, 0, 319, 362, 15, 1
15, 45, 262, 592, 15, 1
16, -45, 282, 461, 15, 0
17, 15, 314, 509, 15, 0
18, 0, 301, 356, 15, 0
19, 0, 307, 434, 15, 1
20, -45, 319, 359, 15, 0
21, -30, 316, 642, 15, 1
22, 30, 316, 783, 15, 0
23, -15, 350, 645, 15, 0
24, -15, 295, 773, 15, 1
25, 45, 0, 649, 15, 0
26, 45, 337, 305, 15, 0
27, -45, 361, 502, 15, 1
28, -15, 399, 694, 15, 1
29, 30, 349, 530, 15, 1
30, -45, 372, 559, 15, 0
31, -30, 357, 323, 15, 1
32, 15, 302, 591, 15, 0
33, -15, 379, 446, 15, 0
34, 15, 277, 371, 15, 1
35, 45, 301, 325, 15, 1
36, 45, 287, 381, 15, 0
37, -45, 314, 503, 15, 1
38, 30, 326, 681, 15, 1
39, 30, 275, 539, 15, 1
40, 30, 286, 413, 15, 0
41, -30, 216, 542, 15, 1
42, 0, 258, 654, 15, 1
43, 30, 240, 612, 15, 1
44, 45, 0, 742, 15, 1
45, -30, 321, 736, 15, 0
46, 45, 329, 539, 15, 1
47, 30, 0, 561, 15, 0
48, 45, 0, 615, 15, 1
49, 30, 369, 735, 15, 1
50, 30, 337, 729, 15, 0
51, 30, 322, 397, 15, 1
52, -15, 0, 728, 15, 1
53, 45, 340, 477, 15, 0
54, 0, 330, 324, 15, 0
55, -45, 367, 547, 15, 0
56, 30, 324, 417, 15, 1
57, 15, 341, 646, 15, 1
58, 45, 314, 499, 15, 0
59, 45, 333, 634, 15, 0
60, 0, 363, 416, 15, 0
61, 0, 289, 680, 15, 0
62, 30, 330, 730, 15, 0
63, 45, 375, 466, 15, 1
64, -15, 305, 693, 15, 1
65, -30, 359, 762, 15, 0
