Trial,Eccentricity,RT,IT,Brightness,Stim ID
1,-45,349,653,15,1
2,-30,272,751,15,0
3,0,274,477,15,0
4,-30,294,473,15,1
5,-45,238,610,15,1
6,-45,239,537,15,1
7,45,358,345,15,1
8,-15,278,631,15,1
9,-45,287,500,15,1
10,15,486,353,15,0
11,-15,278,348,15,1
12,0,360,494,15,1
13,-15,304,708,15,0
14,15,290,673,15,0
15,-15,393,616,15,1
16,0,325,686,15,0
17,30,357,685,15,1
18,-30,316,680,15,0
19,0,325,480,15,0
20,30,338,604,15,1
21,30,290,664,15,0
22,45,309,756,15,0
23,-30,346,383,15,1
24,-45,0,438,15,0
25,0,299,530,15,1
26,-30,328,434,15,0
27,-30,532,539,15,0
28,-30,249,517,15,1
29,0,502,380,15,0
30,0,222,638,15,0
31,15,253,616,15,0
32,30,353,560,15,0
33,-15,264,732,15,0
34,30,246,797,15,0
35,45,422,533,15,1
36,-30,325,730,15,1
37,-45,481,532,15,1
38,0,370,748,15,0
39,-15,285,773,15,0
40,30,301,761,15,1
41,30,321,342,15,1
42,45,339,753,15,1
43,-15,344,442,15,0
44,30,447,758,15,0
45,-15,316,646,15,1
46,-30,366,497,15,1
47,15,308,475,15,1
48,-30,361,535,15,1
49,-30,315,580,15,1
50,-30,281,683,15,1
51,-45,343,463,15,0
52,-15,425,676,15,1
53,30,532,775,15,0
54,15,328,366,15,0
55,-15,296,318,15,0
56,-30,365,799,15,1
57,-45,358,741,15,1
58,30,373,381,15,1
59,30,396,354,15,1
60,0,288,564,15,1
61,0,470,311,15,0
62,-45,318,690,15,0
63,-15,300,505,15,1
64,30,321,558,15,1
65,0,346,496,15,1
66,45,324,461,15,0
67,30,431,739,15,1
68,30,296,503,15,1
69,15,277,734,15,0
70,-15,312,789,15,1
71,-45,521,341,15,1
72,-45,0,318,15,0
73,0,238,491,15,0
74,0,272,646,15,0
75,-30,571,680,15,1
76,-45,324,486,15,1
77,0,455,499,15,0
78,30,324,501,15,0
79,0,400,455,15,0
80,-30,290,642,15,0
81,45,376,422,15,0
82,15,384,739,15,0
83,45,344,438,15,1
84,-30,372,498,15,0
85,-45,321,461,15,1
86,-15,389,345,15,0
87,-45,229,730,15,1
88,-15,358,367,15,0
89,30,381,408,15,1
90,-45,377,580,15,0
91,30,332,523,15,1
92,-15,324,330,15,0
93,0,320,674,15,0
94,-30,318,568,15,0
95,0,281,682,15,0
96,15,246,629,15,1
97,0,310,693,15,0
98,-45,374,518,15,0
99,30,295,777,15,0
100,15,351,558,15,1
101,30,469,726,15,1
102,-30,304,734,15,0
103,45,312,388,15,1
104,45,317,674,15,0
105,0,358,680,15,0
106,0,269,512,15,0
107,-15,346,661,15,1
108,-30,398,606,15,0
109,15,0,683,15,0
110,-45,413,329,15,1
111,15,351,625,15,1
112,0,235,673,15,0
113,-15,397,631,15,1
114,-30,368,601,15,0
115,30,253,727,15,0
116,45,384,376,15,0
117,-30,328,778,15,0
118,0,358,756,15,1
119,0,354,635,15,0
120,-15,489,405,15,1
121,-15,405,519,15,0
122,45,0,776,15,0
123,15,318,566,15,0
124,-30,539,744,15,1
125,-45,352,369,15,0
126,0,321,512,15,1
127,-30,360,756,15,0
128,30,465,676,15,1
129,45,384,442,15,1
130,0,367,327,15,0
131,45,331,795,15,0
132,-15,295,710,15,0
133,-30,417,745,15,1
134,-45,396,439,15,1
135,0,292,568,15,0
136,-45,303,359,15,0
137,-45,283,740,15,1
138,30,334,576,15,0
139,-15,415,333,15,0
140,-30,321,339,15,0
141,30,397,483,15,1
142,0,317,550,15,0
143,15,0,566,15,1
144,-45,0,391,15,0
145,30,530,408,15,1
146,45,328,646,15,0
147,-30,304,559,15,0
148,-30,276,397,15,0
149,-45,358,421,15,0
150,-45,701,768,15,1
151,0,0,500,15,1
152,-30,355,480,15,0
153,45,421,397,15,0
154,-15,311,688,15,1
155,30,418,666,15,0
156,-45,283,796,15,1
157,45,393,738,15,0
158,0,0,314,15,0
159,30,280,316,15,0
160,-15,279,447,15,1
161,30,332,619,15,0
162,0,278,481,15,0
163,-45,353,323,15,0
164,0,313,463,15,1
165,-45,320,342,15,0
166,-15,418,482,15,1
167,-45,268,531,15,0
168,-45,359,684,15,1
169,-15,327,403,15,1
170,45,304,535,15,0
171,45,313,773,15,0
172,15,469,405,15,1
173,-45,248,498,15,1
174,-15,365,793,15,1
175,-30,385,394,15,1
176,15,570,595,15,1
177,-15,386,720,15,0
178,0,333,688,15,0
179,30,623,644,15,0
180,-15,454,402,15,1
181,0,0,487,15,1
182,-15,254,418,15,1
183,30,430,754,15,1
184,-15,467,647,15,0
185,0,353,595,15,1
186,15,348,575,15,0
187,15,395,492,15,1
188,-15,727,709,15,1
189,-15,326,389,15,1
190,15,403,722,15,0
191,0,288,798,15,0
192,15,392,407,15,1
193,-45,468,750,15,0
194,-45,459,419,15,1
195,-30,336,498,15,1
196,-15,386,785,15,0
197,0,474,648,15,1
198,-45,403,368,15,1
199,-30,330,721,15,1
200,45,360,685,15,0
201,-45,398,714,15,1
202,-45,484,611,15,0
203,-15,380,597,15,0
204,15,438,480,15,0
