Trial, Ecc, RT, IT, Brightness, Stim ID
1, 45, 389, 574, 15, 0
2, 0, 457, 431, 15, 1
3, 15, 279, 609, 15, 1
4, 15, 262, 659, 15, 0
5, 15, 328, 645, 15, 0
6, 15, 289, 752, 15, 0
7, -30, 327, 718, 15, 1
8, 15, 401, 344, 15, 1
9, -45, 404, 739, 15, 1
10, 0, 310, 393, 15, 1
11, -30, 343, 345, 15, 0
12, 0, 321, 648, 15, 1
13, 0, 324, 351, 15, 0
14, -45, 0, 489, 15, 1
15, -45, 431, 354, 15, 0
16, 45, 440, 421, 15, 1
17, 0, 0, 620, 15, 0
18, -30, 362, 492, 15, 1
19, 30, 354, 337, 15, 1
20, 45, 340, 398, 15, 1
21, 15, 340, 389, 15, 1
22, 45, 486, 681, 15, 0
23, -30, 360, 667, 15, 0
24, 30, 364, 590, 15, 0
25, 15, 393, 435, 15, 0
26, 30, 362, 729, 15, 1
27, 45, 360, 520, 15, 0
28, -30, 403, 799, 15, 0
29, 0, 311, 637, 15, 1
30, -15, 390, 409, 15, 1
31, 45, 341, 533, 15, 0
32, 30, 390, 412, 15, 1
33, -45, 326, 733, 15, 0
34, 15, 372, 582, 15, 0
35, -45, 423, 499, 15, 0
36, 15, 325, 510, 15, 0
37, -15, 314, 620, 15, 0
38, 15, 308, 647, 15, 0
39, 15, 306, 384, 15, 1
40, -30, 305, 311, 15, 1
41, 0, 304, 622, 15, 1
42, 30, 308, 630, 15, 1
43, 15, 364, 340, 15, 1
44, 15, 336, 497, 15, 1
45, 0, 270, 745, 15, 1
46, 0, 324, 666, 15, 0
47, -45, 316, 694, 15, 1
48, -15, 309, 734, 15, 0
49, -15, 335, 487, 15, 0
50, -30, 388, 573, 15, 0
51, 15, 343, 585, 15, 0
52, 0, 311, 486, 15, 0
53, -45, 286, 642, 15, 1
54, -45, 313, 450, 15, 1
55, -30, 344, 610, 15, 0
56, 0, 295, 640, 15, 0
57, -15, 359, 545, 15, 0
58, -15, 322, 622, 15, 1
59, 45, 310, 739, 15, 0
60, -30, 0, 541, 15, 1
61, 45, 359, 319, 15, 1
62, -30, 319, 513, 15, 0
63, -30, 320, 699, 15, 1
64, 45, 431, 524, 15, 1
65, 30, 417, 407, 15, 0
66, -15, 288, 416, 15, 1
67, -30, 275, 629, 15, 1
68, 30, 338, 594, 15, 0
69, 45, 402, 369, 15, 1
70, 45, 344, 594, 15, 0
71, -45, 362, 706, 15, 0
72, 15, 480, 654, 15, 1
73, 45, 453, 621, 15, 1
74, 45, 429, 521, 15, 0
75, 45, 0, 518, 15, 0
76, -30, 363, 656, 15, 0
77, -45, 347, 520, 15, 0
