Trial, Ecc, RT, IT, Brightness, Stim ID
1,-15,566,748,15,2
2,0,344,448,15,2
3,0,474,629,15,1
4,0,310,625,15,0
5,0,342,493,15,0
6,-30,510,677,15,2
7,0,362,541,15,2
8,-15,367,470,15,2
9,-45,396,516,15,0
10,0,265,751,15,1
11,0,0,774,15,0
12,15,452,454,15,1
13,-15,323,485,15,0
14,0,336,401,15,2
15,-30,399,407,15,2
16,-15,0,629,15,0
17,30,373,794,15,0
18,-15,514,305,15,1
19,45,478,350,15,0
20,15,0,592,15,1
21,15,318,715,15,1
22,-45,405,680,15,1
23,-45,644,547,15,2
24,45,601,714,15,1
25,-30,355,624,15,1
26,30,306,391,15,1
27,0,430,609,15,0
28,-45,403,390,15,1
29,-30,306,594,15,1
30,30,340,364,15,2
31,-45,0,656,15,1
32,-15,509,562,15,2
33,30,427,447,15,0
34,45,0,392,15,2
35,-30,387,393,15,2
36,-45,373,457,15,0
37,30,393,407,15,2
38,-30,368,475,15,1
39,-45,403,457,15,0
40,-15,379,530,15,1
41,-45,564,766,15,2
42,45,0,788,15,1
43,0,309,787,15,0
44,30,0,559,15,0
45,-30,326,705,15,0
46,-15,284,431,15,0
47,15,310,660,15,1
48,0,319,763,15,1
49,-15,569,592,15,2
50,45,387,342,15,1
51,0,496,703,15,2
52,30,361,792,15,1
53,15,0,370,15,2
54,0,344,580,15,2
55,-30,393,572,15,2
56,-30,458,470,15,2
57,-30,420,591,15,1
58,-30,454,346,15,0
59,30,446,712,15,1
60,15,483,462,15,2
61,45,512,626,15,1
62,-30,407,392,15,0
63,30,0,639,15,0
64,-30,540,527,15,1
65,-45,638,474,15,1
66,15,326,618,15,2
67,-45,591,515,15,2
68,45,390,405,15,0
69,-30,487,470,15,2
70,-45,401,626,15,2
71,45,403,643,15,1
72,0,464,554,15,1
73,0,380,675,15,0
74,45,409,624,15,1
75,45,405,522,15,2
76,-30,445,774,15,2
77,-15,439,760,15,0
78,-15,556,576,15,1
79,-30,422,544,15,1
80,0,465,478,15,0
81,-45,551,697,15,0
82,0,350,606,15,0
83,-30,421,403,15,2
84,-15,328,489,15,1
85,0,492,586,15,2
86,-30,460,365,15,1
87,-30,300,719,15,0
88,0,462,452,15,2
89,30,434,318,15,2
90,-15,402,387,15,0
91,-15,388,561,15,1
92,15,321,356,15,1
93,45,435,552,15,0
94,-15,357,790,15,2
95,-45,407,773,15,2
96,30,320,724,15,2
97,-15,342,326,15,0
98,0,362,425,15,0
99,15,610,332,15,2
100,-15,347,490,15,1
101,-45,623,411,15,1
102,15,361,553,15,2
103,-45,477,545,15,2
104,45,354,534,15,2
105,0,499,469,15,2
106,45,368,302,15,2
107,30,504,617,15,1
108,0,434,342,15,2
109,-15,426,766,15,2
110,30,383,724,15,0
111,30,372,456,15,1
112,45,743,427,15,1
113,30,439,693,15,2
114,0,314,509,15,1
115,-45,537,434,15,1
116,-45,366,346,15,1
117,15,294,637,15,2
118,30,368,714,15,2
119,-45,347,377,15,2
120,-15,523,367,15,0
121,-30,509,584,15,1
122,0,353,346,15,1
123,30,0,327,15,0
124,0,543,415,15,2
125,45,409,659,15,2
126,15,524,560,15,0
127,30,0,446,15,2
128,-45,684,758,15,1
129,45,433,487,15,0
130,15,720,553,15,0
131,45,371,751,15,0
132,-45,704,670,15,2
133,-30,382,663,15,1
134,-15,428,436,15,0
135,0,0,501,15,0
136,-15,480,546,15,1
137,-45,473,614,15,0
138,-15,350,788,15,1
139,30,453,450,15,1
140,30,393,566,15,1
