Trial, Ecc, RT, IT, Brightness, Stim ID
1,-45,0,389,15,1
2,15,669,601,15,2
3,30,598,648,15,0
4,30,475,390,15,0
5,-45,524,346,15,2
6,-30,1886,359,15,1
7,-45,821,519,15,2
8,-30,0,392,15,1
9,-45,506,353,15,0
10,30,7818,493,15,2
11,15,483,683,15,1
12,-30,8217,369,15,1
13,-45,502,643,15,0
14,-45,491,582,15,0
15,-30,452,335,15,0
16,15,676,358,15,2
17,0,692,586,15,2
18,15,460,790,15,1
19,45,444,545,15,0
20,15,398,691,15,0
21,-15,474,352,15,2
22,45,567,556,15,1
23,15,441,368,15,1
24,15,384,634,15,2
25,-15,439,599,15,2
26,30,453,772,15,0
27,-30,0,500,15,1
28,-30,580,647,15,2
29,30,757,669,15,1
30,-30,570,385,15,2
31,0,601,523,15,0
32,-45,0,721,15,1
33,30,604,307,15,2
34,-15,492,769,15,2
35,-30,505,783,15,0
36,-30,725,798,15,1
37,30,0,322,15,0
38,-15,2247,544,15,1
39,30,690,343,15,2
40,0,488,443,15,1
41,-15,443,734,15,2
42,0,574,344,15,0
43,0,488,751,15,2
44,-45,0,729,15,2
45,15,640,406,15,2
46,15,480,612,15,2
47,0,0,567,15,0
48,-30,430,308,15,0
49,-30,836,739,15,2
50,30,0,306,15,0
51,0,558,738,15,1
52,15,1739,518,15,1
53,-15,16339,765,15,0
54,-45,869,328,15,0
55,30,676,549,15,0
56,-45,682,343,15,2
57,-45,0,694,15,0
58,0,0,472,15,0
59,45,475,778,15,2
60,-15,0,314,15,1
61,0,0,792,15,2
62,-15,631,594,15,2
63,15,648,462,15,0
64,-15,521,691,15,2
65,-30,485,513,15,2
66,-45,380,359,15,2
67,30,0,744,15,0
68,45,577,312,15,0
69,0,342,423,15,0
70,30,1054,698,15,2
71,15,0,769,15,1
72,-45,0,753,15,1
73,-45,870,689,15,0
74,-45,678,499,15,0
75,-30,812,706,15,2
76,-15,0,677,15,0
77,-30,0,717,15,1
78,45,619,560,15,2
