Trial,Ecc,RT,IT,Brightness,Stim ID
2,45,326,381,15,0
3,-30,343,589,15,2
3,15,0,506,15,2
4,0,414,368,15,1
5,0,455,490,15,1
6,30,332,755,15,0
7,15,296,558,15,0
8,15,369,366,15,2
9,0,321,652,15,1
10,-15,456,524,15,1
11,15,422,795,15,0
11,15,0,415,15,1
12,0,464,683,15,2
13,45,344,310,15,0
14,45,434,747,15,1
15,0,351,666,15,0
16,15,425,314,15,2
17,-45,533,645,15,2
18,-30,425,505,15,0
19,15,302,447,15,0
20,0,315,464,15,1
21,45,381,558,15,2
22,-30,430,644,15,1
23,30,464,523,15,2
24,0,476,423,15,2
25,15,406,543,15,2
26,15,384,798,15,1
27,-30,385,746,15,0
28,30,388,507,15,1
29,15,316,313,15,2
30,-45,460,721,15,2
31,-15,331,794,15,1
32,15,374,449,15,0
33,-15,413,579,15,1
34,0,379,723,15,0
35,-45,407,368,15,0
36,-30,605,414,15,2
37,45,470,731,15,1
38,-15,328,372,15,1
39,0,389,710,15,0
40,45,526,382,15,2
41,-45,381,638,15,2
42,30,442,306,15,2
43,-30,460,459,15,2
44,15,694,327,15,2
45,0,327,487,15,0
46,-15,297,365,15,0
47,-15,305,418,15,1
48,0,273,456,15,1
49,45,604,605,15,1
50,0,385,557,15,0
51,30,343,305,15,0
51,30,0,431,15,1
52,45,478,429,15,2
53,0,421,776,15,2
54,0,395,587,15,1
55,-15,454,764,15,2
56,45,520,369,15,1
56,-15,0,583,15,1
57,45,357,700,15,0
58,15,415,704,15,1
59,-30,644,405,15,2
60,0,368,548,15,0
61,-45,458,797,15,0
62,-30,473,642,15,2
62,0,0,303,15,2
63,0,353,661,15,1
64,30,507,389,15,2
64,-45,0,414,15,1
65,30,459,480,15,0
66,-15,400,759,15,1
67,15,609,717,15,2
68,-15,435,782,15,0
69,-45,506,646,15,1
70,0,433,366,15,0
71,-15,724,448,15,0
72,45,657,576,15,1
73,-45,547,300,15,0
74,-15,568,681,15,1
75,15,439,555,15,2
76,45,549,701,15,1
77,15,437,322,15,2
78,0,421,554,15,2
79,30,558,381,15,1
80,30,417,752,15,1
81,0,434,594,15,2
82,30,452,707,15,0
83,-15,488,526,15,2
84,-30,388,683,15,2
85,-45,435,473,15,2
86,-15,504,703,15,2
87,30,445,707,15,0
88,0,552,325,15,2
89,-15,415,374,15,0
90,-30,384,751,15,1
91,45,410,712,15,1
92,0,298,764,15,1
93,-30,616,387,15,0
94,-15,427,418,15,1
95,30,483,405,15,2
95,-45,0,497,15,1
96,30,569,404,15,2
97,15,339,368,15,1
98,-45,448,766,15,0
99,15,331,467,15,1
100,-45,421,635,15,1
101,-15,436,379,15,1
102,-15,335,760,15,0
103,45,355,563,15,0
104,30,399,676,15,1
105,30,339,334,15,0
105,30,0,595,15,2
106,-45,406,500,15,2
107,0,381,742,15,2
108,45,467,753,15,2
109,0,639,387,15,2
110,45,547,624,15,1
111,45,562,771,15,1
112,-45,375,463,15,2
113,-15,350,598,15,0
114,-15,309,330,15,2
115,15,317,407,15,0
116,-45,360,407,15,2
117,30,461,368,15,0
117,15,0,420,15,0
118,45,447,407,15,2
119,15,364,611,15,2
120,-15,377,647,15,2
121,45,397,595,15,2
122,45,414,639,15,2
123,-45,359,486,15,2
124,0,404,414,15,2
125,-30,346,365,15,2
126,-15,475,588,15,2
127,45,568,623,15,1
128,-30,462,728,15,1
129,30,352,606,15,1
130,45,398,460,15,1
131,30,462,670,15,0
131,45,0,676,15,1
132,45,343,459,15,2
133,0,294,340,15,1
134,-15,487,311,15,2
135,-30,310,462,15,0
136,45,324,581,15,2
137,-45,414,742,15,1
138,-30,407,692,15,0
139,-30,286,588,15,0
140,-15,304,453,15,0
141,45,358,401,15,1
142,45,479,466,15,0
143,30,504,764,15,2
144,-30,313,649,15,1
145,-45,624,302,15,2
146,30,442,659,15,2
147,0,299,510,15,1
148,-15,559,394,15,0
149,-15,364,588,15,0
150,0,421,782,15,0
151,0,265,498,15,0
152,-15,377,428,15,0
153,30,596,697,15,1
154,15,353,399,15,0
155,45,447,462,15,1
156,-45,412,781,15,1
157,-45,484,450,15,2
158,45,499,529,15,1
159,0,341,354,15,0
160,30,572,374,15,2
161,15,523,568,15,1
162,45,538,405,15,2
163,-45,457,511,15,1
164,15,413,433,15,1
165,15,319,601,15,1
166,-15,591,721,15,0
167,30,402,567,15,1
168,15,401,461,15,2
169,15,411,337,15,0
170,-15,330,680,15,0
170,45,0,619,15,2
171,-15,496,317,15,2
171,15,0,300,15,1
172,45,362,457,15,1
173,-30,275,742,15,2
174,45,313,705,15,0
175,-30,356,592,15,1
176,30,422,381,15,2
177,15,349,447,15,2
178,-15,403,314,15,1
179,-45,320,581,15,0
179,0,0,423,15,2
180,45,516,432,15,2
181,15,487,739,15,1
182,-45,431,435,15,2
183,15,346,591,15,1
184,-45,544,598,15,1
185,15,392,757,15,2
186,15,269,774,15,0
187,45,430,793,15,2
188,45,503,379,15,1
189,15,522,502,15,2
190,-30,333,486,15,2
191,30,330,572,15,1
192,-45,712,489,15,1
193,45,433,417,15,2
194,-45,379,743,15,2
195,0,480,720,15,2
195,-15,0,765,15,1
195,0,0,501,15,2
196,15,336,599,15,0
197,-45,669,660,15,1
198,30,490,434,15,2
199,15,478,302,15,2
200,30,499,376,15,1
201,15,636,664,15,0
