Trial,Ecc,RT,IT,Brightness,Stim ID
1,0,6923,363,15,2
2,15,433,433,15,0
3,45,506,503,15,1
4,-15,481,627,15,0
5,15,297,695,15,0
6,30,291,775,15,1
7,0,300,428,15,1
8,-30,337,761,15,0
9,15,364,478,15,2
10,30,351,753,15,0
11,45,380,789,15,0
12,0,385,710,15,1
13,-15,427,785,15,0
14,-30,344,686,15,0
15,-45,256,672,15,0
16,45,469,742,15,0
17,0,421,329,15,1
18,-30,451,712,15,0
19,15,6450,550,15,0
20,15,353,515,15,1
21,15,0,708,15,2
22,45,359,506,15,0
23,30,346,517,15,0
24,45,294,487,15,0
25,-15,295,404,15,0
26,-30,484,443,15,1
27,-30,337,408,15,1
28,-30,538,749,15,2
29,15,614,568,15,2
30,-45,352,524,15,0
31,15,277,727,15,0
32,30,441,315,15,1
33,-45,365,448,15,0
34,45,330,353,15,1
35,-45,361,340,15,0
36,45,0,471,15,2
37,15,280,500,15,2
38,-45,385,797,15,2
39,0,0,530,15,2
40,-30,708,702,15,0
41,30,564,701,15,2
42,0,0,729,15,1
43,0,0,716,15,0
44,0,400,795,15,2
45,30,719,371,15,0
46,-15,372,363,15,1
47,15,0,459,15,1
48,-45,423,349,15,0
49,15,369,650,15,1
50,0,403,554,15,0
51,45,0,565,15,0
52,30,425,364,15,0
53,15,439,504,15,2
54,-30,380,618,15,0
55,-45,423,444,15,1
56,15,308,650,15,1
57,15,346,605,15,0
58,0,305,732,15,0
59,-45,405,733,15,1
60,0,314,746,15,0
61,-15,677,391,15,2
62,0,0,744,15,2
63,-15,480,445,15,1
64,-45,0,336,15,0
65,-45,363,400,15,0
66,-15,489,423,15,2
67,30,419,698,15,1
68,45,619,766,15,2
69,15,446,672,15,1
70,15,472,427,15,0
71,-30,398,432,15,0
72,-15,441,384,15,2
73,15,0,703,15,1
74,-30,364,396,15,1
75,-45,479,472,15,0
76,0,330,598,15,1
77,15,346,797,15,1
78,30,0,332,15,2
79,45,417,547,15,0
80,-45,575,681,15,2
81,-30,389,500,15,1
82,15,463,391,15,2
83,15,429,308,15,1
84,0,391,635,15,2
85,0,0,320,15,2
86,15,0,551,15,0
87,-45,0,778,15,1
88,0,402,589,15,0
89,0,0,397,15,1
90,-30,529,351,15,0
91,30,485,770,15,2
92,30,765,334,15,1
93,45,391,733,15,1
94,0,295,745,15,1
95,-15,405,420,15,2
96,30,409,384,15,0
97,30,365,387,15,1
98,15,265,653,15,1
99,15,388,658,15,0
100,45,0,425,15,2
101,0,324,729,15,1
102,-30,408,421,15,2
103,0,412,606,15,0
104,-45,0,526,15,1
105,-30,430,391,15,0
106,-30,345,405,15,1
107,0,259,796,15,1
108,-15,392,364,15,2
109,15,358,695,15,0
110,45,339,593,15,0
111,-30,0,766,15,2
112,30,0,382,15,1
113,30,388,428,15,0
114,-30,419,482,15,1
115,45,288,525,15,1
116,-15,261,400,15,1
117,-30,491,358,15,1
118,-45,403,736,15,1
119,15,499,345,15,2
120,-30,410,485,15,1
121,-30,0,734,15,0
122,-45,333,773,15,0
123,0,445,300,15,2
124,30,0,512,15,0
125,-30,289,634,15,0
126,45,420,548,15,1
127,-15,0,330,15,0
128,45,427,679,15,2
129,45,426,560,15,0
130,-45,394,623,15,1
131,45,0,757,15,1
132,0,0,490,15,2
133,-45,436,351,15,2
134,-30,380,630,15,0
135,30,0,598,15,2
136,45,530,553,15,2
137,-30,342,500,15,2
138,-30,392,765,15,0
139,-15,0,684,15,2
140,15,281,734,15,2
141,45,389,656,15,0
142,30,410,475,15,1
143,-30,6909,330,15,0
144,45,358,335,15,0
145,45,386,764,15,2
146,0,426,366,15,0
147,-30,344,542,15,1
148,-45,405,653,15,2
149,15,441,514,15,1
150,15,396,736,15,2
151,-30,0,554,15,1
152,15,393,507,15,2
153,15,289,434,15,2
154,0,370,337,15,2
155,-30,0,790,15,0
156,-30,269,695,15,1
157,-15,289,717,15,1
158,45,334,472,15,0
159,45,0,620,15,2
160,45,484,550,15,1
161,-45,436,701,15,1
162,15,462,557,15,0
163,30,362,540,15,1
164,-30,409,382,15,1
165,45,328,502,15,1
166,30,456,345,15,1
167,45,558,472,15,0
168,0,0,547,15,2
169,45,544,303,15,1
170,15,291,650,15,1
171,-45,579,425,15,2
172,30,374,612,15,1
173,45,510,672,15,2
174,30,456,456,15,0
175,-45,600,773,15,1
176,-15,0,782,15,0
177,-45,431,719,15,2
178,-45,453,526,15,1
179,0,474,311,15,0
180,0,295,794,15,1
181,45,434,712,15,1
182,30,552,371,15,2
183,-45,0,747,15,0
184,45,0,786,15,2
185,0,442,611,15,2
186,30,362,438,15,2
187,30,486,748,15,0
188,-45,364,538,15,1
189,0,0,488,15,0
190,-30,727,620,15,1
191,-45,408,309,15,1
192,45,371,330,15,0
193,15,383,741,15,1
194,0,269,539,15,1
195,15,369,784,15,1
196,0,269,647,15,1
197,-30,406,686,15,2
198,-30,368,501,15,2
199,-30,499,496,15,2
200,15,376,625,15,1
201,-30,456,477,15,1
202,-15,396,600,15,2
203,15,0,351,15,0
204,0,0,709,15,2
205,-45,386,306,15,2
206,-45,0,415,15,0
207,15,419,721,15,1
208,-15,444,436,15,2
209,15,531,365,15,2
210,-30,451,556,15,1
211,-15,342,490,15,1
212,45,473,701,15,1
213,0,285,562,15,1
214,-15,417,664,15,1
215,0,341,694,15,0
216,-15,530,331,15,2
217,0,434,381,15,0
218,-15,305,424,15,0
219,-45,408,748,15,0
220,-30,308,663,15,0
221,30,0,310,15,2
222,30,331,574,15,2
223,45,402,775,15,2
224,-30,366,606,15,0
225,-30,362,526,15,1
226,-15,360,462,15,0
227,45,0,474,15,1
228,30,503,447,15,0
229,0,350,612,15,1
230,0,426,502,15,2
231,-15,429,446,15,1
232,-30,324,510,15,1
233,30,316,793,15,1
234,-30,338,354,15,1
235,15,574,736,15,2
236,15,509,666,15,0
237,-15,0,362,15,0
238,-45,529,557,15,1
239,-30,731,450,15,0
240,15,338,346,15,0
