Trial, Ecc, RT, IT, Brightness, Stim ID
1, -45, 0, 539, 15, 2
2, 15, 0, 582, 15, 0
3, 0, 325, 389, 15, 0
4, 15, 246, 349, 15, 1
5, -15, 322, 773, 15, 1
6, 15, 313, 678, 15, 0
7, -45, 385, 312, 15, 2
8, -30, 347, 587, 15, 2
9, -15, 330, 527, 15, 2
10, 30, 306, 444, 15, 2
11, 15, 308, 448, 15, 2
12, -15, 308, 460, 15, 0
13, -30, 346, 397, 15, 2
14, 45, 335, 678, 15, 0
15, 0, 0, 477, 15, 2
16, 0, 313, 696, 15, 2
17, -15, 0, 444, 15, 1
18, -15, 0, 521, 15, 1
19, 30, 365, 791, 15, 0
20, -15, 411, 506, 15, 1
21, 45, 0, 367, 15, 1
22, 45, 350, 708, 15, 2
23, -30, 0, 429, 15, 0
24, -30, 340, 572, 15, 2
25, -45, 464, 407, 15, 2
26, 0, 392, 453, 15, 0
27, 45, 353, 336, 15, 0
28, -15, 0, 329, 15, 1
29, 30, 305, 640, 15, 2
30, 45, 330, 477, 15, 2
31, 0, 300, 387, 15, 1
32, 15, 316, 443, 15, 1
33, -45, 374, 447, 15, 2
34, 0, 267, 656, 15, 1
35, -45, 0, 791, 15, 1
36, -15, 0, 661, 15, 0
37, 0, 356, 591, 15, 1
38, 30, 308, 433, 15, 1
39, 45, 296, 650, 15, 2
40, -15, 336, 463, 15, 0
41, 30, 0, 322, 15, 2
42, -15, 356, 384, 15, 0
43, -45, 408, 510, 15, 0
44, 15, 362, 481, 15, 0
45, -15, 0, 482, 15, 1
46, -45, 381, 355, 15, 1
47, -15, 449, 780, 15, 1
48, -45, 386, 667, 15, 2
49, 45, 353, 642, 15, 2
50, 30, 458, 619, 15, 1
51, -15, 316, 666, 15, 1
52, 0, 335, 538, 15, 1
53, -30, 375, 344, 15, 2
54, 45, 349, 408, 15, 2
55, 45, 437, 339, 15, 2
56, -45, 339, 405, 15, 2
57, 45, 400, 303, 15, 0
58, 15, 0, 387, 15, 2
59, -45, 470, 666, 15, 2
60, -30, 363, 393, 15, 0
