Trial,Ecc,RT,IT,Brightness,Stim ID
1,30,330,416,15,0
2,-30,0,585,15,2
3,45,366,726,15,0
4,0,476,678,15,2
5,30,394,362,15,1
6,30,458,329,15,2
7,30,0,464,15,1
8,45,0,770,15,1
9,-30,276,364,15,1
10,-45,446,473,15,2
11,-30,0,545,15,0
12,30,408,750,15,2
13,15,508,637,15,0
14,-45,0,621,15,2
15,-15,359,624,15,2
16,30,360,744,15,0
17,30,418,637,15,2
18,45,541,469,15,0
19,-30,275,551,15,1
20,-15,342,692,15,2
21,-30,425,339,15,1
22,45,0,531,15,2
23,-45,436,735,15,2
24,-15,317,688,15,2
25,-45,341,451,15,2
26,45,0,672,15,2
27,15,458,335,15,0
28,-30,384,716,15,1
29,0,0,504,15,0
30,-45,450,745,15,1
31,15,314,514,15,1
32,0,227,763,15,1
33,15,345,735,15,0
34,0,0,505,15,2
35,0,0,431,15,0
36,-15,322,717,15,0
37,-45,0,443,15,1
38,15,357,798,15,0
39,-45,366,606,15,0
40,-15,380,558,15,0
41,15,526,535,15,2
42,0,328,384,15,1
43,-30,318,783,15,0
44,-45,0,475,15,1
45,30,439,590,15,2
46,45,0,798,15,1
47,-45,0,779,15,2
48,30,0,338,15,0
49,45,318,301,15,1
50,-15,265,559,15,1
51,45,0,476,15,0
52,30,312,753,15,1
53,15,0,729,15,0
54,45,0,471,15,1
55,30,265,547,15,1
56,45,263,469,15,1
57,30,449,359,15,0
58,30,320,751,15,1
59,-30,338,303,15,0
60,45,307,348,15,1
61,15,256,335,15,1
62,0,275,365,15,1
63,-45,0,587,15,0
64,0,0,662,15,1
65,0,271,376,15,1
66,-30,326,679,15,0
67,-15,361,762,15,0
68,30,315,776,15,1
69,0,365,786,15,0
70,45,354,351,15,0
71,30,312,583,15,0
72,45,0,679,15,2
73,15,0,734,15,2
74,45,336,771,15,0
75,-30,393,547,15,0
76,0,273,349,15,0
77,-15,360,709,15,2
78,-15,0,365,15,1
79,45,376,662,15,2
80,-45,400,689,15,1
81,0,0,366,15,2
82,30,367,764,15,0
83,-45,0,699,15,2
84,0,326,595,15,2
85,15,0,704,15,0
86,30,0,398,15,2
87,15,447,715,15,0
88,30,347,313,15,2
89,-15,364,740,15,0
90,0,319,626,15,0
91,15,231,553,15,1
92,45,0,340,15,1
93,-30,246,477,15,1
94,-45,317,477,15,1
