Trial, Ecc, RT, IT, Brightness, Stim ID
1, -45, 1316, 582, 15, 0
2, 45, 578, 443, 15, 0
3, 15, 918, 604, 15, 2
4, 45, 0, 328, 15, 1
5, -30, 790, 501, 15, 2
6, -45, 0, 503, 15, 0
7, 15, 358, 679, 15, 0
8, -30, 360, 370, 15, 0
9, 15, 338, 440, 15, 0
10, 30, 735, 362, 15, 2
11, -15, 0, 733, 15, 0
12, -30, 557, 602, 15, 2
13, 45, 988, 311, 15, 1
14, -30, 630, 761, 15, 2
15, -15, 0, 589, 15, 2
16, -45, 745, 760, 15, 2
17, -15, 1889, 392, 15, 1
18, 15, 571, 637, 15, 0
19, 15, 0, 377, 15, 0
20, 45, 592, 642, 15, 2
21, 0, 0, 777, 15, 0
22, 45, 0, 679, 15, 0
23, 15, 2043, 391, 15, 2
24, 15, 2215, 701, 15, 2
25, 15, 709, 464, 15, 0
26, 45, 681, 605, 15, 0
27, 0, 792, 722, 15, 2
28, -30, 636, 553, 15, 1
29, -15, 526, 799, 15, 2
30, 45, 725, 481, 15, 0
31, -15, 749, 335, 15, 1
32, 0, 0, 486, 15, 0
33, -30, 660, 591, 15, 0
34, 30, 1033, 772, 15, 2
35, 45, 8110, 412, 15, 1
36, 30, 799, 587, 15, 1
37, 45, 569, 675, 15, 2
38, 45, 456, 460, 15, 2
39, -45, 661, 708, 15, 1
40, -15, 632, 544, 15, 2
41, 45, 617, 474, 15, 2
42, -30, 650, 336, 15, 1
43, -15, 796, 785, 15, 1
44, 0, 724, 767, 15, 2
45, 0, 732, 324, 15, 1
46, 15, 586, 791, 15, 1
47, -15, 660, 396, 15, 1
48, -30, 637, 477, 15, 0
49, -45, 589, 770, 15, 0
50, -45, 799, 774, 15, 2
51, 15, 758, 413, 15, 1
52, -30, 3674, 699, 15, 2
53, 15, 469, 623, 15, 0
54, -30, 630, 702, 15, 2
55, 0, 741, 383, 15, 0
56, -45, 700, 396, 15, 0
57, -45, 611, 475, 15, 2
58, 45, 0, 725, 15, 0
59, 0, 0, 434, 15, 1
60, 30, 740, 655, 15, 2
61, 30, 539, 554, 15, 1
62, -15, 512, 702, 15, 2
63, -15, 673, 613, 15, 2
64, -15, 584, 418, 15, 1
65, 30, 744, 425, 15, 0
66, 45, 0, 472, 15, 1
67, 15, 744, 565, 15, 1
68, 45, 572, 517, 15, 2
69, -15, 678, 378, 15, 0
70, 45, 593, 665, 15, 1
71, -15, 1251, 363, 15, 2
72, -30, 517, 690, 15, 2
73, 15, 534, 381, 15, 0
74, 45, 500, 374, 15, 2
75, 15, 0, 711, 15, 0
76, -15, 0, 738, 15, 1
77, -15, 457, 661, 15, 1
78, 45, 629, 647, 15, 1
79, -45, 674, 353, 15, 2
80, 30, 735, 760, 15, 0
81, 30, 770, 355, 15, 2
82, 15, 565, 435, 15, 0
83, 15, 0, 301, 15, 2
84, 45, 482, 792, 15, 0
85, 15, 510, 645, 15, 0
86, 0, 0, 455, 15, 2
87, 45, 723, 717, 15, 1
88, -45, 597, 559, 15, 2
89, -45, 820, 779, 15, 2
90, 45, 728, 330, 15, 0
91, 0, 700, 307, 15, 2
92, -15, 615, 598, 15, 0
93, 15, 698, 338, 15, 1
94, 30, 584, 560, 15, 2
95, 30, 531, 397, 15, 2
96, 45, 478, 303, 15, 2
97, -15, 575, 696, 15, 2
98, 15, 463, 405, 15, 2
99, 30, 527, 669, 15, 0
100, 15, 517, 782, 15, 1
101, 45, 761, 366, 15, 0
102, 0, 626, 673, 15, 1
103, 30, 939, 308, 15, 2
104, 15, 511, 498, 15, 1
105, -30, 689, 537, 15, 1
106, -15, 513, 663, 15, 1
107, 45, 603, 546, 15, 2
108, -45, 646, 423, 15, 1
109, 30, 899, 641, 15, 0
110, 15, 528, 472, 15, 0
111, -45, 659, 544, 15, 1
112, -45, 734, 374, 15, 0
113, 45, 582, 658, 15, 2
114, 30, 0, 346, 15, 0
115, 15, 509, 584, 15, 2
116, -15, 536, 594, 15, 2
117, -45, 0, 718, 15, 2
118, 0, 668, 557, 15, 0
119, 0, 535, 364, 15, 0
120, 15, 656, 548, 15, 0
121, -30, 997, 747, 15, 1
122, 15, 776, 587, 15, 2
123, -45, 599, 411, 15, 0
124, -30, 1163, 605, 15, 1
125, 15, 537, 792, 15, 1
126, -15, 594, 587, 15, 0
127, 15, 1769, 368, 15, 1
128, -15, 526, 666, 15, 0
129, 45, 1580, 416, 15, 2
130, -45, 809, 780, 15, 0
131, 0, 0, 407, 15, 1
132, 15, 1855, 482, 15, 2
133, 0, 505, 464, 15, 2
134, 30, 607, 447, 15, 0
135, -30, 0, 714, 15, 2
136, -15, 0, 761, 15, 1
137, 0, 686, 416, 15, 0
138, 15, 565, 478, 15, 0
139, 15, 446, 778, 15, 0
140, 30, 525, 350, 15, 0
141, 0, 437, 657, 15, 1
142, -15, 556, 759, 15, 2
143, 30, 1021, 761, 15, 1
144, 30, 596, 416, 15, 0
145, 45, 493, 602, 15, 0
146, 45, 490, 524, 15, 0
147, 30, 874, 600, 15, 1
148, 45, 580, 700, 15, 0
149, -45, 432, 503, 15, 0
150, 30, 382, 610, 15, 0
151, -15, 558, 314, 15, 2
152, 45, 999, 736, 15, 0
153, 0, 0, 755, 15, 1
154, -15, 629, 792, 15, 2
155, 45, 0, 672, 15, 1
156, 45, 0, 678, 15, 2
157, -30, 0, 461, 15, 0
158, -45, 0, 791, 15, 1
159, 45, 869, 505, 15, 1
160, 30, 694, 774, 15, 1
161, 15, 854, 470, 15, 0
162, 45, 493, 556, 15, 0
163, 0, 500, 657, 15, 0
164, -15, 883, 591, 15, 2
165, 30, 923, 478, 15, 2
166, -15, 802, 437, 15, 2
167, -45, 647, 515, 15, 2
168, -15, 663, 490, 15, 0
169, 45, 0, 562, 15, 2
170, 30, 680, 474, 15, 0
171, -30, 770, 317, 15, 1
172, 0, 0, 592, 15, 2
173, -30, 989, 300, 15, 2
174, -45, 0, 368, 15, 1
175, 15, 1191, 376, 15, 1
176, 30, 497, 538, 15, 1
177, 0, 4856, 339, 15, 0
178, 45, 1246, 593, 15, 2
179, -30, 763, 589, 15, 1
180, -15, 518, 672, 15, 1
181, 30, 811, 666, 15, 2
182, -30, 143, 715, 15, 2
183, -30, 0, 595, 15, 1
184, 15, 482, 403, 15, 2
185, -30, 0, 321, 15, 1
186, 15, 630, 378, 15, 2
