Trial,Ecc,RT,IT,Brightness,Stim ID
1,0,568,520,15,0
2,-15,321,610,15,1
3,-30,615,453,15,2
4,-30,599,377,15,1
5,-30,768,466,15,0
6,0,380,459,15,1
7,45,1054,328,15,0
8,-30,467,735,15,0
9,15,318,717,15,0
10,30,312,580,15,0
11,-30,776,474,15,2
12,0,669,533,15,0
13,-30,389,363,15,1
14,-30,0,764,15,1
15,15,680,776,15,0
16,0,358,649,15,0
17,45,328,665,15,1
18,0,0,487,15,1
19,-15,693,325,15,2
20,15,0,396,15,1
21,45,544,768,15,0
22,-45,534,378,15,2
23,-30,0,786,15,0
24,-30,0,629,15,2
25,-15,0,731,15,0
26,-15,326,429,15,1
27,-45,595,350,15,1
28,-45,474,661,15,0
29,45,366,467,15,1
30,15,0,689,15,0
31,30,340,551,15,0
32,45,482,328,15,0
33,-15,545,377,15,2
34,-15,279,463,15,1
35,0,379,556,15,1
36,-30,476,466,15,0
37,15,413,525,15,1
38,30,0,492,15,2
39,-45,385,711,15,0
40,15,360,581,15,0
41,45,355,373,15,2
42,30,468,550,15,1
43,-45,0,423,15,2
44,-15,437,358,15,2
45,-45,495,377,15,1
46,-45,315,794,15,0
47,-45,0,770,15,1
48,-15,390,527,15,1
49,45,581,716,15,0
50,-30,510,567,15,2
51,45,418,609,15,0
52,-15,1124,663,15,1
53,15,549,714,15,1
54,-45,875,517,15,2
55,-30,391,467,15,2
56,30,0,682,15,0
57,45,553,715,15,2
58,45,606,711,15,1
59,-30,765,336,15,0
60,-30,1219,326,15,1
61,15,0,380,15,2
62,-45,1178,324,15,0
63,0,434,596,15,0
64,45,267,435,15,1
65,-30,0,328,15,1
66,-45,472,776,15,2
67,-15,449,446,15,2
68,45,407,519,15,1
69,30,484,643,15,0
70,15,0,788,15,0
71,15,0,725,15,1
72,-45,441,655,15,1
73,0,452,384,15,2
74,-15,1107,624,15,1
75,30,0,689,15,2
76,45,486,312,15,2
77,45,529,683,15,2
78,-45,0,777,15,0
79,-15,241,671,15,1
80,-45,477,565,15,0
81,-45,477,565,15,1
82,15,466,523,15,0
83,30,0,787,15,1
84,30,409,459,15,2
85,30,569,795,15,1
86,-45,476,616,15,1
87,15,698,742,15,0
88,-15,442,793,15,2
89,-15,379,543,15,2
90,-30,364,494,15,2
91,45,0,381,15,0
92,-30,1293,479,15,2
93,45,517,401,15,0
94,-30,352,337,15,0
95,-15,260,704,15,1
96,0,420,641,15,0
97,0,383,608,15,0
98,-15,481,556,15,0
99,-30,331,691,15,1
100,-45,504,643,15,1
101,30,444,640,15,0
102,-30,0,383,15,1
103,-30,454,712,15,1
104,30,537,442,15,1
105,-30,376,682,15,1
106,0,501,679,15,2
107,45,0,399,15,1
108,-15,591,688,15,1
109,-45,581,386,15,0
110,-45,553,730,15,2
111,15,583,747,15,0
112,15,471,505,15,2
113,-45,460,324,15,2
114,-45,324,368,15,2
115,45,533,408,15,0
116,0,706,482,15,1
117,45,428,791,15,2
118,0,701,552,15,0
119,-15,748,549,15,1
120,-15,330,674,15,1
121,-30,381,773,15,1
122,15,327,715,15,1
123,-15,275,486,15,1
124,-45,382,644,15,1
125,-15,282,755,15,1
126,-30,0,665,15,0
127,-15,0,591,15,0
128,-15,271,640,15,0
129,45,485,334,15,1
130,-45,688,388,15,0
131,30,710,560,15,0
132,45,506,466,15,0
133,-30,327,690,15,0
