Trial,Ecc,RT,IT,Brightness,Stim ID
1,-30,401,583,15,1
2,-15,411,759,15,1
3,-45,457,537,15,2
4,-30,410,353,15,1
5,15,427,366,15,2
6,-30,339,742,15,1
7,30,380,533,15,2
8,30,640,470,15,2
9,0,312,576,15,0
10,-30,408,455,15,0
11,-45,476,348,15,0
12,-45,462,324,15,2
13,45,464,300,15,1
14,-15,321,551,15,1
15,0,300,715,15,0
16,15,521,383,15,1
17,0,335,686,15,0
18,15,388,385,15,1
19,0,0,388,15,1
20,0,385,467,15,2
21,0,356,767,15,2
22,30,520,457,15,1
23,-15,357,407,15,2
24,30,469,608,15,0
25,-30,440,621,15,0
26,0,313,529,15,0
27,-45,465,465,15,1
28,-15,374,724,15,1
29,-45,395,533,15,2
30,15,313,627,15,0
31,15,371,530,15,0
32,0,322,475,15,0
33,-15,0,660,15,0
34,-15,506,445,15,2
35,45,436,764,15,1
36,15,294,532,15,0
37,-30,440,327,15,2
38,-45,341,467,15,2
39,-45,343,305,15,2
40,45,358,565,15,0
41,0,400,389,15,2
42,-30,394,408,15,0
43,-30,402,635,15,0
44,45,477,579,15,0
45,45,402,473,15,2
46,0,324,728,15,0
47,45,434,647,15,2
48,0,527,695,15,0
49,-15,372,390,15,2
50,-15,345,775,15,0
51,0,438,331,15,2
52,0,378,780,15,2
53,-45,484,679,15,2
54,-15,368,782,15,2
55,45,401,776,15,2
56,-15,307,682,15,2
57,-30,303,551,15,0
58,-45,0,764,15,1
59,-45,488,414,15,0
60,0,298,768,15,0
61,15,412,549,15,2
62,0,0,770,15,2
63,-15,344,574,15,1
64,-45,467,681,15,0
65,45,476,528,15,1
66,-15,0,356,15,1
67,-45,388,537,15,1
68,30,421,582,15,2
69,15,309,490,15,0
70,45,974,694,15,1
71,-45,569,693,15,0
72,-15,479,747,15,0
73,30,445,587,15,0
74,45,474,396,15,2
75,0,455,465,15,1
76,15,342,331,15,1
77,30,447,733,15,2
78,-30,428,724,15,0
79,-30,455,493,15,2
80,-30,346,727,15,0
81,30,382,445,15,2
82,-15,0,355,15,0
83,30,377,648,15,2
84,30,583,570,15,0
85,-30,361,557,15,0
86,45,355,443,15,1
87,0,422,714,15,0
88,15,341,440,15,0
89,0,319,794,15,0
90,-15,428,774,15,1
91,-30,392,676,15,1
92,-30,342,711,15,1
93,-45,449,370,15,1
94,30,302,362,15,2
95,-30,352,436,15,0
96,-30,646,495,15,1
97,30,319,795,15,1
98,-30,547,375,15,2
99,0,360,601,15,1
100,-30,362,720,15,1
101,15,573,725,15,2
102,45,0,603,15,2
103,-15,0,629,15,0
104,15,408,341,15,1
105,45,380,345,15,2
106,-15,354,381,15,1
107,-45,379,469,15,0
108,45,346,618,15,1
109,45,379,777,15,0
110,30,393,594,15,1
111,0,397,676,15,2
112,30,605,368,15,1
113,-30,0,385,15,2
114,45,437,572,15,0
115,0,359,412,15,2
116,0,331,466,15,2
117,45,467,369,15,2
118,15,359,498,15,2
119,-15,336,418,15,2
120,0,303,643,15,0
121,-15,375,712,15,1
122,30,0,728,15,1
123,-45,507,537,15,2
124,-45,435,390,15,0
125,15,363,565,15,1
126,-15,362,451,15,1
127,-45,366,398,15,1
128,45,356,675,15,1
129,45,340,589,15,1
130,-30,362,444,15,0
131,0,282,641,15,1
132,15,332,450,15,1
133,-15,298,592,15,1
134,-45,318,493,15,0
135,-15,297,460,15,0
136,30,348,510,15,1
137,-15,331,369,15,0
138,45,506,513,15,2
139,45,458,667,15,1
140,-15,491,776,15,2
141,30,517,690,15,0
142,0,0,722,15,2
143,-45,354,527,15,2
144,0,456,596,15,1
145,30,531,358,15,1
146,30,377,406,15,2
147,-30,456,447,15,1
148,15,421,743,15,1
149,0,0,341,15,1
150,15,410,612,15,2
151,-30,0,482,15,0
152,0,325,373,15,0
153,30,0,767,15,1
154,15,439,756,15,2
155,-15,401,360,15,2
156,45,0,761,15,1
157,30,386,745,15,1
158,-15,354,526,15,2
159,-15,655,548,15,0
160,-30,0,746,15,1
161,-30,364,376,15,2
162,30,533,338,15,2
163,-45,463,486,15,0
164,45,0,539,15,0
165,0,0,671,15,0
166,0,377,312,15,0
167,-30,405,433,15,1
168,-45,436,465,15,1
169,-45,423,652,15,2
170,30,372,379,15,2
171,30,382,340,15,2
172,45,418,787,15,0
173,-45,385,793,15,0
174,15,0,670,15,1
175,0,376,650,15,2
176,30,522,415,15,2
177,-45,570,485,15,0
178,-15,0,595,15,2
179,30,365,657,15,2
180,45,532,389,15,1
181,15,0,412,15,2
182,0,383,316,15,0
183,-45,380,423,15,0
184,45,407,483,15,0
185,30,420,423,15,2
186,-30,332,503,15,1
187,-15,428,740,15,0
188,0,417,717,15,2
189,30,434,356,15,2
190,0,375,707,15,0
191,45,470,559,15,2
192,-30,433,315,15,2
193,-30,365,351,15,2
194,0,0,379,15,1
195,-45,430,383,15,2
196,15,513,782,15,2
197,45,493,655,15,1
198,-15,364,559,15,1
199,15,378,747,15,2
200,15,372,656,15,1
201,15,341,391,15,1
202,-15,319,350,15,1
203,-30,292,777,15,0
204,-15,379,737,15,1
205,0,0,746,15,2
206,-15,339,440,15,2
207,-15,405,647,15,1
208,-30,516,329,15,0
209,15,433,572,15,2
210,-15,362,457,15,2
211,-30,617,333,15,1
212,30,430,340,15,1
213,-15,365,300,15,0
214,30,417,506,15,2
215,0,283,727,15,1
216,-45,488,762,15,2
217,15,803,750,15,0
218,-30,487,706,15,0
219,-15,570,376,15,1
220,45,426,650,15,2
221,15,455,777,15,1
222,45,390,550,15,2
223,45,588,564,15,0
