Trial,Ecc,RT,IT,Brightness,Stim ID
1,-15,559,549,15,2
2,45,501,726,15,1
3,-30,567,750,15,1
4,0,631,421,15,2
5,30,482,359,15,2
6,-15,448,407,15,2
7,30,399,481,15,1
8,-30,0,313,15,2
9,15,302,647,15,2
10,45,294,746,15,2
11,-15,517,566,15,0
12,30,311,711,15,2
13,30,428,335,15,2
14,0,512,383,15,1
15,-45,453,464,15,0
16,45,440,781,15,0
17,30,440,657,15,1
18,30,417,309,15,1
19,-15,418,706,15,1
20,-15,406,547,15,1
21,-45,392,735,15,1
22,30,540,409,15,0
23,-30,397,332,15,1
24,-30,712,497,15,1
25,-30,314,750,15,0
26,45,439,324,15,0
27,15,366,524,15,1
28,0,518,572,15,0
29,-45,670,417,15,2
30,45,508,694,15,1
31,0,471,579,15,0
32,0,372,495,15,1
33,0,323,590,15,1
34,45,378,339,15,1
35,45,358,761,15,0
36,-15,418,481,15,2
37,-15,513,450,15,0
38,-15,436,554,15,0
39,-15,352,668,15,0
40,0,257,738,15,1
41,0,538,651,15,0
42,15,461,587,15,2
43,0,0,302,15,0
44,0,0,375,15,2
45,-45,448,712,15,0
46,-45,505,354,15,1
47,30,405,337,15,1
48,15,277,346,15,0
49,-45,530,665,15,1
50,-15,451,322,15,2
51,45,416,330,15,1
52,15,454,766,15,1
53,30,450,437,15,0
54,-15,259,320,15,0
55,45,762,398,15,1
56,-15,367,586,15,1
57,-45,299,532,15,1
58,0,708,421,15,2
59,15,0,321,15,0
60,-45,0,586,15,2
61,0,0,766,15,0
62,-15,458,731,15,0
63,30,325,496,15,0
64,-15,332,432,15,0
65,30,532,397,15,2
66,-45,388,511,15,0
67,15,349,555,15,2
68,15,311,760,15,0
69,-15,377,377,15,2
70,30,418,352,15,0
71,-30,0,552,15,2
72,-45,326,342,15,0
73,15,392,341,15,2
74,45,397,440,15,0
75,15,492,391,15,0
76,30,312,523,15,1
77,45,591,525,15,0
78,-30,351,589,15,1
79,45,0,799,15,1
80,-30,779,413,15,0
81,-15,311,370,15,1
82,30,512,333,15,0
83,-30,522,350,15,2
84,45,537,634,15,2
85,45,524,517,15,2
86,-45,579,627,15,1
87,-30,401,556,15,1
88,15,541,387,15,2
89,30,0,605,15,2
90,-15,415,565,15,1
91,15,455,695,15,0
92,-45,588,338,15,0
93,45,367,750,15,2
94,-45,501,708,15,2
95,0,545,352,15,0
96,-15,350,370,15,1
97,-15,298,798,15,1
98,-15,404,347,15,1
99,0,385,592,15,1
100,0,318,636,15,0
101,15,0,760,15,0
102,0,438,644,15,0
103,-30,333,747,15,0
104,0,592,694,15,1
105,-30,331,309,15,0
106,30,539,357,15,0
107,0,338,590,15,0
108,15,454,569,15,1
109,30,450,313,15,2
110,-15,331,319,15,2
111,-15,477,510,15,0
112,-45,363,489,15,1
113,-30,587,783,15,2
114,-30,433,710,15,1
115,-45,784,406,15,2
116,-30,528,736,15,1
117,45,591,639,15,0
118,-15,366,457,15,0
119,-45,400,584,15,2
120,30,418,460,15,0
121,0,379,303,15,1
122,45,492,742,15,1
123,15,0,722,15,0
124,45,437,748,15,2
125,-45,620,686,15,1
126,-15,368,314,15,0
127,0,703,602,15,2
128,-30,340,610,15,1
129,45,0,306,15,2
130,30,706,593,15,0
131,-30,647,651,15,1
132,15,377,685,15,1
133,15,0,320,15,0
134,-15,574,316,15,1
135,-15,504,549,15,0
136,-30,756,511,15,1
137,30,598,710,15,0
138,0,348,340,15,1
139,15,415,473,15,0
140,-45,479,744,15,2
141,15,359,503,15,1
142,45,483,624,15,1
143,-45,397,597,15,2
144,-15,486,702,15,1
145,30,484,736,15,0
146,0,563,418,15,0
147,-45,565,635,15,0
148,0,368,459,15,0
149,-30,433,786,15,2
150,30,408,786,15,2
151,0,488,788,15,1
152,-45,453,427,15,0
153,45,381,567,15,0
154,-30,411,754,15,1
155,45,472,645,15,2
156,0,394,503,15,0
157,30,390,753,15,1
158,-30,509,470,15,2
159,-30,670,457,15,1
160,-45,509,794,15,0
161,-30,0,734,15,1
162,-15,418,475,15,0
163,30,427,720,15,2
164,30,637,628,15,2
165,-15,495,558,15,0
166,-15,0,352,15,2
