trial,dist,RT,interstim,Brightness,NumberofLED
1,30,468,565,15,1
2,15,422,603,15,3
3,-30,513,534,15,1
4,-45,550,612,15,1
5,30,408,424,15,1
6,-45,438,762,15,3
7,15,494,403,15,2
8,-15,595,718,15,1
9,15,362,402,15,1
10,15,352,684,15,3
11,-15,512,342,15,1
12,-45,429,619,15,1
13,45,381,402,15,3
14,30,0,427,15,1
15,15,499,640,15,3
16,-30,513,459,15,2
17,-15,425,701,15,3
18,30,491,599,15,3
19,-45,425,433,15,1
20,-15,394,682,15,1
21,15,561,511,15,2
22,45,434,758,15,3
23,-45,587,780,15,2
24,45,430,572,15,2
25,-30,435,602,15,2
26,-45,506,429,15,3
27,30,403,575,15,2
28,-30,452,727,15,2
29,45,424,741,15,2
30,-45,448,338,15,2
31,-15,507,536,15,2
32,45,672,496,15,1
33,30,322,306,15,1
34,45,482,572,15,3
35,-15,491,734,15,2
36,15,693,635,15,3
37,15,325,413,15,3
38,-45,498,680,15,1
39,-30,642,463,15,3
40,15,408,557,15,2
41,-15,403,355,15,3
42,0,472,499,15,3
43,-45,465,545,15,1
44,-30,436,415,15,1
45,-45,391,517,15,1
46,-15,448,604,15,2
47,-30,374,388,15,3
48,-30,359,626,15,3
49,0,410,584,15,3
50,-45,415,724,15,3
51,45,416,339,15,3
52,-15,406,339,15,3
53,45,476,605,15,1
54,30,444,471,15,3
55,0,603,444,15,2
56,0,475,598,15,3
57,-15,569,392,15,2
58,15,544,627,15,3
59,30,520,564,15,2
60,-45,473,314,15,2
61,-30,499,589,15,1
62,30,421,609,15,3
63,-45,671,324,15,1
64,45,571,720,15,1
65,30,590,786,15,3
66,-15,527,476,15,2
67,0,468,574,15,2
68,45,0,606,15,1
69,-30,518,748,15,1
70,45,0,494,15,2
71,45,536,366,15,3
72,-45,622,414,15,1
73,45,625,508,15,2
74,-45,424,646,15,2
75,-30,365,424,15,2
76,45,455,334,15,2
77,-15,469,454,15,3
78,45,553,403,15,3
79,45,699,506,15,2
80,30,556,353,15,3
81,-45,414,744,15,3
82,-15,570,424,15,1
83,45,355,402,15,1
84,0,456,324,15,2
85,45,662,625,15,1
86,-45,435,400,15,1
87,30,369,638,15,1
88,15,518,356,15,2
89,30,473,508,15,3
90,-15,538,652,15,1
91,15,576,743,15,2
92,-30,459,338,15,3
93,0,0,778,15,1
94,45,0,733,15,1
95,-15,666,605,15,2
96,-45,537,314,15,3
97,-30,689,771,15,1
98,15,393,641,15,1
99,30,533,341,15,3
100,-15,505,740,15,3
101,45,398,310,15,3
102,-15,448,620,15,2
103,-30,661,367,15,3
104,0,746,748,15,1
105,-15,481,769,15,1
106,0,471,651,15,3
107,-30,438,533,15,1
108,45,561,722,15,1
109,30,405,409,15,1
110,45,360,511,15,3
111,45,502,461,15,2
112,30,818,508,15,1
113,-45,425,460,15,1
114,0,0,665,15,3
115,0,537,684,15,1
116,-15,478,479,15,1
117,-30,510,456,15,2
118,45,524,463,15,3
119,45,699,447,15,1
120,-15,634,530,15,1
121,-15,474,616,15,3
122,-30,474,594,15,2
123,-15,549,430,15,3
124,-45,587,534,15,1
125,-15,454,426,15,2
126,-15,0,592,15,1
127,45,434,470,15,3
128,0,576,707,15,3
129,45,452,701,15,3
130,-15,549,428,15,1
131,0,363,412,15,1
132,30,457,526,15,3
133,-30,613,578,15,2
134,45,512,535,15,2
135,-30,465,435,15,2
136,0,640,335,15,1
137,30,500,763,15,2
138,-15,422,465,15,2
139,0,771,681,15,1
140,-30,380,334,15,1
141,45,449,387,15,1
142,15,577,710,15,3
143,30,679,546,15,1
144,-30,514,469,15,3
145,45,564,541,15,2
146,-30,449,530,15,2
147,-30,607,797,15,3
148,-15,629,308,15,1
149,45,690,402,15,1
150,-15,433,447,15,1
151,0,422,570,15,3
152,-15,409,763,15,1
153,-45,527,552,15,2
154,-45,642,791,15,1
155,30,506,638,15,1
156,15,573,799,15,3
157,30,390,568,15,3
158,45,544,763,15,2
159,30,469,533,15,3
160,15,429,798,15,3
161,-45,657,649,15,1
162,15,476,698,15,2
163,-15,509,774,15,2
164,-30,609,459,15,2
165,-30,466,745,15,2
166,-30,0,707,15,3
167,-30,918,376,15,1
168,45,390,658,15,1
169,-30,371,581,15,3
170,30,671,314,15,3
171,-45,350,507,15,3
172,0,598,535,15,1
173,-15,577,532,15,2
174,15,747,378,15,1
175,-30,458,702,15,2
176,-15,499,630,15,2
177,0,562,743,15,3
178,30,503,431,15,1
179,-45,561,788,15,3
180,15,587,564,15,1
181,-30,521,307,15,2
182,15,590,740,15,1
183,-30,350,713,15,3
184,15,828,527,15,1
185,-15,458,329,15,2
186,30,428,349,15,3
187,-15,555,754,15,2
188,-45,551,308,15,2
189,45,380,383,15,2
190,0,332,599,15,2
191,0,522,798,15,2
192,-30,426,713,15,1
193,-30,499,353,15,2
194,45,0,483,15,1
195,-45,501,576,15,3
196,-45,349,331,15,3
197,-15,475,731,15,2
198,30,515,786,15,1
199,45,497,303,15,1
200,-15,475,755,15,3
201,-30,980,366,15,1
202,0,489,611,15,2
203,-45,482,556,15,3
204,45,603,310,15,2
205,15,445,635,15,3
206,0,527,612,15,1
207,15,383,501,15,1
208,-30,549,353,15,2
209,15,487,583,15,3
210,30,601,414,15,3
211,0,394,663,15,2
212,45,497,607,15,1
213,-30,520,560,15,2
214,-15,473,794,15,3
215,-15,481,757,15,2
216,0,515,676,15,1
217,-15,495,766,15,2
218,-15,385,508,15,2
219,-30,437,459,15,2
220,-15,0,454,15,3
221,-45,503,497,15,1
222,30,528,570,15,2
223,15,0,560,15,3
224,-45,627,390,15,1
225,-15,476,455,15,1
226,30,408,790,15,1
227,-45,390,398,15,1
228,15,0,660,15,3
229,-45,355,617,15,3
230,-45,537,381,15,2
231,30,459,559,15,2
232,30,0,318,15,3
233,-45,537,515,15,1
234,-15,417,758,15,1
235,30,474,785,15,1
236,45,519,752,15,3
237,-15,443,789,15,2
238,30,400,558,15,3
239,-15,395,438,15,3
240,45,425,656,15,3
241,-15,420,402,15,2
242,-30,589,396,15,1
243,-15,433,685,15,3
244,30,409,585,15,3
245,30,360,727,15,3
246,0,396,362,15,3
247,-30,499,784,15,2
248,-15,548,519,15,3
249,-15,428,774,15,1
250,30,0,665,15,2
251,-45,555,348,15,1
252,30,477,647,15,2
253,15,0,495,15,3
254,30,979,371,15,1
255,30,399,736,15,1
256,0,435,723,15,3
257,-15,482,754,15,1
258,-15,319,773,15,3
259,-45,542,790,15,1
260,30,394,402,15,1
261,30,550,352,15,2
262,45,570,384,15,2
263,-45,0,522,15,1
264,15,495,416,15,3
265,15,0,628,15,1
266,0,528,590,15,2
267,-45,578,333,15,2
268,-15,527,313,15,1
269,-15,410,379,15,3
270,15,544,590,15,1
271,-45,460,700,15,1
272,45,500,716,15,3
273,-30,481,614,15,3
274,0,529,524,15,1
