trial, dist, RT, interstim, Brightness, NumberofLED
1,-30,330,662,15,0
2,-45,246,579,15,0
3,45,293,405,15,0
4,30,282,520,15,0
5,-45,323,684,15,0
6,15,319,527,15,0
7,0,212,660,15,0
8,15,379,757,15,0
9,0,261,337,15,0
10,-15,265,415,15,0
11,-30,351,351,15,0
12,45,358,523,15,0
13,45,342,657,15,0
14,45,330,735,15,0
15,30,341,330,15,0
16,-30,296,648,15,0
17,45,460,751,15,0
18,15,273,720,15,0
19,-15,315,531,15,0
20,-15,357,320,15,0
21,30,280,395,15,0
22,30,273,532,15,0
23,-15,259,623,15,0
24,45,301,456,15,0
25,-45,354,363,15,0
26,45,433,381,15,0
27,-15,259,484,15,0
28,-15,308,589,15,0
29,-45,368,423,15,0
30,30,383,709,15,0
31,-15,304,613,15,0
32,15,306,623,15,0
33,15,308,306,15,0
34,0,412,660,15,0
35,15,319,651,15,0
36,-15,271,605,15,0
37,30,410,739,15,0
38,-45,341,715,15,0
39,30,331,694,15,0
40,-15,377,515,15,0
41,45,353,609,15,0
42,-15,344,531,15,0
43,45,375,737,15,0
44,-30,341,340,15,0
45,30,269,727,15,0
46,-15,254,559,15,0
47,0,241,428,15,0
48,-15,300,643,15,0
49,-45,222,483,15,0
50,-15,448,532,15,0
51,45,317,709,15,0
52,-15,349,323,15,0
53,30,381,312,15,0
54,45,343,345,15,0
55,-45,317,484,15,0
56,-45,358,694,15,0
57,45,318,394,15,0
58,0,291,376,15,0
59,45,327,382,15,0
60,15,266,791,15,0
61,-30,480,541,15,0
62,-15,538,594,15,0
63,0,267,380,15,0
64,30,377,715,15,0
65,0,243,617,15,0
66,45,336,401,15,0
67,15,328,794,15,0
68,30,375,491,15,0
69,-15,340,355,15,0
70,0,278,742,15,0
71,-30,440,681,15,0
72,15,350,411,15,0
73,-15,304,457,15,0
74,-15,296,668,15,0
75,45,429,627,15,0
76,0,312,308,15,0
77,-30,331,565,15,0
78,45,401,485,15,0
79,-45,369,522,15,0
80,45,373,329,15,0
81,-15,279,346,15,0
82,15,350,631,15,0
83,-15,441,561,15,0
84,-15,385,371,15,0
85,15,312,427,15,0
86,30,355,690,15,0
87,45,387,621,15,0
88,30,585,409,15,0
89,15,339,301,15,0
90,0,355,494,15,0
91,15,315,666,15,0
92,-15,400,590,15,0
93,45,429,720,15,0
94,-30,305,559,15,0
95,45,359,774,15,0
96,30,365,646,15,0
97,45,408,455,15,0
98,-15,375,635,15,0
99,-45,388,407,15,0
100,-45,331,548,15,0
101,15,351,360,15,0
102,0,245,799,15,0
103,0,292,519,15,0
104,0,245,794,15,0
105,15,373,468,15,0
106,45,435,377,15,0
107,45,380,629,15,0
108,30,362,701,15,0
109,30,477,617,15,0
110,-45,392,797,15,0
111,45,410,556,15,0
112,0,266,603,15,0
113,45,338,770,15,0
114,45,328,378,15,0
115,-15,370,694,15,0
116,0,324,693,15,0
117,-45,395,411,15,0
118,-15,347,450,15,0
119,-45,368,797,15,0
120,45,360,535,15,0
121,-15,364,317,15,0
122,-30,308,593,15,0
123,-15,342,443,15,0
124,-30,460,422,15,0
125,-30,312,615,15,0
126,0,296,368,15,0
127,-30,376,573,15,0
128,45,427,660,15,0
129,45,338,386,15,0
130,45,413,335,15,0
131,-15,442,336,15,0
132,-30,358,422,15,0
133,30,363,752,15,0
134,15,495,418,15,0
135,0,231,507,15,0
136,30,451,520,15,0
137,-15,239,543,15,0
138,15,300,747,15,0
139,0,249,576,15,0
140,45,397,560,15,0
141,-15,377,458,15,0
142,45,359,556,15,0
143,15,292,380,15,0
144,-30,257,381,15,0
145,30,323,743,15,0
146,15,288,584,15,0
147,15,259,634,15,0
148,-15,368,688,15,0
149,45,427,317,15,0
150,30,299,674,15,0
151,30,295,706,15,0
152,-15,242,535,15,0
153,-15,265,328,15,0
154,-30,368,347,15,0
155,-45,337,777,15,0
156,15,306,527,15,0
157,0,290,650,15,0
158,-30,344,622,15,0
159,0,0,397,15,0
160,15,392,421,15,0
161,30,367,659,15,0
162,15,348,551,15,0
163,45,407,429,15,0
164,45,395,753,15,0
165,-30,352,305,15,0
166,0,269,711,15,0
167,15,486,633,15,0
168,15,314,411,15,0
169,30,393,615,15,0
170,0,309,744,15,0
171,30,372,513,15,0
172,-15,302,531,15,0
173,-15,324,305,15,0
174,-15,280,689,15,0
175,45,375,618,15,0
176,-15,290,311,15,0
177,-45,418,341,15,0
178,30,554,770,15,0
179,15,361,755,15,0
180,-45,301,741,15,0
181,15,287,363,15,0
182,-30,308,456,15,0
183,15,315,609,15,0
184,0,263,625,15,0
185,-30,306,642,15,0
186,-15,328,652,15,0
187,15,335,735,15,0
188,-30,415,590,15,0
189,30,335,302,15,0
190,15,328,379,15,0
191,15,383,605,15,0
192,15,329,708,15,0
193,0,287,749,15,0
194,30,343,617,15,0
195,15,330,725,15,0
196,-45,418,687,15,0
197,30,380,610,15,0
198,-30,359,681,15,0
199,-45,372,796,15,0
200,0,256,562,15,0
201,-30,311,550,15,0
